step,L0.qkv_lut.T_soft,L0.qkv_lut.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L0.residual_lut.T_soft,L0.residual_lut.T_sel,L1.qkv_lut.T_soft,L1.qkv_lut.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L1.residual_lut.T_soft,L1.residual_lut.T_sel,L2.qkv_lut.T_soft,L2.qkv_lut.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L2.residual_lut.T_soft,L2.residual_lut.T_sel,L3.qkv_lut.T_soft,L3.qkv_lut.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L3.residual_lut.T_soft,L3.residual_lut.T_sel,L4.qkv_lut.T_soft,L4.qkv_lut.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L4.residual_lut.T_soft,L4.residual_lut.T_sel,L5.qkv_lut.T_soft,L5.qkv_lut.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel,L5.residual_lut.T_soft,L5.residual_lut.T_sel
0,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
200,0.500842,0.500983,0.498314,0.498287,0.497060,0.496932,0.497857,0.497724,0.499379,0.499350,0.498207,0.497896,0.498290,0.498370,0.499776,0.499769,0.500857,0.500572,0.499806,0.499772,0.499675,0.499683,0.502288,0.501845,0.499659,0.499557,0.499520,0.499527,0.502338,0.502025,0.499307,0.499225,0.499455,0.499466,0.502492,0.502149
400,0.500431,0.501098,0.489940,0.489924,0.489708,0.488807,0.490477,0.488995,0.493509,0.493353,0.492767,0.491028,0.492392,0.491627,0.498121,0.498082,0.502522,0.499193,0.498883,0.498981,0.500544,0.500589,0.510669,0.507633,0.497969,0.495281,0.495908,0.495814,0.510948,0.509435,0.497831,0.495114,0.496098,0.496088,0.511134,0.510022
600,0.493332,0.494839,0.474263,0.474265,0.481221,0.478142,0.478934,0.474530,0.479535,0.479244,0.488386,0.483002,0.485848,0.481305,0.491631,0.491425,0.503998,0.494380,0.495781,0.495614,0.500244,0.500597,0.520107,0.516762,0.499270,0.493109,0.493975,0.493099,0.520405,0.516467,0.499906,0.494221,0.494415,0.493787,0.517058,0.515468
800,0.476867,0.479043,0.452023,0.451856,0.469899,0.463090,0.467674,0.454533,0.455817,0.455334,0.484242,0.471909,0.480733,0.465411,0.477041,0.476284,0.504238,0.486050,0.492106,0.490445,0.496339,0.496964,0.529032,0.523556,0.502331,0.492837,0.494377,0.491619,0.531545,0.522225,0.502636,0.492253,0.494858,0.491035,0.526789,0.520035
1000,0.455113,0.457502,0.427319,0.426866,0.457594,0.444990,0.469716,0.433998,0.430545,0.429544,0.485182,0.460105,0.485254,0.447185,0.456527,0.454783,0.506683,0.477462,0.488208,0.483437,0.490162,0.490065,0.532719,0.522179,0.504893,0.495232,0.495413,0.491808,0.539827,0.530005,0.505708,0.492448,0.497040,0.490662,0.537048,0.524588
1200,0.433354,0.435778,0.403802,0.402971,0.447433,0.427217,0.487223,0.416696,0.408083,0.405826,0.492342,0.450029,0.500055,0.431676,0.436568,0.433328,0.511134,0.468868,0.483754,0.473725,0.484464,0.482573,0.534028,0.515905,0.506780,0.496636,0.496804,0.491902,0.549656,0.533898,0.510444,0.491631,0.500331,0.491661,0.547831,0.528461
1400,0.411404,0.413763,0.382245,0.380665,0.439837,0.410363,0.511891,0.402563,0.391145,0.384220,0.502720,0.441468,0.521413,0.419378,0.417619,0.412070,0.516025,0.460584,0.480515,0.462783,0.479823,0.474747,0.534858,0.509172,0.509717,0.497787,0.497969,0.491467,0.560874,0.536475,0.513893,0.486561,0.505512,0.490682,0.558620,0.530845
1600,0.390358,0.392642,0.363721,0.360041,0.435073,0.395207,0.538343,0.392292,0.389079,0.365181,0.513799,0.434449,0.544630,0.409563,0.402744,0.392964,0.520561,0.453637,0.478160,0.451871,0.475886,0.466260,0.535868,0.503542,0.510816,0.497485,0.497756,0.490822,0.570207,0.538157,0.517505,0.480872,0.509056,0.491164,0.571605,0.533927
1800,0.370039,0.372220,0.358621,0.341273,0.434605,0.379790,0.566840,0.382756,0.402047,0.348679,0.529679,0.427589,0.570972,0.401213,0.393034,0.375850,0.527167,0.446047,0.476617,0.440110,0.472480,0.456992,0.538140,0.497836,0.509908,0.494694,0.497156,0.489921,0.578062,0.539875,0.524630,0.471772,0.515951,0.490966,0.583736,0.537068
2000,0.350906,0.352979,0.372945,0.324630,0.437364,0.366092,0.596249,0.374862,0.420337,0.335269,0.546187,0.421293,0.597631,0.394414,0.390710,0.360934,0.533679,0.438677,0.476612,0.429925,0.471112,0.448787,0.541135,0.493024,0.509064,0.492197,0.496203,0.488782,0.584609,0.541346,0.531471,0.467116,0.521407,0.490198,0.595354,0.540079
2200,0.333006,0.334975,0.392935,0.310586,0.445703,0.353090,0.627016,0.366949,0.441607,0.325082,0.566199,0.415196,0.627153,0.388581,0.395815,0.348012,0.541931,0.430578,0.479071,0.419898,0.471400,0.441019,0.545077,0.487489,0.506370,0.487714,0.493979,0.486841,0.587751,0.542193,0.542073,0.461788,0.527685,0.489919,0.604519,0.542686
2400,0.316284,0.318150,0.414085,0.300998,0.455834,0.341597,0.657351,0.359695,0.463969,0.317898,0.586234,0.409420,0.656409,0.382415,0.405658,0.337381,0.549762,0.422816,0.481637,0.411504,0.473207,0.433089,0.548985,0.482610,0.504187,0.483215,0.490448,0.483971,0.589037,0.542736,0.555962,0.460529,0.533305,0.490076,0.612918,0.545255
2600,0.300532,0.302299,0.435899,0.296277,0.467507,0.331923,0.688362,0.351870,0.487479,0.312185,0.605864,0.404051,0.686113,0.377033,0.418788,0.328760,0.557440,0.415262,0.486361,0.401930,0.476436,0.426220,0.552285,0.477732,0.503617,0.480347,0.487097,0.479963,0.588063,0.541901,0.568524,0.461093,0.537693,0.490103,0.621132,0.547910
2800,0.286307,0.287977,0.458133,0.292850,0.482026,0.322575,0.718928,0.344143,0.511009,0.308152,0.627734,0.398025,0.715937,0.371388,0.433726,0.322366,0.566110,0.407592,0.491259,0.393843,0.480770,0.420445,0.556188,0.472528,0.503131,0.477180,0.484529,0.476247,0.585959,0.539797,0.581744,0.464449,0.543738,0.490190,0.628522,0.550381
3000,0.273048,0.274629,0.480579,0.290838,0.495684,0.315076,0.748530,0.336745,0.534789,0.305050,0.647377,0.392959,0.745835,0.365177,0.449762,0.316856,0.573871,0.400430,0.497490,0.387238,0.486327,0.414807,0.559760,0.467591,0.503343,0.474417,0.483177,0.472984,0.584160,0.537464,0.594861,0.467995,0.548427,0.490295,0.635197,0.552697
3200,0.260864,0.262359,0.503238,0.288030,0.510768,0.308133,0.779230,0.328751,0.558964,0.301779,0.668088,0.387701,0.776516,0.359186,0.467150,0.311524,0.582253,0.393032,0.504747,0.380231,0.492883,0.408874,0.563470,0.462690,0.504612,0.472154,0.482097,0.469227,0.581606,0.533113,0.605544,0.471774,0.552391,0.490431,0.640409,0.554656
3400,0.249745,0.251162,0.525992,0.284765,0.527627,0.301619,0.809252,0.320574,0.583003,0.298664,0.690185,0.382526,0.807028,0.352774,0.484949,0.307397,0.591770,0.385772,0.511577,0.374367,0.500447,0.403522,0.567567,0.457435,0.504824,0.468555,0.481879,0.466087,0.577496,0.526846,0.615542,0.476526,0.557702,0.490868,0.644916,0.556329
3600,0.239581,0.240925,0.548534,0.281979,0.543752,0.295966,0.838333,0.312936,0.607215,0.295086,0.710985,0.377415,0.836878,0.346474,0.502471,0.303644,0.600080,0.379433,0.518133,0.368557,0.507457,0.399116,0.571294,0.453008,0.505122,0.465333,0.482390,0.463310,0.574581,0.521336,0.627262,0.482812,0.561619,0.490963,0.648202,0.557577
3800,0.230288,0.231570,0.570861,0.278839,0.561901,0.290368,0.867010,0.305767,0.630389,0.292221,0.733538,0.371940,0.866211,0.340502,0.520382,0.300309,0.610136,0.372258,0.524526,0.363835,0.514726,0.395015,0.575784,0.447577,0.506635,0.462618,0.483599,0.460557,0.570236,0.513593,0.634233,0.486658,0.566254,0.491569,0.652233,0.559065
4000,0.221843,0.223061,0.592669,0.275130,0.578192,0.285627,0.893055,0.299317,0.653691,0.288712,0.753941,0.367149,0.895176,0.334182,0.537086,0.297283,0.618806,0.366450,0.532616,0.358265,0.522440,0.391084,0.579709,0.442999,0.507889,0.459677,0.484763,0.458347,0.566596,0.506833,0.641099,0.490001,0.569901,0.491947,0.656002,0.560526
4200,0.214148,0.215310,0.613970,0.271602,0.595360,0.281151,0.919508,0.292784,0.676348,0.285359,0.775681,0.361837,0.921435,0.329175,0.553623,0.294436,0.627927,0.360048,0.540120,0.353552,0.530142,0.387554,0.583522,0.437988,0.509434,0.457236,0.487273,0.456241,0.562637,0.499552,0.646750,0.492109,0.572873,0.491863,0.660240,0.562242
4400,0.207204,0.208314,0.634703,0.267784,0.611507,0.277061,0.943946,0.286765,0.698273,0.282244,0.796740,0.356860,0.947201,0.324130,0.569600,0.291751,0.637461,0.353817,0.546711,0.349796,0.537769,0.384016,0.587408,0.433055,0.511432,0.454951,0.490333,0.454021,0.558798,0.492655,0.652474,0.495431,0.574961,0.491681,0.664003,0.563744
4600,0.200927,0.201992,0.654220,0.263909,0.627073,0.273632,0.966951,0.281357,0.719026,0.279315,0.815554,0.352545,0.972203,0.319005,0.585338,0.288908,0.646095,0.348482,0.553180,0.346085,0.544614,0.380834,0.590352,0.428915,0.513665,0.452760,0.493486,0.452039,0.554464,0.485476,0.656662,0.497888,0.576737,0.491769,0.666891,0.564942
4800,0.195323,0.196343,0.672942,0.259943,0.642479,0.270074,0.989125,0.276262,0.739080,0.276353,0.834614,0.348316,0.996923,0.314080,0.600133,0.286310,0.654491,0.343200,0.559286,0.343117,0.551856,0.377744,0.593521,0.424612,0.514732,0.450218,0.496332,0.449936,0.550655,0.478687,0.658906,0.498571,0.577994,0.491600,0.669668,0.566102
5000,0.190283,0.191264,0.690622,0.256431,0.657496,0.266576,1.010120,0.271471,0.757968,0.273457,0.853726,0.343469,1.019864,0.309640,0.614367,0.283617,0.663994,0.337594,0.565044,0.340120,0.558984,0.374658,0.597475,0.419745,0.515949,0.447823,0.499655,0.448370,0.546850,0.471638,0.660716,0.499341,0.579824,0.491327,0.672607,0.567307
5200,0.185773,0.186719,0.707136,0.252833,0.671384,0.263810,1.029645,0.267228,0.775804,0.270722,0.871690,0.339555,1.041747,0.305361,0.627951,0.281144,0.672118,0.332675,0.570166,0.336966,0.565897,0.371871,0.600201,0.415663,0.517655,0.445704,0.501881,0.446594,0.543356,0.465380,0.663121,0.500571,0.580887,0.490986,0.675110,0.568357
5400,0.181778,0.182693,0.722478,0.249681,0.684386,0.261000,1.048089,0.263283,0.792296,0.268190,0.888441,0.335968,1.061877,0.301517,0.640380,0.278755,0.679315,0.328261,0.574957,0.334060,0.572053,0.369405,0.603145,0.411862,0.518502,0.443419,0.504272,0.444828,0.540066,0.459357,0.663810,0.500667,0.582048,0.490603,0.677629,0.569467
5600,0.178237,0.179121,0.736589,0.246543,0.696653,0.258548,1.064152,0.259659,0.807692,0.265656,0.904440,0.332163,1.080850,0.297762,0.651954,0.276460,0.686505,0.324011,0.579837,0.331144,0.577614,0.366875,0.605639,0.408278,0.520196,0.441756,0.507048,0.443468,0.536272,0.453332,0.664293,0.500277,0.582934,0.490265,0.679573,0.570323
5800,0.175114,0.175973,0.749395,0.243581,0.708160,0.256345,1.079043,0.256479,0.821758,0.263217,0.918926,0.328843,1.097790,0.294684,0.662755,0.274157,0.693111,0.320120,0.583753,0.328677,0.582829,0.364585,0.608256,0.404827,0.520844,0.440024,0.509442,0.442047,0.532932,0.448031,0.663244,0.498849,0.583536,0.489738,0.681473,0.571216
6000,0.172331,0.173169,0.761154,0.240655,0.718595,0.254410,1.091903,0.253675,0.834516,0.261194,0.932472,0.325821,1.113379,0.292007,0.672440,0.272347,0.699905,0.316429,0.587494,0.326489,0.588070,0.362364,0.610681,0.401471,0.522170,0.438823,0.512220,0.440811,0.529744,0.443143,0.662016,0.497046,0.583764,0.489094,0.683090,0.571958
6200,0.169909,0.170727,0.771805,0.238143,0.727792,0.252686,1.103718,0.251153,0.846106,0.259327,0.944532,0.323281,1.127204,0.289485,0.681356,0.270514,0.705536,0.313177,0.590979,0.324549,0.592857,0.360340,0.612948,0.398616,0.522496,0.437189,0.514276,0.439643,0.527140,0.438987,0.659609,0.494909,0.583855,0.488432,0.684418,0.572623
6400,0.167774,0.168576,0.781214,0.235834,0.736307,0.251115,1.114194,0.248865,0.856523,0.257452,0.955537,0.320876,1.139910,0.287178,0.689416,0.268750,0.710815,0.310216,0.594062,0.322611,0.597286,0.358293,0.614992,0.395686,0.523087,0.435857,0.516008,0.438382,0.524371,0.434920,0.657793,0.492899,0.583834,0.487812,0.685622,0.573227
6600,0.165921,0.166708,0.789470,0.233884,0.744137,0.249595,1.123245,0.246880,0.865996,0.255685,0.965484,0.318574,1.151372,0.285233,0.696619,0.267313,0.715598,0.307566,0.596679,0.320676,0.601132,0.356465,0.616932,0.393194,0.524045,0.434678,0.517941,0.437398,0.521875,0.431318,0.655776,0.491016,0.583592,0.487082,0.686435,0.573637
6800,0.164303,0.165078,0.796829,0.231965,0.750998,0.248327,1.131847,0.245003,0.874494,0.254067,0.974551,0.316639,1.161693,0.283308,0.702981,0.265900,0.719561,0.305203,0.599387,0.319068,0.604600,0.354928,0.618638,0.390926,0.524784,0.433777,0.519403,0.436474,0.519697,0.428187,0.653537,0.488962,0.583135,0.486269,0.687140,0.574025
7000,0.162868,0.163633,0.803289,0.230269,0.757126,0.247092,1.139208,0.243437,0.882008,0.252721,0.982559,0.314946,1.170708,0.281747,0.708768,0.264676,0.723297,0.303189,0.601537,0.317679,0.607600,0.353644,0.620188,0.388982,0.525518,0.432983,0.520809,0.435671,0.517972,0.425521,0.651298,0.486970,0.582792,0.485614,0.687696,0.574336
7200,0.161610,0.162365,0.809102,0.228720,0.762623,0.246007,1.145754,0.242023,0.888719,0.251538,0.989796,0.313484,1.178738,0.280394,0.713981,0.263490,0.726701,0.301384,0.603714,0.316407,0.610356,0.352325,0.621527,0.387056,0.526004,0.432220,0.522210,0.434988,0.516103,0.422956,0.649126,0.485108,0.582206,0.484893,0.688110,0.574582
7400,0.160485,0.161232,0.814278,0.227355,0.767763,0.245064,1.151609,0.240753,0.894857,0.250443,0.996467,0.311968,1.185828,0.279128,0.718715,0.262389,0.729961,0.299669,0.605532,0.315295,0.612786,0.351205,0.622809,0.385291,0.526547,0.431543,0.523419,0.434376,0.514401,0.420634,0.647271,0.483448,0.581686,0.484281,0.688567,0.574896
7600,0.159462,0.160202,0.818925,0.226062,0.772433,0.244254,1.156851,0.239606,0.900478,0.249418,1.002537,0.310681,1.192634,0.277994,0.723019,0.261418,0.732859,0.298111,0.607318,0.314310,0.614977,0.350230,0.624040,0.383742,0.526882,0.430875,0.524585,0.433759,0.512911,0.418526,0.645118,0.481645,0.581121,0.483707,0.688761,0.575032
7800,0.158505,0.159238,0.823381,0.224892,0.776723,0.243429,1.161938,0.238496,0.905782,0.248434,1.008232,0.309514,1.198911,0.276884,0.727150,0.260564,0.735566,0.296660,0.608912,0.313311,0.617178,0.349227,0.625166,0.382365,0.527449,0.430381,0.525807,0.433159,0.511685,0.416697,0.643208,0.480074,0.580647,0.483207,0.688947,0.575181
8000,0.157584,0.158311,0.827753,0.223728,0.780957,0.242632,1.166981,0.237417,0.910970,0.247512,1.013888,0.308343,1.205187,0.275848,0.731051,0.259732,0.738097,0.295300,0.610605,0.312422,0.619219,0.348256,0.626382,0.380958,0.527635,0.429579,0.526685,0.432474,0.510283,0.414765,0.641581,0.478620,0.579978,0.482619,0.689065,0.575307
