step,L0.qk_lut.T_soft,L0.qk_lut.T_sel,L0.v_lut.T_soft,L0.v_lut.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L1.qk_lut.T_soft,L1.qk_lut.T_sel,L1.v_lut.T_soft,L1.v_lut.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L2.qk_lut.T_soft,L2.qk_lut.T_sel,L2.v_lut.T_soft,L2.v_lut.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L3.qk_lut.T_soft,L3.qk_lut.T_sel,L3.v_lut.T_soft,L3.v_lut.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L4.qk_lut.T_soft,L4.qk_lut.T_sel,L4.v_lut.T_soft,L4.v_lut.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L5.qk_lut.T_soft,L5.qk_lut.T_sel,L5.v_lut.T_soft,L5.v_lut.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel
0,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
200,0.497427,0.497784,0.497061,0.497061,0.496695,0.496585,0.499510,0.499422,0.498750,0.498780,0.499303,0.499289,0.499164,0.499173,0.499140,0.499182,0.499737,0.499702,0.499231,0.499236,0.499353,0.499367,0.500015,0.499983,0.499216,0.499289,0.499421,0.499438,0.500102,0.500081,0.499360,0.499381,0.499369,0.499383,0.500088,0.500072
400,0.490511,0.491190,0.491977,0.492012,0.489265,0.489390,0.500737,0.499353,0.494417,0.494830,0.495688,0.495628,0.498912,0.498358,0.497350,0.497654,0.499478,0.498952,0.496989,0.497213,0.498878,0.499079,0.501160,0.500397,0.497743,0.498140,0.499943,0.499993,0.502693,0.502432,0.497057,0.497185,0.499528,0.499672,0.502792,0.502286
600,0.480410,0.480734,0.480776,0.480985,0.476375,0.477047,0.504469,0.498439,0.483959,0.484528,0.486169,0.486011,0.499934,0.496294,0.489591,0.490001,0.496677,0.495243,0.494956,0.492191,0.494084,0.494885,0.501453,0.499025,0.495838,0.495506,0.499964,0.500207,0.509193,0.507670,0.493054,0.491989,0.497844,0.498367,0.506772,0.504441
800,0.471576,0.469109,0.463816,0.463515,0.459111,0.459787,0.513282,0.498190,0.471973,0.470812,0.473996,0.472423,0.506085,0.493781,0.477533,0.476010,0.493374,0.489587,0.497660,0.487016,0.484722,0.485459,0.502052,0.496811,0.494922,0.491588,0.500197,0.500758,0.522039,0.518015,0.493874,0.488668,0.495216,0.495471,0.508363,0.503898
1000,0.465941,0.457223,0.447620,0.443547,0.441791,0.440713,0.525523,0.498948,0.464070,0.456513,0.460484,0.454463,0.515006,0.491226,0.466447,0.458899,0.488897,0.479700,0.506365,0.482153,0.473830,0.472328,0.504450,0.492369,0.497601,0.488844,0.501640,0.502380,0.545581,0.537616,0.498288,0.484296,0.492989,0.491182,0.509509,0.500301
1200,0.464883,0.447977,0.438498,0.426132,0.430458,0.424338,0.535886,0.498553,0.465773,0.446159,0.455019,0.437583,0.526325,0.488745,0.461009,0.442614,0.485569,0.468640,0.519434,0.477686,0.463669,0.456447,0.505528,0.485017,0.500687,0.486364,0.502566,0.503308,0.572135,0.560066,0.508677,0.481761,0.493282,0.487408,0.511372,0.494878
1400,0.466207,0.441599,0.436540,0.411140,0.427223,0.409584,0.549182,0.498896,0.474255,0.438238,0.461545,0.423804,0.538279,0.485028,0.465746,0.429861,0.486728,0.456960,0.533944,0.472886,0.458555,0.441562,0.506120,0.474826,0.504689,0.483455,0.505232,0.505530,0.600835,0.584789,0.521385,0.479615,0.496688,0.483714,0.515262,0.487128
1600,0.468428,0.435362,0.440037,0.400238,0.434799,0.399957,0.560527,0.498077,0.487422,0.432301,0.475752,0.412297,0.552050,0.482087,0.474938,0.417043,0.490364,0.444288,0.550676,0.469543,0.458313,0.428665,0.509098,0.463643,0.510077,0.480844,0.507623,0.506923,0.630537,0.609751,0.534837,0.477640,0.503139,0.480309,0.521157,0.478679
1800,0.472374,0.430079,0.446423,0.390786,0.447891,0.392826,0.572603,0.498306,0.501438,0.429910,0.495233,0.404645,0.565380,0.478944,0.489521,0.406949,0.498977,0.433627,0.566380,0.466714,0.463873,0.417456,0.512501,0.451410,0.516841,0.478556,0.509405,0.507393,0.660543,0.634221,0.547820,0.476572,0.511281,0.478448,0.532057,0.471787
