step,tokens,train_loss,val_bpb
300,11059200,6.851100,1.884694
600,22118400,5.675012,1.698018
900,33177600,5.274901,1.609968
1200,44236800,5.048162,1.552052
1500,55296000,4.894256,1.511532
1800,66355200,4.792824,1.487377
2000,73728000,4.754869,1.478121
