step,tokens,train_loss,val_bpb
300,7372800,7.189056,1.978247
600,14745600,5.906725,1.773474
900,22118400,5.468406,1.674189
1200,29491200,5.222042,1.613377
1500,36864000,5.048140,1.565374
1800,44236800,4.908187,1.525216
2100,51609600,4.783327,1.491208
2400,58982400,4.703709,1.469418
2700,66355200,4.646002,1.454655
3000,73728000,4.612879,1.445637
