step,tokens,train_loss,val_bpb
300,7372800,7.203865,1.984096
600,14745600,5.932286,1.783097
900,22118400,5.499514,1.684011
1200,29491200,5.254379,1.623064
1500,36864000,5.082076,1.575694
1800,44236800,4.948958,1.539014
2100,51609600,4.831786,1.507201
2400,58982400,4.753348,1.484724
2700,66355200,4.694546,1.469807
3000,73728000,4.660153,1.460892
