step,tokens,train_loss,val_bpb
300,7372800,7.145961,1.964026
600,14745600,5.872324,1.764096
900,22118400,5.441051,1.666823
1200,29491200,5.198369,1.605333
1500,36864000,5.020539,1.556390
1800,44236800,4.868381,1.511935
2100,51609600,4.740866,1.477223
2400,58982400,4.662175,1.456131
2700,66355200,4.606959,1.442927
3000,73728000,4.575236,1.434260
