step,train_loss,val_bpb,ln2_norm_L0,ln2_norm_L1,ln2_norm_L2,ln2_norm_L3,ln2_norm_L4,ln2_norm_L5,ln2_mean_L0,ln2_mean_L1,ln2_mean_L2,ln2_mean_L3,ln2_mean_L4,ln2_mean_L5,ln1_norm_L0,ln1_norm_L1,ln1_norm_L2,ln1_norm_L3,ln1_norm_L4,ln1_norm_L5
500,6.944833,1.974689,19.596888,19.600500,19.600271,19.599632,19.597523,19.597523,1.000048,1.000233,1.000221,1.000188,1.000081,1.000081,19.669485,19.656395,19.653484,19.662493,19.669622,19.657906
1000,5.789948,1.728351,19.598825,19.604605,19.604761,19.602962,19.601244,19.600161,1.000145,1.000440,1.000447,1.000355,1.000267,1.000211,19.512239,19.663450,19.684723,19.704401,19.746214,19.735155
1500,5.307312,1.600157,19.601002,19.609018,19.609938,19.605513,19.604082,19.600357,1.000253,1.000656,1.000703,1.000475,1.000400,1.000212,19.110483,19.629936,19.685865,19.738438,19.791859,19.869293
2000,4.982962,1.507783,19.602476,19.611366,19.611712,19.605904,19.605669,19.597017,1.000321,1.000761,1.000775,1.000475,1.000461,1.000025,18.476397,19.562180,19.810852,19.799009,19.824701,20.082287
2500,4.721643,1.432570,19.603621,19.609203,19.611166,19.606043,19.605968,19.590122,1.000373,1.000631,1.000723,1.000459,1.000452,0.999653,17.792686,19.447424,20.272589,19.878130,19.842510,20.289675
3000,4.548343,1.384851,19.604498,19.609034,19.611496,19.604929,19.606998,19.580046,1.000407,1.000601,1.000715,1.000377,1.000478,0.999118,17.163956,19.322851,20.531288,19.918509,19.848261,20.469442
3500,4.430512,1.352502,19.605297,19.609198,19.611284,19.603973,19.605946,19.568092,1.000438,1.000592,1.000679,1.000304,1.000399,0.998485,16.605717,19.198467,20.689705,19.938475,19.846786,20.643967
4000,4.360416,1.327772,19.606277,19.608431,19.612438,19.603081,19.605373,19.554846,1.000478,1.000536,1.000712,1.000226,1.000343,0.997788,16.110846,19.077925,20.807631,19.946829,19.839859,20.821993
4500,4.288443,1.309083,19.607721,19.607414,19.613499,19.602980,19.604572,19.537161,1.000543,1.000468,1.000741,1.000199,1.000278,0.996856,15.670733,18.955496,20.896803,19.941347,19.829195,20.988977
5000,4.243255,1.293805,19.607889,19.607773,19.613861,19.602741,19.604179,19.519312,1.000540,1.000467,1.000735,1.000159,1.000237,0.995919,15.293010,18.840521,20.975128,19.932615,19.818928,21.146107
5500,4.207256,1.279280,19.608969,19.608204,19.614584,19.602194,19.604286,19.501225,1.000587,1.000476,1.000754,1.000109,1.000222,0.994967,14.959834,18.728851,21.032978,19.924431,19.813730,21.300011
6000,4.149801,1.267493,19.610304,19.607473,19.614799,19.600613,19.603067,19.483908,1.000649,1.000422,1.000735,1.000003,1.000144,0.994053,14.679009,18.627050,21.081755,19.912352,19.812029,21.436541
