step,train_loss,qreg_loss,lambda,val_loss,val_loss_snapped
0,6.444577,0.362766,0.000000,6.446424,
1000,2.139447,0.423706,0.000000,2.082386,
2000,1.922497,0.452932,0.000000,1.925509,
3000,1.876446,0.468332,0.000000,1.871030,
4000,1.844670,0.478128,0.000000,1.849351,
5000,1.829859,0.485715,0.000000,1.820132,
6000,1.799841,0.490659,0.000000,1.797359,
7000,1.773943,0.493843,0.000000,1.779231,
8000,1.758788,0.495866,0.000000,1.755893,
9000,1.750784,0.497508,0.000000,1.737398,
10000,1.734802,0.498632,0.000000,1.729026,
11000,1.720166,0.499253,0.000000,1.717387,
12000,1.704292,0.499603,0.000000,1.713105,
13000,1.693451,0.499885,0.000000,1.700931,
14000,1.691130,0.499894,0.000000,1.689087,
