step,L0.qk_joint.T_soft,L0.qk_joint.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L1.qk_joint.T_soft,L1.qk_joint.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L2.qk_joint.T_soft,L2.qk_joint.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L3.qk_joint.T_soft,L3.qk_joint.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L4.qk_joint.T_soft,L4.qk_joint.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L5.qk_joint.T_soft,L5.qk_joint.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel
0,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
200,0.498040,0.497925,0.499306,0.499239,0.498947,0.499276,0.499002,0.498854,0.500001,0.500057,0.498767,0.498640,0.500033,0.499992,0.498691,0.498523,0.500004,0.499976,0.498740,0.498569,0.499991,0.499947,0.498563,0.498399
400,0.488370,0.488172,0.494501,0.493981,0.494510,0.495392,0.499000,0.498612,0.498001,0.498063,0.500325,0.499726,0.498848,0.498620,0.499053,0.498646,0.500642,0.500695,0.498202,0.497908,0.500280,0.500295,0.497533,0.497324
600,0.472874,0.472666,0.486483,0.485084,0.489962,0.490823,0.497696,0.496743,0.500185,0.499939,0.509003,0.506126,0.499227,0.498831,0.493169,0.492062,0.501377,0.502201,0.491942,0.490843,0.500004,0.500657,0.488528,0.487843
800,0.454310,0.454051,0.478781,0.476113,0.483601,0.484131,0.496862,0.495615,0.502448,0.502258,0.520515,0.514784,0.498725,0.498283,0.487686,0.483795,0.501508,0.501670,0.487598,0.483221,0.498513,0.499482,0.477456,0.474605
1000,0.430493,0.430152,0.469703,0.465081,0.478303,0.477067,0.496791,0.495122,0.505370,0.505325,0.533364,0.524029,0.497808,0.497456,0.486272,0.476066,0.499926,0.497983,0.488126,0.476947,0.498050,0.498156,0.478945,0.467024
1200,0.406702,0.406293,0.459119,0.452363,0.470935,0.466986,0.495727,0.493962,0.507475,0.507290,0.543993,0.529696,0.496417,0.495930,0.487342,0.469193,0.498868,0.497617,0.490734,0.470237,0.498045,0.498888,0.481938,0.460466
1400,0.385569,0.385028,0.447325,0.438349,0.465996,0.457131,0.494055,0.492216,0.506624,0.506548,0.553203,0.534194,0.495016,0.495094,0.489480,0.464007,0.496542,0.495262,0.494857,0.467070,0.497401,0.499265,0.488059,0.459796
1600,0.365825,0.365062,0.435268,0.424020,0.463337,0.446366,0.491993,0.490047,0.508017,0.508255,0.560941,0.536587,0.495115,0.496787,0.492180,0.459244,0.495110,0.493274,0.499888,0.464922,0.497239,0.498982,0.492482,0.457595
1800,0.348668,0.347451,0.422558,0.408916,0.465116,0.436538,0.489615,0.487608,0.508818,0.509296,0.567114,0.538980,0.494289,0.495382,0.495649,0.454927,0.495365,0.494120,0.504574,0.462880,0.495495,0.498343,0.496179,0.455523
2000,0.334740,0.332614,0.410442,0.393971,0.469256,0.426309,0.486813,0.484509,0.509435,0.509804,0.572940,0.540909,0.494952,0.495050,0.499566,0.450182,0.493232,0.492305,0.511291,0.461618,0.492920,0.495382,0.501015,0.454115
2200,0.323070,0.319759,0.399333,0.379468,0.478028,0.418094,0.484231,0.481434,0.509546,0.510039,0.579489,0.541128,0.496693,0.493606,0.505246,0.446813,0.491393,0.492184,0.518602,0.459793,0.493914,0.493378,0.504583,0.451678
2400,0.313666,0.308983,0.389738,0.365725,0.489635,0.410587,0.481218,0.477847,0.508527,0.509207,0.586695,0.542487,0.496759,0.492501,0.509094,0.442777,0.491726,0.491696,0.524111,0.457502,0.493939,0.492156,0.509668,0.450449
2600,0.306066,0.299777,0.382216,0.353123,0.502911,0.403300,0.477943,0.474063,0.508633,0.509327,0.592145,0.541574,0.498292,0.491786,0.514302,0.438672,0.491126,0.490304,0.529964,0.454674,0.493283,0.490487,0.514583,0.448591
