step,lambda,train_ce,imitation_mse,reg_mse,mse_b0,mse_b1,mse_b2,mse_b3,mse_b4,mse_b5,dense_bpb,swapin_bpb
200,0.00625,9.224754,0.001815,0.001815,0.000258,0.000241,0.000278,0.000323,0.000338,0.000377,2.582583,2.628477
400,0.01250,7.526235,0.000614,0.000614,0.000063,0.000068,0.000084,0.000110,0.000152,0.000137,2.137455,2.178354
600,0.01875,6.653772,0.000617,0.000617,0.000067,0.000067,0.000077,0.000094,0.000126,0.000185,1.976629,2.021635
800,0.02500,6.231917,0.000866,0.000866,0.000099,0.000087,0.000100,0.000117,0.000140,0.000323,1.878760,1.919237
1000,0.03125,5.928379,0.001237,0.001237,0.000138,0.000120,0.000139,0.000162,0.000190,0.000489,1.801878,1.837517
1200,0.03750,5.685073,0.001792,0.001792,0.000194,0.000177,0.000208,0.000233,0.000271,0.000708,1.736945,1.774369
1400,0.04375,5.486234,0.002623,0.002623,0.000277,0.000273,0.000319,0.000347,0.000395,0.001012,1.682750,1.721626
1600,0.05000,5.323504,0.003826,0.003826,0.000397,0.000415,0.000485,0.000516,0.000580,0.001433,1.633613,1.676198
1800,0.05625,5.140933,0.005352,0.005352,0.000538,0.000579,0.000711,0.000733,0.000824,0.001967,1.580391,1.628270
2000,0.06250,4.956494,0.006964,0.006964,0.000653,0.000725,0.000968,0.000969,0.001111,0.002538,1.525717,1.578792
2200,0.06875,4.801810,0.008635,0.008635,0.000768,0.000864,0.001241,0.001223,0.001419,0.003119,1.485319,1.540891
2400,0.07500,4.686835,0.010341,0.010341,0.000872,0.000999,0.001506,0.001484,0.001754,0.003726,1.454009,1.511596
2600,0.08125,4.587874,0.012267,0.012267,0.001008,0.001153,0.001809,0.001791,0.002136,0.004371,1.429296,1.492849
2800,0.08750,4.515220,0.014241,0.014241,0.001129,0.001298,0.002126,0.002106,0.002549,0.005034,1.409585,1.476731
3000,0.09375,4.459321,0.016233,0.016233,0.001246,0.001441,0.002452,0.002424,0.002969,0.005700,1.391176,1.461133
3200,0.10000,4.420673,0.018288,0.018288,0.001373,0.001591,0.002778,0.002762,0.003399,0.006386,1.376378,1.448655
3400,0.10625,4.368240,0.020391,0.020391,0.001494,0.001734,0.003108,0.003112,0.003859,0.007085,1.365497,1.440445
