step,L0.qk_joint.T_soft,L0.qk_joint.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L0.residual_lut.T_soft,L0.residual_lut.T_sel,L1.qk_joint.T_soft,L1.qk_joint.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L1.residual_lut.T_soft,L1.residual_lut.T_sel,L2.qk_joint.T_soft,L2.qk_joint.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L2.residual_lut.T_soft,L2.residual_lut.T_sel,L3.qk_joint.T_soft,L3.qk_joint.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L3.residual_lut.T_soft,L3.residual_lut.T_sel,L4.qk_joint.T_soft,L4.qk_joint.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L4.residual_lut.T_soft,L4.residual_lut.T_sel,L5.qk_joint.T_soft,L5.qk_joint.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel,L5.residual_lut.T_soft,L5.residual_lut.T_sel
0,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
200,0.498200,0.498131,0.498776,0.498709,0.498293,0.498195,0.498994,0.499057,0.500013,0.499960,0.502215,0.502057,0.499332,0.499080,0.501195,0.501188,0.502635,0.502581,0.499643,0.499636,0.500324,0.500289,0.502629,0.502579,0.499651,0.499728,0.500837,0.500806,0.502623,0.502545,0.499055,0.499136,0.502230,0.502241,0.502634,0.502687
400,0.488058,0.487987,0.491389,0.491084,0.489267,0.489299,0.494362,0.494145,0.499464,0.499395,0.504951,0.504519,0.499707,0.499467,0.502877,0.501659,0.512771,0.512375,0.500081,0.500117,0.497019,0.496808,0.512333,0.511339,0.499051,0.499255,0.499245,0.499181,0.512284,0.511592,0.498246,0.498600,0.508154,0.508157,0.512934,0.512812
600,0.472623,0.472515,0.484066,0.482732,0.477002,0.477254,0.486899,0.485442,0.497293,0.497066,0.506853,0.505807,0.502847,0.502373,0.502533,0.499039,0.527467,0.526332,0.496793,0.497257,0.488882,0.487800,0.528133,0.519590,0.497263,0.497750,0.492771,0.492166,0.526998,0.526659,0.497880,0.498305,0.512180,0.511248,0.528513,0.528230
800,0.452088,0.451930,0.477458,0.474577,0.460568,0.460826,0.476808,0.472263,0.493650,0.492944,0.504935,0.503267,0.503609,0.503250,0.503107,0.498677,0.544035,0.543521,0.495120,0.495699,0.487023,0.479620,0.544515,0.525797,0.494681,0.494861,0.489199,0.484734,0.540591,0.541140,0.495269,0.496032,0.509332,0.505178,0.540746,0.539928
1000,0.426985,0.426776,0.466796,0.461078,0.440259,0.440325,0.468725,0.457365,0.488628,0.487516,0.499214,0.496766,0.504871,0.504071,0.503640,0.498611,0.559078,0.555765,0.493734,0.494382,0.489835,0.477530,0.560357,0.533305,0.492387,0.492674,0.492527,0.482638,0.553644,0.550417,0.496813,0.497875,0.514634,0.503109,0.553890,0.548595
1200,0.403724,0.403430,0.451291,0.443094,0.419576,0.419244,0.465421,0.442432,0.483848,0.482668,0.493661,0.490384,0.506440,0.505426,0.504490,0.498773,0.575107,0.570982,0.493064,0.493331,0.491362,0.476731,0.576323,0.547947,0.492319,0.493582,0.496291,0.479845,0.565762,0.555769,0.498510,0.499152,0.522658,0.506222,0.565448,0.554545
1400,0.383458,0.382924,0.434149,0.423673,0.399029,0.398222,0.468973,0.429730,0.477233,0.476256,0.483195,0.478944,0.507344,0.506178,0.505525,0.498978,0.591411,0.587452,0.491869,0.492457,0.493637,0.477609,0.591718,0.562410,0.489384,0.491126,0.501656,0.480409,0.575004,0.558465,0.501460,0.502142,0.528975,0.510452,0.572539,0.558807
1600,0.364714,0.363759,0.415530,0.403369,0.379562,0.378180,0.477690,0.417575,0.469456,0.468980,0.473773,0.468571,0.506444,0.505421,0.506075,0.499022,0.608225,0.593697,0.488822,0.489652,0.497202,0.479442,0.611774,0.580630,0.489981,0.491158,0.506471,0.480513,0.582325,0.560209,0.500911,0.501968,0.535916,0.514603,0.579325,0.562069
1800,0.349381,0.347695,0.397906,0.384246,0.361777,0.359628,0.491351,0.408322,0.461801,0.462045,0.465054,0.458933,0.507372,0.506079,0.505989,0.498658,0.618963,0.597358,0.488329,0.489207,0.503590,0.482799,0.636113,0.598810,0.489071,0.490074,0.512724,0.481305,0.588884,0.561685,0.500289,0.501613,0.541840,0.520090,0.586467,0.564827
2000,0.336857,0.334129,0.381859,0.366394,0.345440,0.342325,0.507845,0.399196,0.452864,0.453714,0.456621,0.449552,0.506064,0.504546,0.505528,0.498172,0.631722,0.600703,0.488689,0.489463,0.509480,0.485744,0.657476,0.614188,0.487610,0.489120,0.520044,0.482823,0.594380,0.562870,0.503194,0.504220,0.549106,0.525362,0.592941,0.567418
2200,0.325904,0.321917,0.367461,0.349728,0.330687,0.326293,0.526356,0.393106,0.443800,0.445392,0.448830,0.441013,0.505126,0.503602,0.505374,0.497783,0.644900,0.604579,0.486959,0.487111,0.516336,0.489733,0.682171,0.629136,0.488700,0.489845,0.526130,0.484907,0.599392,0.563960,0.504744,0.505556,0.554134,0.528989,0.601149,0.569580
2400,0.317724,0.312060,0.356030,0.335191,0.318211,0.311743,0.546280,0.388167,0.436186,0.437879,0.441871,0.433211,0.504775,0.503115,0.505045,0.497336,0.655572,0.608189,0.485538,0.485935,0.523189,0.493936,0.704896,0.642989,0.488041,0.489615,0.534446,0.488218,0.603806,0.564791,0.502105,0.503561,0.562824,0.531436,0.614829,0.571231
2600,0.310941,0.303459,0.347018,0.321904,0.308964,0.298844,0.566689,0.384380,0.427964,0.429820,0.435329,0.425809,0.502932,0.501219,0.503314,0.496187,0.664706,0.611889,0.485649,0.486066,0.532951,0.498082,0.728547,0.656270,0.487613,0.489358,0.542994,0.490646,0.608150,0.565605,0.499946,0.501981,0.570358,0.533299,0.627437,0.572583
2800,0.305740,0.296148,0.341209,0.310432,0.303294,0.287495,0.588469,0.380033,0.419974,0.422021,0.429341,0.418879,0.502832,0.500679,0.502605,0.495711,0.674381,0.614736,0.487438,0.488109,0.541636,0.501956,0.750933,0.667875,0.487522,0.489557,0.551449,0.492977,0.611960,0.566463,0.497780,0.499688,0.578286,0.534248,0.637400,0.573764
3000,0.301969,0.290388,0.338723,0.300705,0.300315,0.277220,0.611404,0.378074,0.412373,0.414378,0.424587,0.413183,0.501730,0.499611,0.500648,0.494371,0.680936,0.616812,0.484635,0.485429,0.549894,0.505909,0.768229,0.676571,0.488094,0.490182,0.557423,0.495233,0.615470,0.567312,0.498005,0.499588,0.586632,0.535375,0.646018,0.574869
3200,0.299469,0.285754,0.338488,0.292936,0.300893,0.268227,0.631755,0.374427,0.405900,0.407791,0.419939,0.407561,0.500831,0.498501,0.498110,0.492930,0.685753,0.618794,0.485737,0.486662,0.558068,0.509758,0.778333,0.680746,0.487395,0.489862,0.563951,0.498499,0.618713,0.568112,0.496728,0.497889,0.593603,0.536407,0.654022,0.575853
3400,0.297850,0.281975,0.341143,0.286866,0.304123,0.261205,0.651621,0.370893,0.398954,0.400761,0.415527,0.402190,0.499114,0.496738,0.495993,0.491653,0.689137,0.620256,0.485435,0.486418,0.565687,0.513022,0.785595,0.683566,0.488133,0.490350,0.571250,0.500638,0.621665,0.568745,0.494048,0.495308,0.600065,0.536893,0.661526,0.576617
3600,0.295620,0.277976,0.344590,0.281477,0.309273,0.255269,0.672198,0.368094,0.393837,0.395451,0.411188,0.396757,0.498105,0.495576,0.492412,0.489370,0.691185,0.621603,0.484443,0.485394,0.574716,0.516865,0.791761,0.685877,0.489170,0.491324,0.577878,0.502228,0.624353,0.569283,0.493721,0.494818,0.606376,0.536628,0.668456,0.577268
3800,0.294704,0.275140,0.349720,0.277142,0.315933,0.250331,0.692843,0.365224,0.388366,0.389548,0.407248,0.391591,0.497711,0.494947,0.488380,0.486384,0.691873,0.622344,0.482616,0.483619,0.583449,0.518931,0.797903,0.688486,0.488000,0.490678,0.584518,0.503783,0.626901,0.569971,0.493725,0.494984,0.613109,0.536181,0.674586,0.578025
4000,0.294116,0.272805,0.354759,0.273517,0.323248,0.246656,0.711803,0.362991,0.383311,0.384269,0.403707,0.386807,0.496687,0.493814,0.484603,0.483321,0.693061,0.623632,0.483504,0.484913,0.590742,0.520505,0.803457,0.690514,0.488702,0.491698,0.590480,0.506161,0.628956,0.570258,0.493005,0.494394,0.619595,0.535738,0.680622,0.578403
4200,0.294019,0.271088,0.360060,0.271035,0.331117,0.244076,0.730797,0.360793,0.379173,0.379523,0.400279,0.382201,0.496384,0.493262,0.479305,0.479129,0.692726,0.623401,0.483170,0.484776,0.597707,0.522634,0.808469,0.692550,0.489125,0.492227,0.596933,0.508045,0.630930,0.570729,0.492734,0.494236,0.624635,0.535540,0.686216,0.578971
4400,0.293070,0.268721,0.365695,0.269101,0.339507,0.242419,0.748911,0.358571,0.375497,0.375289,0.397346,0.377995,0.495008,0.491750,0.474311,0.474136,0.690217,0.620563,0.482920,0.484629,0.602903,0.523680,0.812172,0.694042,0.488380,0.491237,0.602243,0.509791,0.632563,0.571022,0.492899,0.494157,0.629572,0.535441,0.690552,0.579311
4600,0.293303,0.267476,0.371879,0.267729,0.346836,0.240839,0.765789,0.357103,0.371701,0.370938,0.394761,0.374433,0.495040,0.491530,0.470725,0.470046,0.688931,0.618241,0.482072,0.483806,0.607682,0.524360,0.815028,0.695196,0.487811,0.491124,0.606192,0.510580,0.633963,0.571250,0.492871,0.494119,0.634005,0.534922,0.694456,0.579571
4800,0.292909,0.265795,0.377595,0.266637,0.354172,0.240321,0.781790,0.354948,0.368888,0.367408,0.392273,0.370805,0.494754,0.491065,0.467818,0.466110,0.687163,0.614043,0.481992,0.483839,0.612787,0.525464,0.817473,0.696163,0.487357,0.490435,0.612272,0.512104,0.635240,0.571468,0.490642,0.491706,0.637506,0.534758,0.697868,0.579823
5000,0.293182,0.264926,0.382455,0.265148,0.361370,0.239970,0.796758,0.353758,0.366385,0.364249,0.390116,0.367613,0.494284,0.490312,0.465042,0.462827,0.684995,0.609921,0.482318,0.484287,0.616323,0.526424,0.819650,0.697071,0.487110,0.490187,0.615371,0.512190,0.636363,0.571730,0.489418,0.490429,0.640231,0.534194,0.700983,0.580100
5200,0.293173,0.263900,0.387078,0.263756,0.368431,0.240125,0.810745,0.352194,0.363499,0.360737,0.387976,0.364441,0.494407,0.490074,0.463017,0.459884,0.682728,0.605521,0.482013,0.484149,0.620276,0.526802,0.821183,0.697705,0.486512,0.490150,0.619022,0.512409,0.637367,0.571877,0.489017,0.490083,0.643025,0.534545,0.703724,0.580264
5400,0.293033,0.262712,0.391595,0.263038,0.374955,0.240247,0.823401,0.350386,0.361636,0.358109,0.386176,0.361578,0.494158,0.489514,0.461895,0.457586,0.680721,0.601521,0.481841,0.484141,0.623205,0.526952,0.822678,0.698383,0.486546,0.490109,0.621287,0.512700,0.638244,0.572079,0.488357,0.489349,0.644694,0.533371,0.706111,0.580483
5600,0.293045,0.261861,0.395579,0.262385,0.381286,0.240868,0.835633,0.349198,0.359876,0.355588,0.384900,0.359147,0.494202,0.489259,0.460658,0.455712,0.678344,0.597414,0.481782,0.484048,0.625982,0.527300,0.823938,0.698936,0.486367,0.489837,0.624390,0.512578,0.639108,0.572304,0.488736,0.489694,0.647318,0.533458,0.708230,0.580713
5800,0.293019,0.261105,0.399938,0.262049,0.386500,0.240982,0.845407,0.347932,0.358326,0.353538,0.383523,0.356974,0.493998,0.488834,0.459888,0.454404,0.676217,0.593775,0.481250,0.483472,0.628482,0.527655,0.824760,0.699268,0.486410,0.489670,0.626888,0.512765,0.639695,0.572384,0.488361,0.489410,0.649673,0.533243,0.709836,0.580803
6000,0.292789,0.260257,0.403512,0.261478,0.391565,0.241221,0.855038,0.347155,0.357017,0.351571,0.382449,0.354942,0.493947,0.488538,0.459094,0.452961,0.673832,0.589953,0.481420,0.483546,0.630140,0.527701,0.825404,0.699511,0.485811,0.488569,0.628791,0.512353,0.640149,0.572435,0.487596,0.488675,0.650737,0.532493,0.711214,0.580854
6200,0.292789,0.259693,0.406717,0.260937,0.396406,0.241568,0.862472,0.345883,0.355807,0.349778,0.381666,0.353183,0.493611,0.488023,0.458234,0.451652,0.671558,0.586727,0.481069,0.482919,0.631416,0.527528,0.825971,0.699762,0.484265,0.487220,0.630592,0.512144,0.640591,0.572504,0.487545,0.488468,0.651889,0.531871,0.712500,0.580930
6400,0.292794,0.259202,0.409361,0.260430,0.400184,0.241744,0.870167,0.345279,0.355125,0.348624,0.381033,0.351826,0.493573,0.487812,0.457496,0.450395,0.669966,0.584402,0.481413,0.483390,0.632596,0.527452,0.826396,0.699952,0.484008,0.486926,0.631879,0.512631,0.640931,0.572567,0.487499,0.488454,0.652858,0.531383,0.713507,0.581008
6600,0.292721,0.258716,0.412012,0.260157,0.403915,0.242150,0.877169,0.344750,0.354448,0.347419,0.380307,0.350392,0.493625,0.487724,0.456757,0.449145,0.668105,0.581818,0.481481,0.483449,0.633438,0.527199,0.826842,0.700187,0.483459,0.486503,0.632857,0.512360,0.641272,0.572657,0.487786,0.488746,0.654100,0.531194,0.714395,0.581093
6800,0.292744,0.258339,0.414240,0.259716,0.407321,0.242655,0.883025,0.343866,0.353941,0.346457,0.379548,0.349056,0.493261,0.487199,0.456538,0.448556,0.666359,0.579633,0.481265,0.483186,0.634114,0.527122,0.827140,0.700308,0.483511,0.486256,0.633817,0.512179,0.641507,0.572683,0.488195,0.489097,0.654769,0.530931,0.715063,0.581119
7000,0.292530,0.257822,0.416195,0.259522,0.410537,0.243255,0.888244,0.343443,0.352930,0.345065,0.379052,0.347760,0.493042,0.486787,0.455937,0.447627,0.664373,0.577245,0.480930,0.482782,0.634595,0.526674,0.827287,0.700315,0.483491,0.486106,0.634355,0.511579,0.641653,0.572652,0.488221,0.489208,0.655161,0.530249,0.715620,0.581087
7200,0.292560,0.257553,0.418005,0.259193,0.413309,0.243675,0.893019,0.342758,0.352325,0.344092,0.378650,0.346586,0.492976,0.486573,0.455509,0.446898,0.662662,0.575138,0.480636,0.482522,0.635036,0.526208,0.827466,0.700369,0.483138,0.485752,0.634783,0.510736,0.641813,0.572658,0.488112,0.489051,0.655183,0.529191,0.716136,0.581098
7400,0.292550,0.257268,0.419607,0.259020,0.415902,0.244147,0.897688,0.342332,0.351867,0.343252,0.378070,0.345386,0.493040,0.486437,0.455135,0.446353,0.661138,0.573283,0.480654,0.482385,0.635562,0.525903,0.827637,0.700433,0.482750,0.485377,0.635307,0.510229,0.641953,0.572671,0.487817,0.488762,0.655472,0.528693,0.716527,0.581100
7600,0.292484,0.256957,0.421023,0.258765,0.418269,0.244555,0.901960,0.341954,0.351397,0.342506,0.377727,0.344460,0.492843,0.486110,0.454739,0.445802,0.659606,0.571459,0.480782,0.482388,0.635814,0.525531,0.827765,0.700476,0.482607,0.485086,0.635887,0.509678,0.642058,0.572669,0.487848,0.488790,0.655388,0.527938,0.716861,0.581102
7800,0.292519,0.256746,0.422669,0.258757,0.420581,0.245047,0.905580,0.341303,0.350783,0.341607,0.377376,0.343530,0.492786,0.485920,0.454497,0.445221,0.658237,0.569882,0.480762,0.482343,0.636063,0.525118,0.827811,0.700458,0.482368,0.484937,0.636185,0.509210,0.642113,0.572635,0.487666,0.488659,0.655428,0.527262,0.717139,0.581073
8000,0.292512,0.256516,0.424000,0.258596,0.422801,0.245531,0.909462,0.340923,0.350370,0.340848,0.376967,0.342528,0.492628,0.485634,0.454092,0.444704,0.656790,0.568205,0.480786,0.482253,0.636282,0.524761,0.827861,0.700443,0.482466,0.485056,0.636686,0.508882,0.642154,0.572588,0.487529,0.488535,0.655446,0.526668,0.717415,0.581028
