step,L0.qkv_lut.T_soft,L0.qkv_lut.T_sel,L0.v_lut.T_soft,L0.v_lut.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L0.residual_lut.T_soft,L0.residual_lut.T_sel,L1.qkv_lut.T_soft,L1.qkv_lut.T_sel,L1.v_lut.T_soft,L1.v_lut.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L1.residual_lut.T_soft,L1.residual_lut.T_sel,L2.qkv_lut.T_soft,L2.qkv_lut.T_sel,L2.v_lut.T_soft,L2.v_lut.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L2.residual_lut.T_soft,L2.residual_lut.T_sel,L3.qkv_lut.T_soft,L3.qkv_lut.T_sel,L3.v_lut.T_soft,L3.v_lut.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L3.residual_lut.T_soft,L3.residual_lut.T_sel,L4.qkv_lut.T_soft,L4.qkv_lut.T_sel,L4.v_lut.T_soft,L4.v_lut.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L4.residual_lut.T_soft,L4.residual_lut.T_sel,L5.qkv_lut.T_soft,L5.qkv_lut.T_sel,L5.v_lut.T_soft,L5.v_lut.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel,L5.residual_lut.T_soft,L5.residual_lut.T_sel
2000,0.351447,0.352399,0.320827,0.321012,0.381001,0.366903,0.444930,0.415478,0.676789,0.613565,0.562842,0.496311,0.449367,0.420261,0.529652,0.463399,0.653706,0.589794,0.454622,0.427871,0.455574,0.439858,0.529524,0.504888,0.531759,0.512987,0.474602,0.473467,0.496946,0.493019,0.521180,0.518998,0.481146,0.481573,0.480780,0.481991,0.486876,0.482455,0.518797,0.518719,0.460481,0.458390,0.453516,0.449052,0.457308,0.449198,0.525151,0.525841
2200,0.338208,0.339208,0.304922,0.305119,0.383989,0.365435,0.445745,0.410248,0.690948,0.617572,0.574133,0.497296,0.460691,0.424577,0.542051,0.464534,0.673083,0.597208,0.459106,0.426670,0.458078,0.438417,0.531965,0.502841,0.538565,0.516079,0.471878,0.470604,0.498742,0.492884,0.522647,0.519423,0.480759,0.481671,0.480163,0.481858,0.486345,0.481894,0.518564,0.518571,0.456980,0.454118,0.449033,0.444144,0.452343,0.444085,0.524795,0.525733
2400,0.328339,0.329492,0.290609,0.290813,0.389147,0.364830,0.446251,0.405385,0.703168,0.619549,0.586165,0.499893,0.470401,0.426892,0.553695,0.465703,0.692027,0.603951,0.464590,0.426418,0.460591,0.436965,0.533820,0.500520,0.544724,0.519185,0.470020,0.468523,0.501553,0.493680,0.524758,0.519914,0.480137,0.480459,0.479747,0.481641,0.486287,0.481424,0.516958,0.516933,0.454013,0.450733,0.445928,0.440750,0.447903,0.439119,0.525060,0.526064
2600,0.318476,0.319686,0.277509,0.277739,0.395478,0.365877,0.447888,0.401438,0.715433,0.621667,0.597944,0.501417,0.481304,0.430287,0.565570,0.466926,0.709865,0.608520,0.470775,0.426410,0.464968,0.436902,0.535598,0.498080,0.549820,0.521113,0.468668,0.466694,0.505894,0.495717,0.525720,0.519638,0.478391,0.478810,0.478271,0.480359,0.486850,0.481606,0.516283,0.516047,0.452469,0.448771,0.443753,0.438008,0.443346,0.433998,0.524649,0.525874
2800,0.310035,0.311341,0.265790,0.266027,0.400418,0.365847,0.449601,0.397554,0.721430,0.619274,0.607842,0.502566,0.490761,0.431844,0.577152,0.467923,0.723145,0.609780,0.477660,0.427433,0.469826,0.437398,0.537065,0.495281,0.555886,0.524475,0.466504,0.464320,0.513444,0.500498,0.527507,0.520213,0.476784,0.476569,0.477282,0.479572,0.486619,0.481265,0.515727,0.515437,0.450610,0.446554,0.441160,0.434923,0.438940,0.429347,0.524518,0.525940
3000,0.303118,0.304575,0.255222,0.255467,0.403475,0.364509,0.449497,0.393057,0.731653,0.618586,0.617194,0.503349,0.499740,0.433232,0.586983,0.468148,0.736491,0.611550,0.485813,0.429234,0.475679,0.438560,0.538988,0.493479,0.562717,0.527654,0.463911,0.461120,0.518967,0.503489,0.528618,0.520205,0.474967,0.474102,0.476136,0.478407,0.485617,0.480241,0.514339,0.513855,0.448728,0.444124,0.438510,0.432146,0.435884,0.426060,0.525152,0.526601
3200,0.297665,0.299217,0.246122,0.246415,0.408462,0.364160,0.450604,0.389047,0.739943,0.618140,0.624549,0.502414,0.509921,0.434741,0.598275,0.469358,0.747207,0.611002,0.495041,0.431782,0.481919,0.439549,0.540752,0.491465,0.570822,0.532713,0.462566,0.459393,0.523333,0.505164,0.529876,0.520318,0.474422,0.473659,0.475363,0.477679,0.484809,0.479591,0.513183,0.512609,0.447261,0.442310,0.436587,0.430094,0.433103,0.423086,0.525461,0.526996
3400,0.292729,0.294361,0.237971,0.238281,0.411926,0.363176,0.451380,0.385417,0.744691,0.614392,0.632067,0.501810,0.518182,0.435413,0.607128,0.469559,0.760478,0.612886,0.503776,0.434346,0.488785,0.442046,0.541937,0.489427,0.576573,0.535555,0.460585,0.456893,0.527682,0.507162,0.530659,0.519618,0.476543,0.475498,0.476167,0.478559,0.485903,0.480329,0.512797,0.512309,0.446194,0.441116,0.435427,0.428811,0.431405,0.421318,0.525746,0.527694
3600,0.287564,0.289282,0.231539,0.231875,0.415681,0.362141,0.452570,0.382063,0.749863,0.612256,0.638345,0.500728,0.525695,0.435089,0.617370,0.470347,0.773653,0.614273,0.512566,0.437265,0.493974,0.442614,0.543737,0.487298,0.583103,0.539106,0.459979,0.455818,0.533136,0.509459,0.532968,0.520288,0.474824,0.473882,0.475385,0.477672,0.485418,0.479796,0.511946,0.511411,0.444813,0.439480,0.433785,0.427035,0.428789,0.418841,0.525612,0.527900
3800,0.283754,0.285531,0.225743,0.226051,0.420248,0.361949,0.453503,0.378135,0.755849,0.610736,0.644646,0.499698,0.532826,0.434520,0.627703,0.471108,0.786656,0.616768,0.520789,0.438811,0.498175,0.442269,0.545428,0.484977,0.589054,0.541759,0.459944,0.455095,0.539561,0.512746,0.534177,0.520096,0.475913,0.474675,0.474819,0.477244,0.485244,0.479324,0.511477,0.510788,0.444205,0.438733,0.433216,0.426374,0.427602,0.417756,0.525368,0.527790
