step,L0.qk_lut.T_soft,L0.qk_lut.T_sel,L0.v_lut.T_soft,L0.v_lut.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L1.qk_lut.T_soft,L1.qk_lut.T_sel,L1.v_lut.T_soft,L1.v_lut.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L2.qk_lut.T_soft,L2.qk_lut.T_sel,L2.v_lut.T_soft,L2.v_lut.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L3.qk_lut.T_soft,L3.qk_lut.T_sel,L3.v_lut.T_soft,L3.v_lut.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L4.qk_lut.T_soft,L4.qk_lut.T_sel,L4.v_lut.T_soft,L4.v_lut.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L5.qk_lut.T_soft,L5.qk_lut.T_sel,L5.v_lut.T_soft,L5.v_lut.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel,read_out.T_soft,read_out.T_sel
0,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
200,0.497975,0.498206,0.497172,0.497183,0.496640,0.496581,0.498357,0.498260,0.497255,0.497298,0.497884,0.497868,0.498774,0.498718,0.497626,0.497645,0.498450,0.498437,0.498543,0.498588,0.497729,0.497756,0.498666,0.498655,0.498479,0.498498,0.498284,0.498298,0.499392,0.499351,0.498385,0.498380,0.498194,0.498236,0.499331,0.499294,0.497036,0.497171
400,0.490433,0.492925,0.494302,0.494434,0.489318,0.489582,0.500339,0.497652,0.491823,0.492388,0.494071,0.493979,0.498544,0.497606,0.495033,0.495455,0.498672,0.498175,0.498133,0.497453,0.494533,0.494996,0.497031,0.496662,0.496125,0.496175,0.497343,0.497512,0.499614,0.499378,0.496551,0.496191,0.496678,0.497022,0.499316,0.499143,0.492405,0.493041
600,0.475979,0.482044,0.488324,0.488979,0.476662,0.478264,0.510528,0.501771,0.482389,0.483237,0.485742,0.485711,0.503981,0.497218,0.489755,0.490830,0.498520,0.497103,0.504746,0.498855,0.485494,0.486692,0.494427,0.493230,0.498047,0.493898,0.495132,0.495624,0.500752,0.500050,0.500015,0.495335,0.493406,0.494034,0.499588,0.499207,0.486634,0.487153
800,0.457041,0.466722,0.477771,0.479412,0.459568,0.462759,0.526886,0.509251,0.469369,0.469368,0.471583,0.471056,0.517338,0.500017,0.478257,0.479602,0.497322,0.493889,0.518638,0.503325,0.471607,0.472234,0.489989,0.486835,0.507580,0.494667,0.490418,0.490966,0.504611,0.502503,0.510827,0.497634,0.488260,0.488592,0.500248,0.499445,0.482528,0.480303
1000,0.440573,0.453464,0.464287,0.467178,0.441932,0.446209,0.545744,0.517799,0.459382,0.455944,0.457456,0.454854,0.535495,0.503739,0.464958,0.464291,0.498155,0.491069,0.538179,0.510398,0.458377,0.455423,0.486941,0.479801,0.524722,0.498630,0.482684,0.482345,0.511348,0.506371,0.529979,0.503781,0.481259,0.480109,0.500689,0.499103,0.486977,0.474923
1200,0.429828,0.444366,0.450951,0.454894,0.426007,0.430394,0.565433,0.526456,0.458066,0.446569,0.448403,0.440853,0.554996,0.509442,0.456112,0.449584,0.501417,0.488959,0.559801,0.518420,0.452618,0.441455,0.489697,0.475856,0.545675,0.506135,0.475985,0.472543,0.518908,0.510130,0.551475,0.512195,0.475557,0.470651,0.501519,0.498434,0.499180,0.471822
1400,0.423370,0.438405,0.438649,0.443098,0.412294,0.415426,0.582660,0.532711,0.467578,0.442917,0.450446,0.433388,0.575151,0.515219,0.454264,0.437520,0.507367,0.488141,0.581807,0.526344,0.456311,0.431267,0.495365,0.473069,0.568303,0.514389,0.472147,0.462855,0.526367,0.513409,0.576017,0.522580,0.473315,0.460978,0.502502,0.497356,0.517114,0.470915
1600,0.418466,0.433261,0.428355,0.433117,0.402209,0.402136,0.601698,0.540414,0.483685,0.444341,0.460671,0.430760,0.595108,0.521216,0.462317,0.430003,0.515472,0.487848,0.602119,0.531944,0.467359,0.425219,0.505265,0.472591,0.591197,0.521780,0.471999,0.454044,0.534754,0.516642,0.601304,0.531851,0.473410,0.450750,0.503294,0.495404,0.539109,0.471499
1800,0.417005,0.430121,0.420296,0.424594,0.396622,0.390775,0.619362,0.546708,0.502284,0.448126,0.474808,0.433157,0.615737,0.526562,0.476019,0.425100,0.526132,0.488909,0.623121,0.538210,0.481945,0.421819,0.516978,0.472977,0.615715,0.530659,0.475847,0.445692,0.543187,0.519127,0.625933,0.540414,0.479469,0.442474,0.503821,0.492794,0.564051,0.473316
