step,L0.qk_lut.T_soft,L0.qk_lut.T_sel,L0.v_lut.T_soft,L0.v_lut.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L0.residual_lut.T_soft,L0.residual_lut.T_sel,L1.qk_lut.T_soft,L1.qk_lut.T_sel,L1.v_lut.T_soft,L1.v_lut.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L1.residual_lut.T_soft,L1.residual_lut.T_sel,L2.qk_lut.T_soft,L2.qk_lut.T_sel,L2.v_lut.T_soft,L2.v_lut.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L2.residual_lut.T_soft,L2.residual_lut.T_sel,L3.qk_lut.T_soft,L3.qk_lut.T_sel,L3.v_lut.T_soft,L3.v_lut.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L3.residual_lut.T_soft,L3.residual_lut.T_sel,L4.qk_lut.T_soft,L4.qk_lut.T_sel,L4.v_lut.T_soft,L4.v_lut.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L4.residual_lut.T_soft,L4.residual_lut.T_sel,L5.qk_lut.T_soft,L5.qk_lut.T_sel,L5.v_lut.T_soft,L5.v_lut.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel,L5.residual_lut.T_soft,L5.residual_lut.T_sel
2000,0.429656,0.440515,0.373646,0.360721,0.529804,0.423935,0.516802,0.406802,0.562120,0.482682,0.508511,0.404121,0.593561,0.459071,0.585706,0.428156,0.564497,0.459096,0.487920,0.382547,0.515001,0.419841,0.578598,0.419315,0.571154,0.467268,0.436040,0.389666,0.497955,0.433373,0.604527,0.429207,0.517581,0.463693,0.435592,0.415254,0.549793,0.506892,0.602888,0.455388,0.506184,0.470938,0.430843,0.419098,0.511695,0.482161,0.587584,0.464240
2200,0.425241,0.435295,0.371949,0.350892,0.554820,0.426642,0.522704,0.395956,0.566633,0.476984,0.524661,0.400988,0.620609,0.462709,0.600201,0.420729,0.572011,0.452217,0.501790,0.375062,0.531361,0.414149,0.591728,0.410582,0.580250,0.461294,0.437833,0.380332,0.505711,0.426651,0.617688,0.419501,0.520306,0.458716,0.429262,0.403985,0.551619,0.500935,0.609180,0.443817,0.508044,0.466466,0.423152,0.408461,0.505657,0.471632,0.590746,0.451684
2400,0.420516,0.429679,0.373124,0.341716,0.580002,0.431297,0.529228,0.386497,0.573070,0.472693,0.538398,0.396476,0.645937,0.463267,0.611087,0.412682,0.581132,0.445753,0.515847,0.368907,0.548908,0.408102,0.603710,0.401034,0.586552,0.454183,0.441753,0.372418,0.515368,0.420530,0.629874,0.409629,0.521532,0.452980,0.424926,0.394539,0.553973,0.495523,0.616298,0.432692,0.509537,0.461641,0.417125,0.399240,0.500420,0.461641,0.593336,0.439730
2600,0.416930,0.425018,0.376302,0.334169,0.605510,0.434687,0.536684,0.378485,0.576968,0.467760,0.553762,0.392222,0.673258,0.465405,0.622709,0.406440,0.586632,0.439007,0.529718,0.362079,0.567134,0.402344,0.613120,0.392711,0.591817,0.446473,0.447022,0.365817,0.527389,0.415379,0.642026,0.400073,0.523978,0.448331,0.421355,0.385546,0.557876,0.490407,0.623977,0.421748,0.511865,0.457608,0.411822,0.391112,0.494172,0.450635,0.597262,0.427894
2800,0.413492,0.420555,0.379497,0.327186,0.630383,0.436440,0.542621,0.369095,0.581070,0.463099,0.569149,0.388727,0.700917,0.468551,0.632714,0.399168,0.594498,0.433350,0.544305,0.356621,0.588343,0.399848,0.623571,0.385408,0.597036,0.440299,0.452420,0.360146,0.537777,0.409740,0.653474,0.391413,0.525785,0.443773,0.418825,0.377313,0.559941,0.484528,0.630660,0.412016,0.515238,0.453961,0.408020,0.383889,0.488751,0.440776,0.600729,0.417347
3000,0.410380,0.416454,0.384399,0.321149,0.655745,0.438868,0.549477,0.360385,0.585223,0.459319,0.583145,0.385455,0.728546,0.469598,0.640737,0.391490,0.601221,0.427493,0.556568,0.351647,0.609168,0.396967,0.634259,0.377983,0.601924,0.433236,0.458417,0.354575,0.548640,0.405230,0.665164,0.383666,0.527891,0.439227,0.417591,0.368859,0.562828,0.478960,0.637594,0.402276,0.518915,0.450115,0.404992,0.377086,0.485145,0.431819,0.604611,0.407221
3200,0.407063,0.411839,0.390863,0.316426,0.680219,0.440201,0.556090,0.352205,0.587917,0.453738,0.597788,0.382375,0.756456,0.471555,0.647548,0.383602,0.607185,0.421680,0.569399,0.346372,0.629611,0.394409,0.643748,0.370570,0.607962,0.427336,0.465823,0.350070,0.562671,0.402663,0.674321,0.375201,0.529071,0.434618,0.417028,0.362640,0.567031,0.474307,0.645233,0.392789,0.521025,0.446209,0.402729,0.370854,0.480490,0.421900,0.610414,0.397560
3400,0.404551,0.408293,0.396789,0.312203,0.704923,0.441881,0.562489,0.344978,0.591239,0.450048,0.611755,0.378119,0.784091,0.473173,0.654402,0.376961,0.611580,0.415888,0.580675,0.341692,0.649335,0.391417,0.653420,0.364459,0.612007,0.421358,0.472369,0.345735,0.575396,0.398763,0.683403,0.366671,0.529692,0.429671,0.416996,0.356986,0.570598,0.468906,0.649985,0.383199,0.523295,0.442341,0.403059,0.367143,0.477668,0.413777,0.615025,0.388708
3600,0.402421,0.405158,0.401867,0.308025,0.727700,0.441900,0.569000,0.338025,0.592845,0.445234,0.623726,0.374915,0.810633,0.473619,0.661812,0.371237,0.618506,0.411426,0.592293,0.337544,0.669853,0.389459,0.663317,0.357584,0.616364,0.415509,0.478064,0.341718,0.589669,0.396591,0.693367,0.359239,0.531340,0.425635,0.417686,0.352683,0.573352,0.462716,0.655017,0.374775,0.525841,0.438724,0.401819,0.362418,0.473345,0.404922,0.620092,0.379163
3800,0.400601,0.402276,0.407210,0.304328,0.749866,0.441285,0.574487,0.330702,0.593749,0.439890,0.633183,0.371106,0.836542,0.474335,0.667350,0.364412,0.623968,0.406092,0.602572,0.333365,0.689316,0.386513,0.672500,0.351652,0.619104,0.409731,0.485101,0.338461,0.603258,0.394857,0.702190,0.352473,0.532148,0.421648,0.419361,0.348465,0.577854,0.457815,0.660588,0.367199,0.528115,0.435243,0.400940,0.358473,0.471817,0.398113,0.625314,0.371513
