step,L0.qkv_lut.T_soft,L0.qkv_lut.T_sel,L0.v_lut.T_soft,L0.v_lut.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L0.residual_lut.T_soft,L0.residual_lut.T_sel,L1.qkv_lut.T_soft,L1.qkv_lut.T_sel,L1.v_lut.T_soft,L1.v_lut.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L1.residual_lut.T_soft,L1.residual_lut.T_sel,L2.qkv_lut.T_soft,L2.qkv_lut.T_sel,L2.v_lut.T_soft,L2.v_lut.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L2.residual_lut.T_soft,L2.residual_lut.T_sel,L3.qkv_lut.T_soft,L3.qkv_lut.T_sel,L3.v_lut.T_soft,L3.v_lut.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L3.residual_lut.T_soft,L3.residual_lut.T_sel,L4.qkv_lut.T_soft,L4.qkv_lut.T_sel,L4.v_lut.T_soft,L4.v_lut.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L4.residual_lut.T_soft,L4.residual_lut.T_sel,L5.qkv_lut.T_soft,L5.qkv_lut.T_sel,L5.v_lut.T_soft,L5.v_lut.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel,L5.residual_lut.T_soft,L5.residual_lut.T_sel
2000,0.438574,0.439570,0.563733,0.569220,0.438710,0.361994,0.402528,0.373931,0.667555,0.492173,0.475763,0.402079,0.495255,0.381479,0.452652,0.382736,0.652573,0.490497,0.431614,0.416213,0.468322,0.420436,0.516205,0.458095,0.514434,0.489948,0.499998,0.497054,0.483998,0.472120,0.587811,0.537061,0.521638,0.471008,0.588471,0.467920,0.569213,0.524783,0.610459,0.583364,0.509518,0.452735,0.508922,0.439995,0.557842,0.509896,0.628140,0.574629
2200,0.422529,0.423370,0.558481,0.563864,0.458945,0.357365,0.399525,0.363168,0.684124,0.487082,0.488011,0.397733,0.518433,0.378172,0.461515,0.374340,0.671159,0.486750,0.427967,0.407451,0.475612,0.414539,0.517145,0.450986,0.516222,0.488570,0.497910,0.494920,0.483767,0.467514,0.588064,0.535566,0.523047,0.470788,0.597568,0.472059,0.578210,0.532219,0.615506,0.587288,0.506911,0.448961,0.503922,0.434096,0.571423,0.515595,0.636210,0.576051
2400,0.409005,0.409641,0.550627,0.555853,0.479375,0.353389,0.398291,0.353057,0.700949,0.481164,0.500400,0.393377,0.541237,0.375871,0.472110,0.366645,0.687980,0.481985,0.426215,0.398745,0.485745,0.408841,0.518717,0.443859,0.518301,0.486888,0.497090,0.493681,0.485196,0.463809,0.588350,0.532287,0.523686,0.470347,0.604949,0.475180,0.588127,0.539006,0.623552,0.592682,0.508985,0.448646,0.506897,0.433505,0.586177,0.522177,0.642891,0.577366
2600,0.394642,0.395134,0.542636,0.547662,0.500377,0.351971,0.399549,0.343880,0.714301,0.474562,0.511528,0.389934,0.565676,0.374625,0.484548,0.359859,0.705914,0.477958,0.425923,0.391186,0.495827,0.403842,0.520641,0.437059,0.521295,0.486251,0.496374,0.492887,0.488437,0.462325,0.588726,0.530139,0.527447,0.471700,0.619306,0.479891,0.599007,0.544207,0.642741,0.598529,0.515360,0.452519,0.515596,0.438854,0.593632,0.522856,0.648254,0.578438
2800,0.380780,0.381146,0.533218,0.537976,0.522026,0.350638,0.403132,0.335000,0.727361,0.468350,0.525239,0.387001,0.591354,0.372644,0.499369,0.354341,0.722862,0.473512,0.427698,0.384031,0.507787,0.399691,0.523022,0.430213,0.522901,0.483916,0.494702,0.491144,0.493363,0.461289,0.587549,0.525817,0.530591,0.472880,0.631910,0.485786,0.612331,0.550121,0.664491,0.603515,0.523229,0.457258,0.527111,0.447198,0.605404,0.524493,0.653696,0.579518
3000,0.368515,0.368770,0.523643,0.528155,0.543837,0.349208,0.407323,0.326468,0.739583,0.462500,0.538344,0.383661,0.617024,0.370761,0.515721,0.350160,0.738915,0.468442,0.431482,0.378382,0.519897,0.395737,0.525892,0.424032,0.524635,0.481626,0.493225,0.489562,0.498828,0.460500,0.585171,0.519479,0.535502,0.474927,0.643539,0.490992,0.623138,0.554952,0.683282,0.607319,0.531083,0.462040,0.540278,0.455423,0.618683,0.525409,0.658617,0.580494
3200,0.356019,0.356149,0.513802,0.518068,0.566551,0.347087,0.413296,0.319250,0.749970,0.455926,0.550792,0.380571,0.642106,0.368850,0.531937,0.346134,0.753671,0.463222,0.436037,0.373853,0.532190,0.391813,0.528408,0.417837,0.526966,0.480442,0.491988,0.488049,0.504241,0.459775,0.582933,0.513287,0.538690,0.476881,0.653064,0.496629,0.633990,0.558894,0.701007,0.610190,0.537499,0.464713,0.551599,0.460669,0.628641,0.526276,0.662694,0.581290
3400,0.345517,0.345519,0.504518,0.508534,0.588467,0.344375,0.418204,0.313248,0.759481,0.449723,0.562058,0.377725,0.666787,0.367487,0.546025,0.343122,0.768578,0.459242,0.440728,0.369329,0.544760,0.388311,0.530681,0.412747,0.528972,0.478829,0.490275,0.486339,0.510535,0.459265,0.580898,0.508026,0.538803,0.476135,0.663134,0.501066,0.643654,0.561661,0.714029,0.612201,0.544266,0.467920,0.560811,0.463873,0.639660,0.527097,0.665935,0.581960
3600,0.335348,0.335235,0.494551,0.498405,0.610052,0.342448,0.424969,0.307717,0.769782,0.444215,0.572673,0.374966,0.691957,0.365356,0.561386,0.340435,0.783013,0.454492,0.447930,0.366324,0.559111,0.385210,0.533244,0.407065,0.531659,0.477596,0.488748,0.484832,0.517010,0.459312,0.577534,0.501506,0.537691,0.474287,0.669496,0.502411,0.649822,0.562777,0.725589,0.613995,0.549038,0.468972,0.572003,0.465148,0.649515,0.527047,0.668900,0.582539
3800,0.325825,0.325608,0.484365,0.488100,0.630464,0.339012,0.431358,0.301826,0.778157,0.438039,0.582916,0.372413,0.715387,0.363330,0.578113,0.338260,0.795981,0.450794,0.454224,0.363473,0.570942,0.382789,0.536743,0.402228,0.534696,0.477007,0.487103,0.483171,0.524249,0.459131,0.574591,0.495443,0.540851,0.476211,0.677871,0.505919,0.660580,0.565093,0.737108,0.615623,0.552949,0.469254,0.580662,0.465336,0.660522,0.527697,0.671483,0.583024
