step,train_loss,val_bpb,ln2_norm_L0,ln2_norm_L1,ln2_norm_L2,ln2_norm_L3,ln2_norm_L4,ln2_norm_L5,ln2_mean_L0,ln2_mean_L1,ln2_mean_L2,ln2_mean_L3,ln2_mean_L4,ln2_mean_L5,ln1_norm_L0,ln1_norm_L1,ln1_norm_L2,ln1_norm_L3,ln1_norm_L4,ln1_norm_L5
500,7.175992,2.055185,19.712500,19.631073,19.635387,19.643913,19.648668,19.649452,1.005949,1.001793,1.002013,1.002448,1.002690,1.002730,19.640764,19.617010,19.624296,19.636150,19.661942,19.674883
1000,6.048483,1.809335,19.749599,19.627012,19.637072,19.659290,19.705103,19.733978,1.007839,1.001584,1.002097,1.003230,1.005566,1.007039,19.441940,19.637720,19.642969,19.645517,19.728291,19.769651
1500,5.549282,1.670175,19.713533,19.563820,19.592583,19.631538,19.770947,19.844509,1.005993,0.998356,0.999822,1.001808,1.008917,1.012666,19.087009,19.629229,19.590773,19.590715,19.719004,19.874388
2000,5.185887,1.569175,19.458138,19.415520,19.482571,19.526184,19.765646,19.886784,0.992953,0.990780,0.994200,0.996423,1.008631,1.014807,18.542292,19.622374,19.454365,19.470900,19.642700,20.051355
2500,4.920857,1.491255,19.109116,19.250612,19.339027,19.375746,19.686279,19.896368,0.975135,0.982352,0.986865,0.988737,1.004566,1.015282,17.962595,19.611513,19.281157,19.332081,19.552237,20.402193
3000,4.706705,1.430643,18.719810,19.073826,19.193434,19.227425,19.580820,19.900375,0.955263,0.973320,0.979423,0.981157,0.999169,1.015468,17.394976,19.589581,19.093657,19.186224,19.469128,20.823536
3500,4.554903,1.388970,18.315290,18.912926,19.043684,19.089672,19.482153,19.896053,0.934616,0.965097,0.971769,0.974114,0.994118,1.015225,16.858120,19.560705,18.918472,19.059074,19.391066,21.147898
4000,4.459601,1.356875,17.938835,18.749695,18.909256,18.957308,19.384983,19.881653,0.915401,0.956755,0.964898,0.967348,0.989144,1.014471,16.356281,19.525654,18.754145,18.945803,19.318623,21.414864
4500,4.373135,1.335152,17.589512,18.602661,18.778091,18.829758,19.286339,19.865097,0.897568,0.949237,0.958191,0.960826,0.984094,1.013609,15.883972,19.486197,18.605957,18.850971,19.255501,21.642822
5000,4.315126,1.314889,17.274313,18.457466,18.658066,18.715282,19.187519,19.841022,0.881481,0.941814,0.952054,0.954973,0.979039,1.012362,15.454669,19.444765,18.472553,18.771173,19.201509,21.854742
