step,L0.qk_lut.T_soft,L0.qk_lut.T_sel,L0.v_lut.T_soft,L0.v_lut.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L1.qk_lut.T_soft,L1.qk_lut.T_sel,L1.v_lut.T_soft,L1.v_lut.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L2.qk_lut.T_soft,L2.qk_lut.T_sel,L2.v_lut.T_soft,L2.v_lut.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L3.qk_lut.T_soft,L3.qk_lut.T_sel,L3.v_lut.T_soft,L3.v_lut.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L4.qk_lut.T_soft,L4.qk_lut.T_sel,L4.v_lut.T_soft,L4.v_lut.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L5.qk_lut.T_soft,L5.qk_lut.T_sel,L5.v_lut.T_soft,L5.v_lut.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel,read_out_lut.T_soft,read_out_lut.T_sel
0,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
200,0.497627,0.497881,0.498557,0.498586,0.498245,0.498164,0.499659,0.499556,0.499272,0.499313,0.500168,0.500025,0.499893,0.499861,0.499516,0.499585,0.500975,0.500831,0.500211,0.500078,0.499323,0.499388,0.500448,0.500378,0.500171,0.500165,0.499863,0.499853,0.501072,0.501078,0.500507,0.500392,0.499706,0.499712,0.500254,0.500247,0.499128,0.499044
400,0.488877,0.490658,0.496306,0.496519,0.491225,0.491581,0.500507,0.499734,0.494223,0.494488,0.498028,0.497326,0.500606,0.499650,0.493792,0.494161,0.502890,0.501833,0.500386,0.499102,0.491895,0.492303,0.499608,0.499022,0.498141,0.498024,0.497714,0.497959,0.507023,0.506769,0.502395,0.500979,0.497206,0.497304,0.500024,0.499868,0.496927,0.496392
600,0.474916,0.479144,0.489509,0.490634,0.479422,0.480395,0.503710,0.500652,0.482683,0.483175,0.492581,0.490118,0.502331,0.498951,0.481231,0.481977,0.507853,0.504006,0.501944,0.496548,0.477586,0.477809,0.498382,0.495872,0.493194,0.492079,0.488890,0.489399,0.520640,0.519300,0.506497,0.500935,0.487014,0.487292,0.497479,0.496326,0.494740,0.492198
800,0.458096,0.464869,0.474201,0.476485,0.462085,0.463030,0.508412,0.501261,0.465258,0.465591,0.490896,0.480651,0.505492,0.497575,0.463810,0.464778,0.521995,0.511303,0.507743,0.493936,0.458850,0.458348,0.498475,0.489680,0.490174,0.484942,0.474323,0.475214,0.545009,0.542256,0.513984,0.501196,0.469674,0.469139,0.492733,0.488232,0.496323,0.487623
1000,0.442115,0.451105,0.459725,0.462584,0.445751,0.445451,0.515072,0.502664,0.446813,0.446368,0.500661,0.474874,0.511575,0.497200,0.446480,0.446965,0.541724,0.521546,0.516723,0.491864,0.439753,0.438014,0.505010,0.485087,0.488539,0.477805,0.459060,0.460275,0.575070,0.570041,0.524806,0.501627,0.449536,0.447699,0.489814,0.477925,0.503356,0.484685
1200,0.432087,0.441834,0.446759,0.449242,0.434813,0.430663,0.522745,0.504355,0.431156,0.428766,0.517707,0.473551,0.517775,0.496322,0.431596,0.430601,0.564397,0.533988,0.527432,0.490348,0.423561,0.419513,0.516569,0.481308,0.491783,0.472847,0.446019,0.447204,0.607302,0.599698,0.538803,0.504598,0.431300,0.426786,0.493094,0.468270,0.516073,0.483673
1400,0.425710,0.435022,0.436976,0.437972,0.432651,0.419158,0.529279,0.504563,0.418996,0.413343,0.539522,0.477783,0.526743,0.496869,0.419157,0.416103,0.589744,0.547083,0.544126,0.491921,0.411163,0.403023,0.530980,0.477011,0.500059,0.471520,0.434207,0.435330,0.640882,0.629799,0.555286,0.507898,0.418191,0.407977,0.497936,0.457219,0.530494,0.483477
1600,0.421128,0.429289,0.430168,0.428519,0.438427,0.410926,0.537828,0.506858,0.410654,0.400089,0.564560,0.484274,0.536039,0.496930,0.409497,0.402904,0.615217,0.559714,0.557941,0.492110,0.400991,0.387621,0.546320,0.471192,0.513412,0.472706,0.422896,0.423639,0.675208,0.659929,0.569956,0.508584,0.410987,0.390956,0.507566,0.448012,0.548166,0.483999
1800,0.419271,0.425573,0.425068,0.420051,0.448251,0.405137,0.544578,0.507023,0.405695,0.388779,0.590241,0.491785,0.545995,0.497007,0.402284,0.390934,0.641823,0.570916,0.575077,0.495473,0.396954,0.375460,0.564476,0.468145,0.529592,0.476182,0.413208,0.412514,0.709743,0.688727,0.586114,0.511562,0.409851,0.376125,0.521212,0.440617,0.566118,0.484527
