step,frac_zero,frac_pos,frac_neg,nonzero_per_hyperplane,hamming_vs_init,hamming_frac,sign_flips_vs_init,zero_to_nonzero_vs_init,nonzero_to_zero_vs_init,churn_vs_prev_eval,T_min,T_mean,T_max,b_min,b_mean,b_max,b_absmean,b_frac_nonzero,mean_nonzero_count,proj_std,score_over_temp,divisor_mean,sparsity_surrogate,penalty_value,target_nonzero_frac,sparsity_slack,hinge_active,topk_k,topk_mask_churn,topk_mask_entered,topk_mask_vs_init
0,0.666667,0.166682,0.166652,128.0000,0,0.00000000,0,0,0,0,0.392065,0.392065,0.392065,0.000000,0.000000,0.000000,0.000000,0.000000,128.0000,0.705216,1.4104,16.0000,0.624648,0.000000,0.000000,+0.624648,0,128,0,0,0
200,0.666667,0.166651,0.166683,128.0000,2591602,0.27461603,938,1295332,1295332,2591602,0.390735,0.391601,0.392356,-0.002225,0.000001,0.002066,0.000378,1.000000,128.0000,0.705543,1.4163,16.0000,0.682925,0.000000,0.000000,+0.682925,0,128,2590664,1295332,2590664
400,0.666667,0.166589,0.166744,128.0000,3810076,0.40373018,101250,1854413,1854413,2860341,0.388447,0.391093,0.392663,-0.005047,0.000007,0.004431,0.000618,1.000000,128.0000,0.704675,1.4247,16.0000,0.693947,0.000000,0.000000,+0.693947,0,128,2847808,1423904,3708826
600,0.666667,0.166552,0.166782,128.0000,4109400,0.43544769,165090,1972155,1972155,2297352,0.384539,0.390351,0.393146,-0.007011,0.000009,0.006881,0.000931,1.000000,128.0000,0.705048,1.4272,16.0000,0.697527,0.000000,0.000000,+0.697527,0,128,2296380,1148190,3944310
800,0.666667,0.166696,0.166638,128.0000,4298124,0.45544562,226404,2035860,2035860,2267403,0.379742,0.389128,0.393700,-0.009868,0.000029,0.010413,0.001402,1.000000,128.0000,0.705340,1.4161,16.0000,0.700572,0.000000,0.000000,+0.700572,0,128,2267028,1133514,4071720
1000,0.666667,0.166646,0.166688,128.0000,4407213,0.46700510,276729,2065242,2065242,2222336,0.373600,0.387338,0.394089,-0.011948,0.000038,0.014452,0.002003,1.000000,128.0000,0.705450,1.3927,16.0000,0.704152,0.000000,0.000000,+0.704152,0,128,2222148,1111074,4130484
1200,0.666667,0.166501,0.166833,128.0000,4477467,0.47444949,315103,2081182,2081182,2193227,0.368624,0.384882,0.395901,-0.014708,0.000063,0.015667,0.002732,1.000000,128.0000,0.704568,1.3595,16.0000,0.707176,0.000000,0.000000,+0.707176,0,128,2193132,1096566,4162364
1400,0.666667,0.166689,0.166645,128.0000,4522509,0.47922230,345063,2088723,2088723,2165881,0.362829,0.381571,0.395126,-0.023391,0.000077,0.024698,0.003550,1.000000,128.0000,0.704310,1.3191,16.0000,0.710023,0.000000,0.000000,+0.710023,0,128,2165844,1082922,4177446
1600,0.666667,0.166638,0.166695,128.0000,4555646,0.48273364,367994,2093826,2093826,2112022,0.356355,0.377377,0.393810,-0.030405,0.000095,0.034090,0.004404,1.000000,128.0000,0.704660,1.2672,16.0000,0.713725,0.000000,0.000000,+0.713725,0,128,2112004,1056002,4187652
1800,0.666667,0.166620,0.166714,128.0000,4578429,0.48514780,384407,2097011,2097011,1995404,0.350028,0.372623,0.395516,-0.040301,0.000088,0.040441,0.005243,1.000000,128.0000,0.704392,1.2086,16.0000,0.718612,0.000000,0.000000,+0.718612,0,128,1995396,997698,4194022
2000,0.666667,0.166560,0.166773,128.0000,4592703,0.48666033,396963,2097870,2097870,1846830,0.344035,0.367705,0.395746,-0.046370,0.000103,0.045059,0.005988,1.000000,128.0000,0.703885,1.1518,16.0000,0.724095,0.000000,0.000000,+0.724095,0,128,1846828,923414,4195740
2200,0.666667,0.166536,0.166797,128.0000,4603740,0.48782983,406744,2098498,2098498,1739718,0.333972,0.362628,0.395254,-0.052194,0.000095,0.053503,0.006705,1.000000,128.0000,0.704285,1.0995,16.0000,0.730540,0.000000,0.000000,+0.730540,0,128,1739718,869859,4196996
2400,0.666667,0.166638,0.166696,128.0000,4613367,0.48884997,414117,2099625,2099625,1679336,0.324028,0.357421,0.392875,-0.060007,0.000131,0.057395,0.007368,1.000000,128.0000,0.703720,1.0483,16.0000,0.737180,0.000000,0.000000,+0.737180,0,128,1679336,839668,4199250
2600,0.666667,0.166729,0.166604,128.0000,4619165,0.48946434,421531,2098817,2098817,1627284,0.316180,0.352223,0.391370,-0.061853,0.000121,0.062920,0.008025,1.000000,128.0000,0.703797,1.0010,16.0000,0.743745,0.000000,0.000000,+0.743745,0,128,1627284,813642,4197634
2800,0.666667,0.166705,0.166629,128.0000,4623934,0.48996967,427280,2098327,2098327,1590904,0.309188,0.347013,0.391001,-0.067171,0.000118,0.065671,0.008618,1.000000,128.0000,0.703351,0.9554,16.0000,0.750442,0.000000,0.000000,+0.750442,0,128,1590904,795452,4196654
3000,0.666667,0.166742,0.166592,128.0000,4630257,0.49063969,432359,2098949,2098949,1560740,0.300069,0.341756,0.389965,-0.071364,0.000119,0.070781,0.009208,1.000000,128.0000,0.703696,0.9145,16.0000,0.757465,0.000000,0.000000,+0.757465,0,128,1560740,780370,4197898
3200,0.666667,0.166732,0.166602,128.0000,4635570,0.49120268,435940,2099815,2099815,1543054,0.291372,0.336443,0.389670,-0.074564,0.000113,0.074558,0.009786,1.000000,128.0000,0.703398,0.8760,16.0000,0.764729,0.000000,0.000000,+0.764729,0,128,1543054,771527,4199630
3400,0.666667,0.166655,0.166679,128.0000,4639816,0.49165261,439404,2100206,2100206,1537798,0.284855,0.331132,0.388741,-0.082117,0.000105,0.079642,0.010363,1.000000,128.0000,0.703011,0.8395,16.0000,0.771884,0.000000,0.000000,+0.771884,0,128,1537798,768899,4200412
3600,0.666667,0.166676,0.166657,128.0000,4640768,0.49175349,443794,2098487,2098487,1535284,0.278646,0.325771,0.386263,-0.089281,0.000093,0.081337,0.010943,1.000000,128.0000,0.703012,0.8072,16.0000,0.779313,0.000000,0.000000,+0.779313,0,128,1535284,767642,4196974
3800,0.666667,0.166764,0.166569,128.0000,4644467,0.49214545,446607,2098930,2098930,1534432,0.271862,0.320482,0.382677,-0.091246,0.000105,0.085335,0.011498,1.000000,128.0000,0.703400,0.7757,16.0000,0.786434,0.000000,0.000000,+0.786434,0,128,1534432,767216,4197860
4000,0.666667,0.166727,0.166606,128.0000,4648731,0.49259725,448691,2100020,2100020,1541664,0.264403,0.315230,0.379388,-0.091208,0.000111,0.091482,0.012072,1.000000,128.0000,0.703195,0.7458,16.0000,0.793494,0.000000,0.000000,+0.793494,0,128,1541664,770832,4200040
