step,train_loss,val_bpb,aux_ce,aux_top1
200,10.385100,3.179638,10.365192,0.000977
400,10.329766,3.155199,10.265688,0.000244
600,10.223407,3.114964,10.099332,0.000366
800,10.066381,3.060275,9.866608,0.000122
1000,9.873857,2.998495,9.601531,0.000366
1200,9.683673,2.942111,9.337898,0.001465
1400,9.533626,2.893178,9.077926,0.001343
1600,9.495602,2.900404,8.822619,0.001831
1800,9.349121,2.842889,8.570739,0.002197
2000,9.178797,2.793461,8.325104,0.005127
2200,9.018464,2.744529,8.086926,0.004883
2400,8.873583,2.699520,7.858330,0.005859
