step,L0.qk_lut.T_soft,L0.qk_lut.T_sel,L0.v_lut.T_soft,L0.v_lut.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L1.qk_lut.T_soft,L1.qk_lut.T_sel,L1.v_lut.T_soft,L1.v_lut.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L2.qk_lut.T_soft,L2.qk_lut.T_sel,L2.v_lut.T_soft,L2.v_lut.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L3.qk_lut.T_soft,L3.qk_lut.T_sel,L3.v_lut.T_soft,L3.v_lut.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L4.qk_lut.T_soft,L4.qk_lut.T_sel,L4.v_lut.T_soft,L4.v_lut.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L5.qk_lut.T_soft,L5.qk_lut.T_sel,L5.v_lut.T_soft,L5.v_lut.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel,read_out.T_soft,read_out.T_sel
0,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
200,0.497996,0.498258,0.498330,0.498333,0.498013,0.498006,0.498698,0.498246,0.498154,0.498165,0.499154,0.499201,0.498916,0.498849,0.498082,0.498105,0.498592,0.498624,0.498869,0.498842,0.498442,0.498496,0.499663,0.499655,0.499016,0.498939,0.498754,0.498786,0.499700,0.499724,0.499315,0.499119,0.498902,0.498930,0.499672,0.499716,0.498034,0.498058
400,0.491074,0.493445,0.497349,0.497410,0.493807,0.494509,0.501127,0.498025,0.494545,0.494840,0.498405,0.498729,0.501869,0.499272,0.493139,0.493632,0.495506,0.495711,0.498445,0.497424,0.496103,0.496565,0.500543,0.500283,0.500999,0.498965,0.495676,0.496184,0.499048,0.499167,0.500946,0.498986,0.497395,0.497664,0.499716,0.499772,0.495527,0.495780
600,0.478753,0.484847,0.494660,0.495066,0.482682,0.485816,0.510549,0.501591,0.487859,0.488249,0.496487,0.495598,0.512098,0.502880,0.482703,0.483622,0.489452,0.488809,0.501269,0.496920,0.488944,0.490240,0.506799,0.504467,0.510396,0.501899,0.486180,0.487399,0.496550,0.496415,0.508911,0.501474,0.492601,0.493396,0.500591,0.500291,0.492692,0.492446
800,0.463927,0.474166,0.487260,0.488645,0.467288,0.471935,0.526180,0.507325,0.477246,0.477176,0.502405,0.494693,0.529889,0.510733,0.467635,0.468559,0.486738,0.479738,0.510458,0.498467,0.476176,0.478155,0.523387,0.515825,0.529609,0.510782,0.469789,0.471161,0.494844,0.491580,0.526178,0.509061,0.482836,0.484044,0.505029,0.502292,0.493927,0.489552
1000,0.452367,0.465435,0.477239,0.479542,0.454010,0.456258,0.544736,0.514848,0.467581,0.466183,0.520073,0.502001,0.549748,0.519050,0.451994,0.452564,0.493900,0.474164,0.525084,0.502597,0.462040,0.464179,0.548269,0.534353,0.552709,0.522133,0.452588,0.453445,0.498008,0.486569,0.546094,0.517910,0.470133,0.470858,0.516575,0.507146,0.505445,0.489009
1200,0.444793,0.459614,0.466437,0.469093,0.451709,0.443904,0.563592,0.522675,0.460196,0.456967,0.541773,0.512588,0.567689,0.525573,0.439480,0.438549,0.509488,0.472555,0.540930,0.507145,0.449543,0.451407,0.575694,0.554438,0.574024,0.530073,0.439308,0.438598,0.510394,0.486373,0.565529,0.525200,0.457870,0.457152,0.533075,0.513795,0.523552,0.490425
1400,0.440448,0.455393,0.456330,0.458896,0.460227,0.436070,0.581007,0.529052,0.454620,0.448590,0.567051,0.525928,0.587395,0.532614,0.429416,0.425260,0.531593,0.476660,0.557141,0.512043,0.437793,0.439384,0.605317,0.576632,0.596679,0.539605,0.427727,0.424186,0.526672,0.487106,0.588155,0.534596,0.447922,0.444830,0.551327,0.520509,0.545726,0.493125
1600,0.438692,0.452998,0.445646,0.447271,0.474725,0.430038,0.598342,0.535684,0.451193,0.441078,0.595372,0.542785,0.606721,0.538872,0.420624,0.412731,0.556825,0.483617,0.575833,0.518011,0.427528,0.427937,0.636229,0.598882,0.617489,0.545688,0.417338,0.410178,0.548325,0.490909,0.609847,0.542167,0.439291,0.432463,0.572197,0.527248,0.571638,0.496986
