step,L0.qk_lut.T_soft,L0.qk_lut.T_sel,L0.v_lut.T_soft,L0.v_lut.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L0.residual_lut.T_soft,L0.residual_lut.T_sel,L1.qk_lut.T_soft,L1.qk_lut.T_sel,L1.v_lut.T_soft,L1.v_lut.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L1.residual_lut.T_soft,L1.residual_lut.T_sel,L2.qk_lut.T_soft,L2.qk_lut.T_sel,L2.v_lut.T_soft,L2.v_lut.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L2.residual_lut.T_soft,L2.residual_lut.T_sel,L3.qk_lut.T_soft,L3.qk_lut.T_sel,L3.v_lut.T_soft,L3.v_lut.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L3.residual_lut.T_soft,L3.residual_lut.T_sel,L4.qk_lut.T_soft,L4.qk_lut.T_sel,L4.v_lut.T_soft,L4.v_lut.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L4.residual_lut.T_soft,L4.residual_lut.T_sel,L5.qk_lut.T_soft,L5.qk_lut.T_sel,L5.v_lut.T_soft,L5.v_lut.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel,L5.residual_lut.T_soft,L5.residual_lut.T_sel
2000,0.388271,0.404489,0.369819,0.354269,0.559607,0.424567,0.517545,0.391179,0.464502,0.444792,0.536521,0.398030,0.550895,0.402945,0.573661,0.410711,0.441301,0.426300,0.437604,0.402129,0.608689,0.523033,0.604210,0.432588,0.476830,0.448274,0.444680,0.392129,0.604059,0.518801,0.612586,0.452632,0.473306,0.450437,0.445399,0.430027,0.627070,0.571612,0.618743,0.479124,0.480665,0.476568,0.434010,0.402891,0.473432,0.440881,0.598978,0.477533
2200,0.379372,0.396545,0.369613,0.344025,0.588415,0.428911,0.529132,0.380466,0.463005,0.439376,0.556931,0.393772,0.578549,0.404871,0.592243,0.404424,0.440223,0.419319,0.439048,0.391021,0.617596,0.514709,0.616350,0.423168,0.475348,0.441653,0.447646,0.383102,0.618731,0.515283,0.621436,0.442290,0.471592,0.444457,0.437616,0.419848,0.640022,0.573759,0.624820,0.467243,0.479125,0.474112,0.433406,0.393696,0.470877,0.430767,0.604617,0.465493
2400,0.370730,0.388586,0.372647,0.335008,0.617577,0.433459,0.541742,0.370889,0.461315,0.433927,0.576119,0.390482,0.606646,0.408420,0.607801,0.397255,0.440407,0.413029,0.442938,0.381380,0.626187,0.505687,0.630138,0.413842,0.475440,0.436427,0.451356,0.374041,0.630009,0.509002,0.630588,0.431360,0.469341,0.437642,0.432001,0.411405,0.652428,0.574921,0.630092,0.455652,0.476854,0.471231,0.434246,0.386207,0.469174,0.420882,0.607960,0.452653
2600,0.363118,0.381379,0.377960,0.327297,0.646859,0.436894,0.553110,0.362050,0.460942,0.429714,0.597565,0.386894,0.635264,0.410362,0.621732,0.390590,0.441200,0.407310,0.449151,0.373376,0.635243,0.497163,0.641866,0.405377,0.476327,0.432067,0.456937,0.365957,0.642078,0.503051,0.638982,0.421735,0.468392,0.432905,0.427979,0.404500,0.666612,0.578541,0.635025,0.444133,0.473989,0.467316,0.436735,0.379620,0.468106,0.412011,0.614036,0.440755
2800,0.355528,0.374135,0.383654,0.321166,0.677139,0.439926,0.564875,0.353434,0.459544,0.424508,0.616610,0.383227,0.664694,0.413118,0.637709,0.384583,0.443654,0.402071,0.457401,0.366199,0.647047,0.488920,0.652884,0.396747,0.476669,0.426775,0.463637,0.359442,0.653248,0.496088,0.647603,0.411678,0.468611,0.428440,0.424868,0.398320,0.679645,0.579783,0.639576,0.433573,0.472545,0.465187,0.438958,0.372462,0.468500,0.403871,0.618602,0.430294
3000,0.348656,0.367431,0.390458,0.315675,0.706648,0.441421,0.575211,0.344727,0.459182,0.420628,0.636332,0.379807,0.695033,0.416230,0.651360,0.377560,0.447277,0.397740,0.464854,0.359979,0.658615,0.481333,0.664105,0.389293,0.476604,0.421581,0.469536,0.353833,0.665639,0.490184,0.656204,0.402399,0.468711,0.423989,0.421558,0.391444,0.689538,0.579189,0.644855,0.423548,0.470840,0.462681,0.443031,0.367836,0.469934,0.395822,0.623459,0.419978
3200,0.342563,0.361422,0.397213,0.310714,0.736375,0.444001,0.587031,0.336996,0.459005,0.416761,0.655243,0.374896,0.724559,0.418189,0.663099,0.370422,0.450518,0.394092,0.474331,0.355206,0.670158,0.473653,0.674081,0.381405,0.477001,0.416687,0.477122,0.348731,0.677505,0.483501,0.663599,0.393111,0.468371,0.419919,0.418102,0.384831,0.698837,0.577105,0.650186,0.412786,0.469316,0.460172,0.448340,0.363684,0.474006,0.388581,0.630673,0.410558
3400,0.336917,0.355944,0.404376,0.306388,0.766143,0.445138,0.597240,0.329692,0.460069,0.413730,0.673558,0.370325,0.754924,0.420998,0.676834,0.364515,0.455037,0.390613,0.483756,0.350072,0.680355,0.465999,0.684216,0.374134,0.477964,0.413502,0.485187,0.344394,0.690600,0.477429,0.670528,0.385098,0.469128,0.416473,0.416304,0.379610,0.708671,0.576248,0.654447,0.402975,0.466338,0.456635,0.452763,0.359677,0.477722,0.382439,0.635481,0.401625
3600,0.331951,0.351136,0.410365,0.302689,0.793922,0.445222,0.608305,0.323503,0.461006,0.411081,0.689717,0.366089,0.783702,0.422153,0.689102,0.358953,0.458623,0.386875,0.493293,0.346246,0.693513,0.460176,0.693170,0.367367,0.478245,0.409567,0.492221,0.339975,0.702266,0.471395,0.678083,0.377330,0.468805,0.412199,0.415100,0.375102,0.717477,0.575171,0.659186,0.393915,0.465169,0.454698,0.456916,0.355166,0.482537,0.376774,0.639960,0.392559
3800,0.327171,0.346341,0.417419,0.299611,0.820938,0.444072,0.616179,0.316654,0.461314,0.408080,0.704589,0.362496,0.812767,0.424751,0.700399,0.352646,0.465455,0.384568,0.502834,0.342386,0.707620,0.454589,0.702185,0.361085,0.479520,0.405803,0.500552,0.336125,0.713820,0.465980,0.685601,0.370135,0.470178,0.409433,0.413501,0.369852,0.723836,0.572254,0.663148,0.385087,0.463843,0.452650,0.462482,0.352725,0.488185,0.370624,0.644947,0.384336
