step,L0.qkv_lut.T_soft,L0.qkv_lut.T_sel,L0.v_lut.T_soft,L0.v_lut.T_sel,L0.residual_lut.T_soft,L0.residual_lut.T_sel,L1.qkv_lut.T_soft,L1.qkv_lut.T_sel,L1.v_lut.T_soft,L1.v_lut.T_sel,L1.residual_lut.T_soft,L1.residual_lut.T_sel,L2.qkv_lut.T_soft,L2.qkv_lut.T_sel,L2.v_lut.T_soft,L2.v_lut.T_sel,L2.residual_lut.T_soft,L2.residual_lut.T_sel,L3.qkv_lut.T_soft,L3.qkv_lut.T_sel,L3.v_lut.T_soft,L3.v_lut.T_sel,L3.residual_lut.T_soft,L3.residual_lut.T_sel,L4.qkv_lut.T_soft,L4.qkv_lut.T_sel,L4.v_lut.T_soft,L4.v_lut.T_sel,L4.residual_lut.T_soft,L4.residual_lut.T_sel,L5.qkv_lut.T_soft,L5.qkv_lut.T_sel,L5.v_lut.T_soft,L5.v_lut.T_sel,L5.residual_lut.T_soft,L5.residual_lut.T_sel
0,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
200,0.500678,0.500761,0.497749,0.497761,0.496831,0.496774,0.500072,0.497830,0.498458,0.498473,0.500560,0.499923,0.499533,0.499374,0.499501,0.499518,0.502937,0.502792,0.499233,0.499301,0.499100,0.499110,0.503048,0.502845,0.499386,0.499151,0.499263,0.498990,0.503077,0.502891,0.500153,0.499521,0.500084,0.499566,0.503128,0.502924
400,0.507542,0.507742,0.495475,0.495787,0.487505,0.487105,0.507529,0.493008,0.491879,0.491334,0.497423,0.494413,0.502284,0.498070,0.496030,0.495914,0.509691,0.508494,0.496765,0.496373,0.496903,0.496498,0.512495,0.511101,0.495765,0.493948,0.495158,0.493474,0.512936,0.511770,0.500155,0.494306,0.499449,0.494191,0.512913,0.511595
600,0.518323,0.518668,0.492881,0.494056,0.474620,0.473241,0.522794,0.489101,0.479717,0.477871,0.491623,0.484826,0.511206,0.497364,0.487796,0.486924,0.515988,0.510459,0.496092,0.492994,0.496087,0.493828,0.528865,0.522136,0.496932,0.483590,0.498300,0.483090,0.529906,0.521145,0.500873,0.482363,0.499206,0.481867,0.530073,0.525421
800,0.529258,0.529840,0.483430,0.485602,0.459090,0.455886,0.543686,0.485050,0.463108,0.458841,0.482996,0.471302,0.523921,0.497313,0.478131,0.476041,0.520696,0.509338,0.499023,0.493241,0.496466,0.493612,0.551525,0.532839,0.501799,0.474203,0.505481,0.471833,0.552443,0.531638,0.504268,0.467071,0.501740,0.467541,0.553896,0.539754
1000,0.531182,0.531434,0.464246,0.466903,0.443985,0.438120,0.569778,0.481057,0.448008,0.438098,0.474101,0.456858,0.540540,0.497269,0.468333,0.464059,0.523129,0.504984,0.502448,0.493256,0.497640,0.493714,0.572767,0.545602,0.507778,0.467653,0.512873,0.462815,0.576168,0.553360,0.507766,0.453961,0.504644,0.455199,0.577260,0.558951
1200,0.524045,0.523685,0.443379,0.446119,0.430654,0.421129,0.595262,0.475275,0.439560,0.419809,0.467087,0.442628,0.558441,0.497555,0.459128,0.451995,0.524039,0.498769,0.502882,0.489524,0.495068,0.489934,0.587403,0.559859,0.517370,0.464727,0.526474,0.458415,0.603335,0.574333,0.513503,0.442604,0.509781,0.444111,0.600917,0.576454
1400,0.511320,0.510392,0.422818,0.425497,0.420092,0.405576,0.622414,0.470038,0.441048,0.405317,0.462633,0.429145,0.577903,0.495614,0.452475,0.440490,0.524993,0.492797,0.502052,0.485555,0.492373,0.486691,0.595468,0.568570,0.524241,0.463567,0.539057,0.459217,0.624228,0.585857,0.516026,0.432998,0.514208,0.433645,0.625538,0.592189
1600,0.496013,0.494490,0.402196,0.404788,0.412339,0.391121,0.649332,0.464384,0.451044,0.394973,0.460612,0.416155,0.596680,0.494067,0.447486,0.429883,0.525449,0.486369,0.502610,0.482763,0.489226,0.483010,0.599190,0.571546,0.532029,0.463454,0.552046,0.461621,0.636181,0.590534,0.519446,0.424614,0.518891,0.425206,0.652139,0.604216
1800,0.480044,0.477984,0.382480,0.384973,0.406658,0.377419,0.676516,0.459666,0.465039,0.386228,0.461950,0.404657,0.615957,0.491326,0.444819,0.419719,0.525586,0.479305,0.503668,0.480558,0.486489,0.480248,0.600931,0.571358,0.538315,0.463866,0.564154,0.465761,0.644553,0.593721,0.522566,0.416577,0.522506,0.417656,0.678677,0.611851
