step,train_loss,val_loss
0,5.510232,5.502881
1000,1.979926,1.911619
2000,1.695214,1.688544
3000,1.638398,1.627579
4000,1.588625,1.583728
5000,1.558266,1.551126
6000,1.523514,1.528921
7000,1.518310,1.509580
8000,1.495185,1.494375
9000,1.494193,1.485232
