step,lambda,train_ce,imitation_mse,reg_mse,mse_b0,mse_b1,mse_b2,mse_b3,mse_b4,mse_b5,dense_bpb,swapin_bpb
200,0.00125,9.224755,0.001817,0.001817,0.000258,0.000241,0.000278,0.000324,0.000339,0.000377,2.582582,2.628731
400,0.00250,7.526240,0.000616,0.000616,0.000063,0.000068,0.000085,0.000110,0.000153,0.000137,2.137456,2.178782
600,0.00375,6.653812,0.000620,0.000620,0.000068,0.000067,0.000078,0.000095,0.000127,0.000186,1.976594,2.022369
800,0.00500,6.232065,0.000872,0.000872,0.000100,0.000088,0.000101,0.000118,0.000141,0.000325,1.878803,1.919673
1000,0.00625,5.928447,0.001248,0.001248,0.000140,0.000121,0.000141,0.000163,0.000191,0.000493,1.801914,1.837815
1200,0.00750,5.685169,0.001811,0.001811,0.000197,0.000179,0.000210,0.000236,0.000274,0.000715,1.736948,1.774712
1400,0.00875,5.486309,0.002655,0.002655,0.000281,0.000276,0.000323,0.000351,0.000400,0.001024,1.682776,1.722149
1600,0.01000,5.323602,0.003879,0.003879,0.000403,0.000420,0.000491,0.000523,0.000587,0.001455,1.633617,1.676751
1800,0.01125,5.141109,0.005439,0.005439,0.000545,0.000587,0.000722,0.000744,0.000836,0.002005,1.580425,1.629021
2000,0.01250,4.956783,0.007093,0.007093,0.000663,0.000735,0.000984,0.000986,0.001129,0.002596,1.525829,1.579490
2200,0.01375,4.802062,0.008824,0.008824,0.000780,0.000878,0.001265,0.001248,0.001447,0.003205,1.485541,1.542200
2400,0.01500,4.686965,0.010608,0.010608,0.000887,0.001018,0.001540,0.001519,0.001795,0.003849,1.454002,1.512466
2600,0.01625,4.587986,0.012640,0.012640,0.001027,0.001179,0.001856,0.001840,0.002197,0.004542,1.429329,1.493160
2800,0.01750,4.515331,0.014743,0.014743,0.001155,0.001327,0.002191,0.002172,0.002634,0.005264,1.409580,1.477709
3000,0.01875,4.459444,0.016903,0.016903,0.001279,0.001482,0.002535,0.002512,0.003085,0.006010,1.391229,1.461694
3200,0.02000,4.420805,0.019168,0.019168,0.001413,0.001639,0.002888,0.002879,0.003555,0.006794,1.376386,1.449621
3400,0.02125,4.368343,0.021535,0.021535,0.001546,0.001793,0.003253,0.003264,0.004067,0.007612,1.365518,1.441492
3600,0.02250,4.324502,0.023958,0.023958,0.001679,0.001968,0.003630,0.003661,0.004583,0.008437,1.352829,1.431948
3800,0.02375,4.308093,0.026376,0.026376,0.001815,0.002119,0.004013,0.004055,0.005102,0.009272,1.345051,1.424666
4000,0.02500,4.273121,0.028730,0.028730,0.001931,0.002259,0.004356,0.004426,0.005626,0.010132,1.336383,1.419957
4200,0.02625,4.235344,0.031308,0.031308,0.002065,0.002434,0.004744,0.004863,0.006188,0.011014,1.328352,1.413748
4400,0.02750,4.213817,0.033713,0.033713,0.002193,0.002587,0.005111,0.005250,0.006719,0.011852,1.320329,1.407168
4600,0.02875,4.201204,0.036093,0.036093,0.002309,0.002728,0.005456,0.005637,0.007217,0.012745,1.313665,1.403586
4800,0.03000,4.174510,0.038425,0.038425,0.002426,0.002876,0.005809,0.006023,0.007760,0.013530,1.307786,1.399680
5000,0.03125,4.161583,0.040760,0.040760,0.002528,0.003011,0.006133,0.006414,0.008294,0.014379,1.303453,1.397735
5200,0.03250,4.151714,0.042849,0.042849,0.002624,0.003127,0.006445,0.006757,0.008782,0.015115,1.297294,1.392290
5400,0.03375,4.151271,0.044933,0.044933,0.002714,0.003250,0.006733,0.007074,0.009233,0.015928,1.291146,1.388755
5600,0.03500,4.111592,0.046938,0.046938,0.002802,0.003369,0.006999,0.007393,0.009709,0.016667,1.287740,1.387448
5800,0.03625,4.087985,0.048796,0.048796,0.002885,0.003485,0.007240,0.007704,0.010108,0.017374,1.282760,1.383554
6000,0.03750,4.077595,0.050737,0.050737,0.002967,0.003588,0.007524,0.008010,0.010536,0.018112,1.278850,1.382646
6200,0.03875,4.065672,0.052304,0.052304,0.003035,0.003688,0.007709,0.008238,0.010955,0.018680,1.275742,1.379673
6400,0.04000,4.049448,0.053873,0.053873,0.003101,0.003758,0.007924,0.008522,0.011290,0.019279,1.272254,1.377630
6600,0.04125,4.037035,0.055302,0.055302,0.003163,0.003857,0.008108,0.008731,0.011600,0.019842,1.268509,1.377500
6800,0.04250,4.039041,0.056648,0.056648,0.003225,0.003924,0.008284,0.008940,0.011913,0.020361,1.264805,1.374424
7000,0.04375,4.010727,0.057859,0.057859,0.003253,0.003970,0.008401,0.009144,0.012208,0.020883,1.261848,1.373154
7200,0.04500,3.988356,0.058872,0.058872,0.003295,0.004035,0.008496,0.009293,0.012446,0.021308,1.258979,1.370905
7400,0.04625,3.991533,0.059705,0.059705,0.003320,0.004067,0.008591,0.009424,0.012669,0.021634,1.256434,1.369429
