step,lambda,train_ce,imitation_mse,reg_mse,mse_b0,mse_b1,mse_b2,mse_b3,mse_b4,mse_b5,dense_bpb,swapin_bpb
10000,0.62500,3.819060,0.046409,0.046409,0.003759,0.004475,0.007631,0.007900,0.008826,0.013819,1.212092,1.368707
10200,0.63750,3.814577,0.045440,0.045440,0.003662,0.004390,0.007480,0.007734,0.008643,0.013532,1.210650,1.370671
10400,0.65000,3.826659,0.044501,0.044501,0.003575,0.004297,0.007313,0.007559,0.008453,0.013304,1.209211,1.371065
10600,0.66250,3.829221,0.043489,0.043489,0.003479,0.004193,0.007136,0.007412,0.008277,0.012991,1.205957,1.370186
10800,0.67500,3.796228,0.042674,0.042674,0.003389,0.004112,0.007023,0.007288,0.008131,0.012730,1.205419,1.370875
11000,0.68750,3.771835,0.041839,0.041839,0.003309,0.004056,0.006873,0.007153,0.007967,0.012481,1.203950,1.371112
11200,0.70000,3.776891,0.041033,0.041033,0.003225,0.003966,0.006737,0.007045,0.007813,0.012246,1.201741,1.369711
11400,0.71250,3.776850,0.040113,0.040113,0.003150,0.003875,0.006588,0.006864,0.007632,0.012003,1.200384,1.369175
11600,0.72500,3.763877,0.039311,0.039311,0.003073,0.003798,0.006456,0.006733,0.007481,0.011770,1.198869,1.369700
11800,0.73750,3.760704,0.038486,0.038486,0.003001,0.003723,0.006323,0.006610,0.007335,0.011494,1.196919,1.366079
12000,0.75000,3.755341,0.037676,0.037676,0.002922,0.003642,0.006187,0.006477,0.007163,0.011283,1.195953,1.368791
12200,0.76250,3.739184,0.036949,0.036949,0.002856,0.003567,0.006060,0.006339,0.007032,0.011096,1.194538,1.367197
12400,0.77500,3.731868,0.036131,0.036131,0.002782,0.003492,0.005914,0.006210,0.006883,0.010849,1.192487,1.367567
12600,0.78750,3.729131,0.035471,0.035471,0.002728,0.003424,0.005809,0.006095,0.006762,0.010652,1.191549,1.368614
12800,0.80000,3.721139,0.034730,0.034730,0.002657,0.003349,0.005689,0.005973,0.006615,0.010447,1.190516,1.368073
13000,0.81250,3.717387,0.033995,0.033995,0.002596,0.003274,0.005562,0.005847,0.006473,0.010243,1.189335,1.366798
13200,0.82500,3.708153,0.033452,0.033452,0.002544,0.003219,0.005468,0.005756,0.006375,0.010090,1.188679,1.366485
13400,0.83750,3.712491,0.032824,0.032824,0.002487,0.003154,0.005366,0.005654,0.006246,0.009917,1.186629,1.366449
13600,0.85000,3.703853,0.032170,0.032170,0.002427,0.003085,0.005253,0.005539,0.006134,0.009732,1.185967,1.368088
13800,0.86250,3.693315,0.031564,0.031564,0.002372,0.003018,0.005160,0.005410,0.006022,0.009581,1.185375,1.366890
14000,0.87500,3.693813,0.031015,0.031015,0.002321,0.002956,0.005066,0.005345,0.005918,0.009410,1.183793,1.367674
