step,layer,train_mse,val_mse,val_rel_err,val_fvu,elapsed_s
0,0,nan,8.345369e-02,1.025063,1.150280,0.0
0,1,nan,4.395323e-02,1.040450,1.182059,0.0
0,2,nan,3.535218e-02,1.050501,1.265523,0.0
0,3,nan,5.617171e-02,1.027591,1.104101,0.0
0,4,nan,9.561349e-02,1.021932,1.103366,0.0
0,5,nan,5.123107e-01,1.002221,1.083093,0.0
500,0,5.016603e-02,4.880802e-02,0.599509,0.672743,72.1
500,1,1.460554e-02,1.487113e-02,0.352026,0.399938,72.1
500,2,1.930705e-02,1.967737e-02,0.584719,0.704403,72.1
500,3,3.436073e-02,3.464537e-02,0.633793,0.680983,72.1
500,4,5.672990e-02,5.715652e-02,0.610898,0.659578,72.1
500,5,2.624519e-01,2.611753e-01,0.510931,0.552159,72.1
1000,0,1.429710e-02,1.337892e-02,0.164333,0.184408,143.5
1000,1,8.870137e-03,8.953984e-03,0.211957,0.240805,143.5
1000,2,1.251690e-02,1.250000e-02,0.371442,0.447470,143.5
1000,3,2.070065e-02,2.060534e-02,0.376949,0.405015,143.5
1000,4,3.280669e-02,3.223715e-02,0.344556,0.372012,143.5
1000,5,1.039359e-01,1.006515e-01,0.196902,0.212791,143.5
1500,0,9.834808e-03,9.696998e-03,0.119108,0.133658,215.3
1500,1,7.881816e-03,8.026939e-03,0.190012,0.215873,215.3
1500,2,1.136560e-02,1.153916e-02,0.342890,0.413074,215.3
1500,3,1.929400e-02,1.929852e-02,0.353042,0.379328,215.3
1500,4,2.982101e-02,2.986055e-02,0.319154,0.344586,215.3
1500,5,8.214727e-02,8.113999e-02,0.158732,0.171541,215.3
2000,0,9.352886e-03,9.183081e-03,0.112796,0.126575,287.6
2000,1,7.737475e-03,7.739859e-03,0.183216,0.208152,287.6
2000,2,1.122854e-02,1.128160e-02,0.335236,0.403854,287.6
2000,3,1.896790e-02,1.906737e-02,0.348813,0.374785,287.6
2000,4,2.936172e-02,2.947990e-02,0.315086,0.340194,287.6
2000,5,7.777047e-02,7.808096e-02,0.152748,0.165074,287.6
2500,0,9.095482e-03,9.009861e-03,0.110668,0.124187,359.1
2500,1,7.566955e-03,7.608386e-03,0.180104,0.204617,359.1
2500,2,1.112936e-02,1.119652e-02,0.332708,0.400809,359.1
2500,3,1.884538e-02,1.902084e-02,0.347962,0.373870,359.1
2500,4,2.939862e-02,2.942429e-02,0.314491,0.339552,359.1
2500,5,7.734982e-02,7.726121e-02,0.151144,0.163340,359.1
3000,0,9.491761e-03,8.926314e-03,0.109642,0.123035,428.3
3000,1,7.603056e-03,7.537469e-03,0.178425,0.202709,428.3
3000,2,1.116978e-02,1.116377e-02,0.331735,0.399636,428.3
3000,3,1.902589e-02,1.902940e-02,0.348119,0.374038,428.3
3000,4,2.947223e-02,2.946198e-02,0.314894,0.339987,428.3
3000,5,7.911142e-02,7.713374e-02,0.150895,0.163071,428.3
3500,0,9.132655e-03,8.906748e-03,0.109402,0.122766,498.9
3500,1,7.318288e-03,7.498506e-03,0.177503,0.201662,498.9
3500,2,1.096499e-02,1.115882e-02,0.331588,0.399459,498.9
