step,L0.qk_lut.T_soft,L0.qk_lut.T_sel,L0.v_lut.T_soft,L0.v_lut.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L1.qk_lut.T_soft,L1.qk_lut.T_sel,L1.v_lut.T_soft,L1.v_lut.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L2.qk_lut.T_soft,L2.qk_lut.T_sel,L2.v_lut.T_soft,L2.v_lut.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L3.qk_lut.T_soft,L3.qk_lut.T_sel,L3.v_lut.T_soft,L3.v_lut.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L4.qk_lut.T_soft,L4.qk_lut.T_sel,L4.v_lut.T_soft,L4.v_lut.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L5.qk_lut.T_soft,L5.qk_lut.T_sel,L5.v_lut.T_soft,L5.v_lut.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel,read_out_lut.T_soft,read_out_lut.T_sel
0,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
200,0.497779,0.498032,0.498789,0.498808,0.498078,0.498026,0.499905,0.499936,0.498812,0.498934,0.499331,0.499251,0.499814,0.499804,0.499579,0.499640,0.501066,0.500971,0.500262,0.500287,0.499894,0.499906,0.501466,0.501452,0.500263,0.500345,0.499778,0.499790,0.500780,0.500755,0.500011,0.499939,0.499750,0.499759,0.500329,0.500320,0.499016,0.498981
400,0.489760,0.491597,0.495348,0.495746,0.490748,0.491188,0.501449,0.500869,0.492477,0.492953,0.494336,0.494176,0.499336,0.498951,0.494166,0.494726,0.502810,0.501956,0.499148,0.499008,0.498100,0.498475,0.507682,0.507246,0.501007,0.501013,0.497564,0.497733,0.506244,0.505903,0.500652,0.499444,0.497940,0.498060,0.500385,0.500061,0.496537,0.496396
600,0.475930,0.480332,0.485477,0.487374,0.479207,0.479811,0.505289,0.502441,0.480403,0.481144,0.484707,0.483820,0.498698,0.496810,0.480710,0.481568,0.505063,0.501746,0.496384,0.495219,0.489176,0.489868,0.521107,0.519353,0.502789,0.500879,0.488308,0.488512,0.520951,0.519952,0.504140,0.497657,0.490342,0.490593,0.498390,0.496229,0.493765,0.492371
800,0.458809,0.465721,0.469710,0.472858,0.462483,0.462716,0.512684,0.505481,0.463351,0.463948,0.474449,0.468906,0.499767,0.494049,0.461144,0.461960,0.508831,0.499100,0.492722,0.488896,0.474265,0.475004,0.544706,0.540732,0.505788,0.499905,0.471983,0.471515,0.546288,0.544587,0.511972,0.497133,0.473911,0.473661,0.494394,0.487769,0.493366,0.487267
1000,0.443479,0.452614,0.453281,0.456763,0.447576,0.446319,0.522361,0.509019,0.445512,0.445337,0.476061,0.458168,0.502830,0.491200,0.439204,0.439694,0.516585,0.495178,0.494266,0.485006,0.459507,0.460255,0.572732,0.564770,0.507468,0.497358,0.454906,0.452741,0.577695,0.575366,0.524512,0.496268,0.454611,0.452598,0.489571,0.475432,0.498513,0.483523
1200,0.431458,0.441747,0.439237,0.441927,0.438600,0.433240,0.529854,0.510773,0.430654,0.428984,0.489095,0.452225,0.506946,0.488554,0.420249,0.420059,0.525975,0.489797,0.497688,0.481962,0.445611,0.446127,0.603065,0.590920,0.512441,0.496133,0.442224,0.437576,0.610686,0.607118,0.537805,0.496176,0.437666,0.433061,0.488023,0.462397,0.508078,0.481327
1400,0.422562,0.432806,0.430179,0.430802,0.438467,0.424973,0.535535,0.510778,0.417391,0.413376,0.509543,0.451711,0.511690,0.485866,0.404245,0.401912,0.541081,0.486307,0.505595,0.480975,0.432867,0.432516,0.633611,0.615286,0.518610,0.495555,0.434114,0.425011,0.645222,0.639949,0.555655,0.498619,0.424891,0.415556,0.489346,0.449225,0.520216,0.480204
1600,0.417704,0.426923,0.423498,0.420880,0.445575,0.419588,0.543504,0.512828,0.408145,0.399930,0.534202,0.457784,0.520224,0.485539,0.391203,0.385342,0.557971,0.484843,0.513037,0.479752,0.421568,0.419373,0.663124,0.636581,0.525585,0.495386,0.431884,0.415079,0.681239,0.673705,0.574937,0.501599,0.417525,0.400165,0.493942,0.436250,0.535500,0.479964
1800,0.412434,0.419882,0.419876,0.412867,0.456370,0.416666,0.550139,0.514104,0.402168,0.388263,0.560042,0.464835,0.529051,0.485373,0.382055,0.371235,0.578364,0.483929,0.523613,0.479926,0.410711,0.406037,0.692900,0.656712,0.533554,0.495492,0.431849,0.406868,0.717390,0.706774,0.596504,0.505430,0.413993,0.385348,0.502326,0.423970,0.552057,0.479765
