step,L0.qk_joint.T_soft,L0.qk_joint.T_sel,L0.v_lut.T_soft,L0.v_lut.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L0.residual_lut.T_soft,L0.residual_lut.T_sel,L1.qk_joint.T_soft,L1.qk_joint.T_sel,L1.v_lut.T_soft,L1.v_lut.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L1.residual_lut.T_soft,L1.residual_lut.T_sel,L2.qk_joint.T_soft,L2.qk_joint.T_sel,L2.v_lut.T_soft,L2.v_lut.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L2.residual_lut.T_soft,L2.residual_lut.T_sel,L3.qk_joint.T_soft,L3.qk_joint.T_sel,L3.v_lut.T_soft,L3.v_lut.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L3.residual_lut.T_soft,L3.residual_lut.T_sel,L4.qk_joint.T_soft,L4.qk_joint.T_sel,L4.v_lut.T_soft,L4.v_lut.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L4.residual_lut.T_soft,L4.residual_lut.T_sel,L5.qk_joint.T_soft,L5.qk_joint.T_sel,L5.v_lut.T_soft,L5.v_lut.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel,L5.residual_lut.T_soft,L5.residual_lut.T_sel
0,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
200,0.498198,0.498118,0.497784,0.497781,0.498254,0.498237,0.498474,0.498317,0.499622,0.499403,0.501142,0.501179,0.501179,0.501155,0.502682,0.502699,0.499776,0.499629,0.500202,0.500201,0.500270,0.500273,0.502880,0.502910,0.500272,0.500160,0.501653,0.501620,0.501552,0.501544,0.502785,0.502845,0.499768,0.499788,0.500643,0.500682,0.500678,0.500671,0.502933,0.502892,0.500408,0.500182,0.501499,0.501576,0.501953,0.501955,0.502820,0.502888
400,0.488245,0.488096,0.500002,0.500221,0.492596,0.492515,0.489048,0.488975,0.496012,0.495640,0.497163,0.497205,0.497380,0.497188,0.508040,0.507480,0.499486,0.499180,0.501659,0.501552,0.500416,0.500187,0.513740,0.513481,0.499593,0.500335,0.506250,0.506430,0.508362,0.508359,0.513709,0.513751,0.501833,0.501747,0.497713,0.497459,0.492772,0.492592,0.513266,0.512991,0.501429,0.501344,0.507754,0.507868,0.509216,0.509224,0.513704,0.513725
600,0.473058,0.472888,0.510065,0.510621,0.480322,0.480350,0.476223,0.476465,0.489967,0.488953,0.489255,0.489040,0.489792,0.488220,0.514283,0.512266,0.503704,0.503466,0.502496,0.501655,0.492090,0.488895,0.530072,0.529840,0.499666,0.500584,0.512885,0.513499,0.519551,0.519498,0.532328,0.532270,0.503855,0.503230,0.505437,0.505427,0.482283,0.481830,0.530276,0.530071,0.503501,0.503344,0.513650,0.513989,0.519169,0.519173,0.532510,0.532456
800,0.453715,0.453470,0.523454,0.524545,0.467531,0.467620,0.459843,0.460589,0.481600,0.477704,0.480470,0.480522,0.482813,0.477333,0.517894,0.514000,0.510557,0.510106,0.507387,0.506312,0.490900,0.480901,0.548429,0.549619,0.497108,0.498152,0.523255,0.525085,0.535014,0.535011,0.559149,0.558792,0.503913,0.504323,0.517723,0.517840,0.470334,0.468932,0.551706,0.552133,0.505915,0.505883,0.525064,0.525939,0.532789,0.532822,0.559475,0.559103
1000,0.428963,0.428653,0.536218,0.537971,0.450477,0.450853,0.441421,0.442604,0.477116,0.467692,0.472141,0.472637,0.479769,0.468355,0.519160,0.512859,0.517593,0.516554,0.510092,0.508786,0.492718,0.474826,0.567908,0.572066,0.497874,0.498820,0.534397,0.538754,0.551349,0.551302,0.591662,0.590833,0.505312,0.505820,0.531555,0.531406,0.461730,0.455994,0.576358,0.577891,0.503348,0.503586,0.535012,0.537096,0.547283,0.547324,0.592462,0.591657
1200,0.404799,0.404418,0.543714,0.546081,0.431167,0.431273,0.422467,0.423894,0.474624,0.456278,0.463320,0.464365,0.476487,0.459314,0.518176,0.509705,0.523159,0.521832,0.512242,0.510944,0.494145,0.470796,0.585817,0.592738,0.501050,0.502171,0.546013,0.551860,0.564748,0.564754,0.625695,0.624243,0.505380,0.505140,0.543564,0.543591,0.459147,0.443624,0.602309,0.604400,0.508328,0.508541,0.543331,0.545710,0.557941,0.558011,0.626512,0.625142
1400,0.383492,0.382952,0.551610,0.554539,0.412533,0.411824,0.404642,0.406063,0.475095,0.444794,0.453379,0.454875,0.472861,0.449752,0.514260,0.503790,0.525730,0.523919,0.512558,0.511265,0.495354,0.467200,0.599935,0.607772,0.501236,0.501977,0.555778,0.563737,0.577902,0.578019,0.661656,0.659666,0.504579,0.504083,0.556741,0.557404,0.459610,0.435162,0.626619,0.620757,0.510520,0.510832,0.552081,0.555207,0.569342,0.569362,0.662327,0.660446
1600,0.364071,0.363221,0.553540,0.556938,0.395448,0.392905,0.387736,0.388809,0.482625,0.433669,0.443785,0.445676,0.471063,0.441821,0.509650,0.497439,0.526841,0.524819,0.512524,0.511452,0.497087,0.463320,0.611770,0.618205,0.502022,0.502882,0.563101,0.573448,0.588072,0.588345,0.698755,0.695682,0.504452,0.502929,0.573105,0.574305,0.461969,0.430397,0.653895,0.634489,0.512044,0.512130,0.560090,0.552275,0.567854,0.567477,0.696959,0.693027
1800,0.347906,0.346416,0.555752,0.559565,0.380643,0.374789,0.372119,0.372548,0.493739,0.422273,0.435905,0.437935,0.469491,0.433760,0.503094,0.489400,0.526610,0.524268,0.510933,0.509851,0.498270,0.460083,0.620529,0.625938,0.504495,0.505118,0.566927,0.565711,0.578999,0.576485,0.732047,0.725181,0.505541,0.503726,0.590778,0.592290,0.465282,0.427834,0.679138,0.644815,0.511041,0.511053,0.565367,0.535364,0.550876,0.548648,0.726994,0.718256
2000,0.335369,0.332769,0.557560,0.561639,0.372183,0.359121,0.357044,0.356637,0.507726,0.412328,0.428793,0.430851,0.470978,0.427317,0.494555,0.479829,0.526597,0.523826,0.509497,0.508623,0.497161,0.455921,0.626900,0.630870,0.505617,0.505798,0.565283,0.553743,0.567569,0.558697,0.766805,0.751112,0.504895,0.503498,0.605787,0.607874,0.466510,0.423330,0.702377,0.650422,0.514908,0.514654,0.573157,0.523576,0.541430,0.536603,0.761204,0.739401
2200,0.324222,0.320275,0.557739,0.562011,0.370481,0.345353,0.343564,0.342070,0.525246,0.404354,0.420738,0.422796,0.470287,0.419794,0.486499,0.470715,0.525700,0.522487,0.507742,0.506935,0.496695,0.451644,0.631817,0.634867,0.504065,0.503810,0.564648,0.544410,0.560990,0.544819,0.796247,0.768632,0.504285,0.503006,0.619492,0.621609,0.468219,0.420868,0.724287,0.654731,0.517882,0.517493,0.583034,0.512108,0.530295,0.520947,0.793547,0.753217
