step,lambda,train_ce,imitation_mse,reg_mse,mse_b0,mse_b1,mse_b2,mse_b3,mse_b4,mse_b5,dense_bpb,swapin_bpb
200,0.10000,9.224699,0.001802,0.001802,0.000258,0.000241,0.000277,0.000322,0.000335,0.000370,2.582608,2.628440
400,0.10000,7.526162,0.000609,0.000609,0.000063,0.000068,0.000084,0.000109,0.000151,0.000133,2.137420,2.178381
600,0.10000,6.652730,0.000611,0.000611,0.000067,0.000066,0.000077,0.000094,0.000126,0.000181,1.976230,2.021656
800,0.10000,6.230596,0.000859,0.000859,0.000098,0.000087,0.000100,0.000117,0.000140,0.000318,1.878467,1.919028
1000,0.10000,5.927158,0.001230,0.001230,0.000137,0.000119,0.000139,0.000162,0.000191,0.000483,1.801608,1.837575
1200,0.10000,5.683845,0.001781,0.001781,0.000194,0.000176,0.000207,0.000233,0.000272,0.000698,1.736585,1.774172
1400,0.10000,5.484782,0.002606,0.002606,0.000276,0.000271,0.000317,0.000347,0.000397,0.000998,1.682240,1.721509
1600,0.10000,5.321755,0.003796,0.003796,0.000395,0.000413,0.000480,0.000514,0.000582,0.001412,1.632958,1.675797
1800,0.10000,5.136762,0.005311,0.005311,0.000533,0.000576,0.000705,0.000730,0.000828,0.001938,1.578633,1.627000
2000,0.10000,4.951104,0.006895,0.006895,0.000647,0.000719,0.000958,0.000965,0.001112,0.002494,1.523968,1.577466
2200,0.10000,4.797588,0.008541,0.008541,0.000761,0.000858,0.001225,0.001215,0.001420,0.003061,1.483867,1.539726
2400,0.10000,4.683696,0.010216,0.010216,0.000865,0.000990,0.001487,0.001475,0.001749,0.003649,1.453382,1.511356
2600,0.10000,4.585568,0.012110,0.012110,0.000999,0.001142,0.001783,0.001779,0.002130,0.004278,1.428601,1.492369
2800,0.10000,4.513503,0.014062,0.014062,0.001120,0.001286,0.002094,0.002091,0.002541,0.004930,1.409256,1.476707
3000,0.10000,4.458175,0.016060,0.016060,0.001238,0.001433,0.002419,0.002413,0.002966,0.005591,1.390803,1.460780
3200,0.10000,4.419560,0.018107,0.018107,0.001366,0.001579,0.002743,0.002750,0.003394,0.006276,1.376123,1.447941
3400,0.10000,4.367425,0.020222,0.020222,0.001488,0.001724,0.003073,0.003099,0.003854,0.006983,1.365135,1.440549
3600,0.10000,4.323886,0.022396,0.022396,0.001614,0.001885,0.003418,0.003463,0.004317,0.007699,1.352853,1.430853
3800,0.10000,4.307417,0.024512,0.024512,0.001738,0.002023,0.003759,0.003814,0.004780,0.008398,1.344540,1.423458
4000,0.10000,4.272517,0.026528,0.026528,0.001838,0.002143,0.004061,0.004137,0.005239,0.009110,1.336472,1.418040
4200,0.10000,4.234912,0.028756,0.028756,0.001963,0.002305,0.004402,0.004523,0.005730,0.009834,1.328066,1.411727
4400,0.10000,4.213441,0.030783,0.030783,0.002075,0.002442,0.004715,0.004852,0.006187,0.010511,1.320265,1.405253
4600,0.10000,4.201115,0.032803,0.032803,0.002183,0.002571,0.005017,0.005186,0.006607,0.011238,1.313606,1.401497
4800,0.10000,4.174465,0.034738,0.034738,0.002284,0.002694,0.005326,0.005512,0.007067,0.011854,1.307817,1.397892
