step,L0.qkv_lut.T_soft,L0.qkv_lut.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L0.residual_lut.T_soft,L0.residual_lut.T_sel,L1.qkv_lut.T_soft,L1.qkv_lut.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L1.residual_lut.T_soft,L1.residual_lut.T_sel,L2.qkv_lut.T_soft,L2.qkv_lut.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L2.residual_lut.T_soft,L2.residual_lut.T_sel,L3.qkv_lut.T_soft,L3.qkv_lut.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L3.residual_lut.T_soft,L3.residual_lut.T_sel,L4.qkv_lut.T_soft,L4.qkv_lut.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L4.residual_lut.T_soft,L4.residual_lut.T_sel,L5.qkv_lut.T_soft,L5.qkv_lut.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel,L5.residual_lut.T_soft,L5.residual_lut.T_sel
0,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
200,0.497011,0.497149,0.497565,0.497439,0.497795,0.497250,0.497950,0.497550,0.498114,0.497976,0.500001,0.498347,0.498558,0.498038,0.499819,0.499651,0.501790,0.499957,0.498975,0.498506,0.499376,0.499245,0.502197,0.500716,0.499402,0.499050,0.500795,0.500742,0.502697,0.501811,0.499461,0.499167,0.500512,0.500474,0.502865,0.502337
400,0.488254,0.489054,0.488498,0.488092,0.492449,0.490342,0.495098,0.491883,0.492069,0.491189,0.498766,0.493600,0.494883,0.491760,0.495800,0.494788,0.504484,0.497377,0.496921,0.494852,0.497573,0.496744,0.506571,0.499181,0.497226,0.495239,0.497795,0.497124,0.508986,0.502631,0.498369,0.496874,0.499878,0.499374,0.510653,0.505688
600,0.473456,0.475440,0.474599,0.473742,0.487449,0.482163,0.492558,0.482315,0.481473,0.479347,0.496705,0.485289,0.490379,0.480881,0.488720,0.486193,0.507596,0.492378,0.492341,0.486138,0.495932,0.493713,0.513517,0.496378,0.494639,0.488166,0.492944,0.490526,0.517290,0.500854,0.497798,0.494504,0.499862,0.497939,0.519728,0.506763
800,0.453778,0.456821,0.455850,0.454078,0.482683,0.472125,0.491732,0.469998,0.468017,0.463808,0.494819,0.474489,0.487199,0.465859,0.481076,0.476414,0.512229,0.485538,0.484703,0.472070,0.491653,0.487164,0.522441,0.491693,0.491388,0.477971,0.488967,0.483727,0.528835,0.498136,0.495443,0.489773,0.500124,0.496304,0.532444,0.507140
1000,0.432173,0.435976,0.437811,0.433870,0.478972,0.460624,0.497956,0.458725,0.455831,0.447447,0.499093,0.463872,0.490365,0.450048,0.470531,0.462681,0.521378,0.477378,0.481279,0.457169,0.485578,0.478091,0.535783,0.485903,0.491716,0.467015,0.484951,0.476366,0.544795,0.494100,0.493909,0.484255,0.499814,0.493871,0.547406,0.505960
1200,0.413283,0.417292,0.423324,0.415155,0.477139,0.450472,0.504943,0.447953,0.444469,0.430573,0.503145,0.455116,0.496974,0.436076,0.461207,0.449296,0.531050,0.470878,0.482257,0.444027,0.481646,0.470424,0.548141,0.480760,0.493638,0.455459,0.479292,0.466802,0.559871,0.489320,0.492739,0.478336,0.499784,0.491318,0.562692,0.502980
1400,0.396018,0.399323,0.417876,0.401495,0.476694,0.440913,0.516652,0.439730,0.441192,0.417479,0.509892,0.447200,0.507243,0.423560,0.453487,0.436008,0.542714,0.464235,0.487663,0.431021,0.476144,0.460799,0.561478,0.475694,0.498317,0.444047,0.471453,0.455429,0.575474,0.483439,0.490847,0.471385,0.497643,0.487002,0.578142,0.498834
1600,0.382622,0.384333,0.419654,0.390105,0.476469,0.430103,0.531994,0.433933,0.444745,0.407633,0.520580,0.440050,0.521978,0.413192,0.446524,0.422851,0.556924,0.457454,0.497035,0.420095,0.469242,0.448993,0.578018,0.469294,0.506100,0.434626,0.464792,0.444531,0.594411,0.476922,0.491130,0.464427,0.494642,0.482012,0.593403,0.492859
1800,0.370459,0.369640,0.427754,0.381966,0.477154,0.419255,0.548580,0.427575,0.453059,0.399808,0.532476,0.433325,0.540504,0.405557,0.445100,0.413276,0.572592,0.451958,0.510738,0.410243,0.463799,0.438058,0.593301,0.463182,0.515599,0.426009,0.457970,0.433603,0.612925,0.470642,0.490917,0.456514,0.490570,0.476239,0.607538,0.486789
