step,train_loss,val_bpb,ln2_norm_L0,ln2_norm_L1,ln2_norm_L2,ln2_norm_L3,ln2_norm_L4,ln2_norm_L5,ln2_mean_L0,ln2_mean_L1,ln2_mean_L2,ln2_mean_L3,ln2_mean_L4,ln2_mean_L5,ln1_norm_L0,ln1_norm_L1,ln1_norm_L2,ln1_norm_L3,ln1_norm_L4,ln1_norm_L5,lut_tv,lut_tv_L0,lut_tv_L1,lut_tv_L2,lut_tv_L3,lut_tv_L4,lut_tv_L5
500,7.054524,2.010765,19.653399,19.609438,19.608597,19.606487,19.605656,19.604059,1.002930,1.000688,1.000645,1.000538,1.000496,1.000414,19.710228,19.692745,19.664068,19.654068,19.654020,19.644083,3.25572340e-04,6.47465931e-04,3.02270229e-04,2.69680226e-04,2.31640399e-04,2.53646664e-04,2.48730590e-04
1000,5.887791,1.759485,19.724546,19.643360,19.643471,19.638683,19.642647,19.641220,1.006557,1.002415,1.002418,1.002176,1.002377,1.002304,19.623791,19.724827,19.680834,19.686998,19.711086,19.697283,1.33878216e-03,1.46710791e-03,1.30119035e-03,1.31023198e-03,1.27356150e-03,1.34132116e-03,1.33928005e-03
1500,5.374369,1.619683,19.796986,19.700169,19.708155,19.705975,19.723146,19.712070,1.010246,1.005300,1.005699,1.005592,1.006465,1.005905,19.384573,19.724203,19.616129,19.630405,19.702229,19.755774,3.62710515e-03,3.27124866e-03,3.56043852e-03,3.68113699e-03,3.69401346e-03,3.80332395e-03,3.75246932e-03
2000,5.042079,1.527970,19.851135,19.774593,19.794163,19.800035,19.838860,19.799099,1.012997,1.009072,1.010050,1.010365,1.012338,1.010324,19.028006,19.727127,19.479771,19.517517,19.660595,19.866457,7.16023574e-03,6.00200938e-03,7.06308987e-03,7.33872922e-03,7.44485203e-03,7.62245571e-03,7.49027822e-03
2500,4.835256,1.469395,19.886831,19.849611,19.886391,19.900324,19.956751,19.884403,1.014805,1.012872,1.014713,1.015448,1.018319,1.014657,18.630993,19.720297,19.329556,19.404490,19.636713,20.063570,1.07476137e-02,8.62294622e-03,1.06293680e-02,1.10651571e-02,1.12694241e-02,1.15353987e-02,1.13633880e-02
3000,4.681432,1.424284,19.912052,19.925541,19.978357,20.002329,20.070593,19.963419,1.016079,1.016711,1.019360,1.020621,1.024095,1.018669,18.201674,19.696188,19.189653,19.291410,19.607298,20.433701,1.42444729e-02,1.10537205e-02,1.41336136e-02,1.47113362e-02,1.49931740e-02,1.53473839e-02,1.52276093e-02
3500,4.526443,1.378726,19.933128,19.998432,20.070438,20.099703,20.179424,20.033117,1.017141,1.020399,1.024006,1.025558,1.029618,1.022196,17.722668,19.651222,19.006048,19.197359,19.575327,20.942097,1.76083503e-02,1.32584376e-02,1.75115000e-02,1.82315502e-02,1.85668133e-02,1.89866535e-02,1.90951470e-02
4000,4.428905,1.348207,19.947180,20.071848,20.163065,20.192461,20.285151,20.101616,1.017841,1.024118,1.028685,1.030261,1.034980,1.025658,17.270889,19.611622,18.838938,19.102764,19.543068,21.315601,2.08497973e-02,1.52435824e-02,2.07555685e-02,2.16573887e-02,2.20024753e-02,2.25264877e-02,2.29132809e-02
4500,4.342197,1.325137,19.956606,20.144264,20.250496,20.284220,20.386587,20.166702,1.018306,1.027789,1.033103,1.034909,1.040127,1.028949,16.861174,19.575447,18.710247,19.017956,19.525673,21.586788,2.39306046e-02,1.70098096e-02,2.38260906e-02,2.49097198e-02,2.53055710e-02,2.59068534e-02,2.66255829e-02
5000,4.287135,1.306153,19.964388,20.211906,20.334978,20.372114,20.482664,20.226866,1.018685,1.031211,1.037372,1.039361,1.044998,1.031990,16.485556,19.542879,18.639418,18.943521,19.519230,21.807077,2.68181494e-02,1.85656622e-02,2.67183073e-02,2.79762056e-02,2.84181256e-02,2.90845074e-02,3.01460885e-02
5500,4.244400,1.290613,19.967995,20.278316,20.416584,20.453951,20.574612,20.283684,1.018855,1.034572,1.041494,1.043508,1.049660,1.034860,16.137743,19.507399,18.601765,18.879955,19.519682,21.991375,2.95146378e-02,1.99496597e-02,2.93818265e-02,3.08424402e-02,3.13260257e-02,3.20831761e-02,3.35046984e-02
6000,4.180913,1.277635,19.970522,20.342215,20.495356,20.535872,20.661991,20.335457,1.018971,1.037813,1.045479,1.047651,1.054089,1.037474,15.829987,19.480677,18.599075,18.824060,19.525497,22.153976,3.19818106e-02,2.11430285e-02,3.18506658e-02,3.34608369e-02,3.40083763e-02,3.48403677e-02,3.65875885e-02
6500,4.146482,1.267075,19.975908,20.401699,20.569633,20.614317,20.743587,20.384064,1.019226,1.040829,1.049227,1.051634,1.058233,1.039925,15.561274,19.461872,18.594580,18.777267,19.532530,22.296127,3.42177004e-02,2.21861415e-02,3.40854377e-02,3.58483978e-02,3.64463553e-02,3.73303518e-02,3.94095182e-02
7000,4.100773,1.257119,19.980095,20.457912,20.640205,20.687885,20.821596,20.428432,1.019424,1.043675,1.052800,1.055366,1.062190,1.042164,15.328416,19.443520,18.591022,18.743406,19.544973,22.423178,3.62314653e-02,2.30685528e-02,3.61104384e-02,3.79935130e-02,3.86498235e-02,3.95835191e-02,4.19829451e-02
7500,4.071001,1.248301,19.986656,20.513464,20.708769,20.758303,20.894491,20.471092,1.019746,1.046501,1.056272,1.058938,1.065888,1.044315,15.135484,19.426130,18.592592,18.715797,19.561905,22.541029,3.80307020e-02,2.38331854e-02,3.78960744e-02,3.99154760e-02,4.06179652e-02,4.16051298e-02,4.43163812e-02
8000,4.033917,1.241661,19.994463,20.565260,20.775543,20.825027,20.965122,20.510696,1.020133,1.049127,1.059657,1.062327,1.069476,1.046310,14.973707,19.413612,18.594189,18.687185,19.584827,22.644821,3.96107550e-02,2.44749244e-02,3.94826382e-02,4.16106023e-02,4.23458479e-02,4.33738716e-02,4.63766456e-02
8500,4.004129,1.234513,20.003798,20.616819,20.836506,20.888441,21.031870,20.551270,1.020597,1.051743,1.062735,1.065552,1.072869,1.048356,14.842661,19.400558,18.598164,18.672413,19.606211,22.737429,4.09895020e-02,2.50145569e-02,4.08712998e-02,4.30835187e-02,4.38542590e-02,4.49247211e-02,4.81886566e-02
9000,3.994301,1.227325,20.015203,20.667793,20.895964,20.948162,21.095320,20.588837,1.021167,1.054333,1.065748,1.068583,1.076096,1.050256,14.731583,19.391710,18.607540,18.658922,19.627663,22.818386,4.21822739e-02,2.54577640e-02,4.20823991e-02,4.43619452e-02,4.51602638e-02,4.62676883e-02,4.97635826e-02
9500,3.954477,1.221895,20.028873,20.714319,20.951473,21.004190,21.154505,20.622927,1.021855,1.056701,1.068556,1.071425,1.079102,1.051969,14.647990,19.380196,18.612726,18.655699,19.644333,22.898394,4.32003476e-02,2.58296430e-02,4.31099609e-02,4.54510376e-02,4.62806895e-02,4.74055335e-02,5.11252210e-02
10000,3.937849,1.216664,20.044266,20.758633,21.002642,21.056164,21.207928,20.656931,1.022635,1.058958,1.071152,1.074067,1.081817,1.053689,14.583694,19.373358,18.618650,18.651499,19.669552,22.964256,4.40569514e-02,2.61352621e-02,4.39808741e-02,4.63674702e-02,4.72148508e-02,4.83627208e-02,5.22805303e-02
10500,3.945768,1.211848,20.061096,20.800491,21.050306,21.104301,21.257292,20.688211,1.023490,1.061087,1.073575,1.076516,1.084323,1.055263,14.537281,19.365053,18.623093,18.648441,19.690865,23.024652,4.47686181e-02,2.63858903e-02,4.47009690e-02,4.71318103e-02,4.79905158e-02,4.91467193e-02,5.32558039e-02
11000,3.887189,1.207846,20.079132,20.839628,21.093729,21.149076,21.303488,20.718218,1.024408,1.063075,1.075778,1.078792,1.086672,1.056779,14.503033,19.358841,18.632551,18.652180,19.710436,23.083662,4.53482078e-02,2.65927538e-02,4.52879369e-02,4.77528237e-02,4.86320443e-02,4.97823842e-02,5.40413037e-02
11500,3.875157,1.204158,20.098438,20.874603,21.134315,21.189835,21.344625,20.744377,1.025391,1.064855,1.077841,1.080862,1.088766,1.058101,14.482195,19.356934,18.642035,18.655933,19.733091,23.135769,4.58139994e-02,2.67650262e-02,4.57681119e-02,4.82482314e-02,4.91426177e-02,5.02937287e-02,5.46662807e-02
12000,3.867319,1.200419,20.117020,20.906513,21.170156,21.225222,21.381563,20.769400,1.026337,1.066481,1.079661,1.082659,1.090647,1.059367,14.466314,19.356327,18.653635,18.659922,19.751020,23.183651,4.61818818e-02,2.69006267e-02,4.61566895e-02,4.86453734e-02,4.95430157e-02,5.06878346e-02,5.51577508e-02
12500,3.843746,1.197163,20.136145,20.935301,21.202351,21.257729,21.413649,20.791933,1.027309,1.067947,1.081302,1.084313,1.092277,1.060508,14.460574,19.355131,18.663857,18.664804,19.767679,23.221445,4.64774901e-02,2.70172488e-02,4.64658141e-02,4.89592627e-02,4.98630367e-02,5.10053225e-02,5.55542558e-02
