step,L0.qk_lut.T_soft,L0.qk_lut.T_sel,L0.v_lut.T_soft,L0.v_lut.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L1.qk_lut.T_soft,L1.qk_lut.T_sel,L1.v_lut.T_soft,L1.v_lut.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L2.qk_lut.T_soft,L2.qk_lut.T_sel,L2.v_lut.T_soft,L2.v_lut.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L3.qk_lut.T_soft,L3.qk_lut.T_sel,L3.v_lut.T_soft,L3.v_lut.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L4.qk_lut.T_soft,L4.qk_lut.T_sel,L4.v_lut.T_soft,L4.v_lut.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L5.qk_lut.T_soft,L5.qk_lut.T_sel,L5.v_lut.T_soft,L5.v_lut.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel
0,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
200,0.498191,0.498264,0.497285,0.497294,0.496856,0.496732,0.498362,0.497824,0.497343,0.497360,0.498414,0.498399,0.497778,0.497531,0.497388,0.497446,0.498296,0.498403,0.497876,0.497859,0.497587,0.497635,0.498951,0.499068,0.498032,0.497923,0.497790,0.497889,0.498898,0.499038,0.497857,0.497675,0.498011,0.498123,0.499221,0.499350
400,0.495163,0.496235,0.494378,0.494488,0.489531,0.489740,0.506549,0.501394,0.495223,0.495569,0.500072,0.499835,0.503857,0.500315,0.494884,0.495322,0.497227,0.497446,0.504040,0.500290,0.495179,0.495623,0.498439,0.498399,0.505047,0.500927,0.495760,0.496203,0.497432,0.497726,0.504169,0.500211,0.496390,0.496768,0.498141,0.498397
600,0.488314,0.491317,0.490670,0.491030,0.478889,0.478962,0.524010,0.514090,0.490274,0.491434,0.507531,0.504985,0.520029,0.511249,0.489503,0.490803,0.497181,0.496095,0.519982,0.510885,0.491281,0.492448,0.499948,0.498539,0.520574,0.510243,0.491609,0.492728,0.495105,0.495366,0.519922,0.511205,0.493914,0.494607,0.496516,0.497061
800,0.481103,0.485430,0.484812,0.485779,0.472525,0.468315,0.549216,0.533230,0.481364,0.483622,0.526056,0.518305,0.544750,0.529403,0.481744,0.484201,0.505329,0.497439,0.544196,0.528351,0.483568,0.485783,0.507114,0.500436,0.545162,0.527600,0.484582,0.486498,0.492630,0.491250,0.544794,0.531221,0.490738,0.491631,0.494059,0.494851
1000,0.475952,0.480525,0.477316,0.479340,0.474396,0.459639,0.578062,0.553394,0.472711,0.475503,0.553446,0.540348,0.573698,0.550162,0.472248,0.475684,0.524830,0.504249,0.573717,0.550281,0.472780,0.475507,0.524587,0.506063,0.575386,0.550226,0.475012,0.477517,0.495609,0.486367,0.575050,0.555560,0.487345,0.487960,0.491427,0.491500
1200,0.474504,0.477676,0.469524,0.472678,0.483747,0.453612,0.607487,0.572988,0.464366,0.467093,0.582629,0.563715,0.603225,0.569347,0.464213,0.468003,0.547750,0.512689,0.603685,0.570881,0.462803,0.465501,0.547833,0.514729,0.607122,0.571890,0.465105,0.467729,0.505987,0.482610,0.605175,0.577210,0.485305,0.484822,0.490254,0.487946
1400,0.476457,0.477574,0.461076,0.465405,0.496375,0.449599,0.635725,0.588795,0.458905,0.460599,0.614470,0.589437,0.632196,0.586211,0.456673,0.459973,0.574100,0.522139,0.632697,0.588059,0.454675,0.455973,0.573660,0.525365,0.639404,0.591982,0.456015,0.457977,0.524911,0.480632,0.636360,0.598196,0.484730,0.482237,0.491353,0.484320
1600,0.478375,0.477441,0.453321,0.458607,0.513026,0.448105,0.664751,0.603637,0.455465,0.454790,0.647821,0.616186,0.660520,0.600466,0.449823,0.451619,0.602067,0.533761,0.663266,0.604366,0.448029,0.446641,0.600722,0.536106,0.672231,0.609115,0.449389,0.449597,0.547815,0.480730,0.667852,0.616841,0.485578,0.479889,0.495084,0.480450
1800,0.481812,0.478560,0.445064,0.450997,0.531816,0.448638,0.692195,0.615068,0.453134,0.450354,0.681472,0.642015,0.689755,0.613447,0.445704,0.445382,0.631815,0.545764,0.694543,0.619513,0.443800,0.438236,0.628701,0.546255,0.704958,0.624389,0.443832,0.441816,0.572772,0.482128,0.699017,0.632818,0.488464,0.478487,0.501380,0.476942
2000,0.486126,0.479835,0.438282,0.444260,0.552926,0.449532,0.718953,0.623961,0.453723,0.447125,0.715568,0.666805,0.717473,0.622472,0.444100,0.440208,0.663727,0.559960,0.724324,0.630676,0.442568,0.430579,0.657595,0.555272,0.737975,0.637079,0.440533,0.434737,0.599127,0.483957,0.731081,0.647318,0.492661,0.477445,0.511015,0.474074
2200,0.490343,0.480995,0.431933,0.437492,0.574660,0.450507,0.743432,0.630978,0.456452,0.444600,0.751236,0.692488,0.745853,0.631673,0.443353,0.435242,0.693872,0.571170,0.753899,0.639532,0.443277,0.424263,0.686367,0.562392,0.770200,0.646598,0.439755,0.429434,0.627538,0.488956,0.761139,0.656491,0.498691,0.477166,0.522660,0.471466
2400,0.494833,0.482658,0.425102,0.430190,0.597469,0.452788,0.767373,0.636615,0.460383,0.443391,0.785917,0.715455,0.773979,0.637509,0.444209,0.430916,0.725532,0.581688,0.784823,0.648275,0.447406,0.419665,0.716195,0.570373,0.802840,0.654650,0.440942,0.424667,0.656643,0.493474,0.793877,0.667789,0.506313,0.477768,0.536411,0.469191
2600,0.498468,0.483541,0.420813,0.424263,0.620709,0.455038,0.788296,0.640640,0.466018,0.442497,0.821000,0.737776,0.800366,0.643757,0.447136,0.427693,0.757723,0.593051,0.812640,0.652849,0.452931,0.415870,0.747275,0.577214,0.835115,0.659728,0.444417,0.420558,0.686248,0.497028,0.824749,0.675612,0.515066,0.478816,0.550712,0.467236
2800,0.501684,0.484299,0.416309,0.418375,0.642833,0.455614,0.809990,0.642382,0.472118,0.441718,0.857254,0.761392,0.824633,0.646910,0.452304,0.425457,0.790294,0.603601,0.838692,0.654966,0.461302,0.412597,0.777916,0.583835,0.866844,0.662942,0.450962,0.418650,0.716225,0.502437,0.855335,0.680883,0.525388,0.480706,0.566074,0.465832
3000,0.505267,0.485034,0.413908,0.413964,0.664026,0.455134,0.830254,0.643506,0.479572,0.441702,0.892442,0.782046,0.848326,0.648357,0.458452,0.423771,0.823166,0.614735,0.865344,0.656444,0.470806,0.411246,0.807828,0.589446,0.899769,0.667027,0.458366,0.417182,0.746657,0.506757,0.883017,0.683599,0.535855,0.482754,0.582294,0.464944
3200,0.508615,0.486002,0.411681,0.409615,0.685521,0.455925,0.847909,0.642730,0.487545,0.442121,0.926270,0.801487,0.870323,0.649593,0.466129,0.423547,0.855215,0.623942,0.892532,0.657217,0.481710,0.410288,0.837027,0.593106,0.928317,0.666922,0.465933,0.415912,0.776478,0.510485,0.910460,0.686193,0.547896,0.485331,0.600392,0.463845
3400,0.510283,0.485411,0.410827,0.405990,0.706158,0.454324,0.865888,0.643309,0.496985,0.443074,0.960069,0.819888,0.891374,0.649517,0.475765,0.424524,0.887169,0.634239,0.917261,0.657332,0.493882,0.410989,0.866642,0.598434,0.956177,0.665516,0.474882,0.415514,0.806057,0.513619,0.936733,0.687051,0.560847,0.488276,0.618233,0.463026
3600,0.512235,0.485670,0.410133,0.402680,0.724991,0.452442,0.882293,0.643659,0.505407,0.443873,0.992559,0.837131,0.911408,0.650112,0.484320,0.425095,0.919519,0.644372,0.940149,0.656890,0.504401,0.411128,0.896364,0.603293,0.984494,0.664479,0.485187,0.416461,0.835519,0.517078,0.962070,0.687174,0.573690,0.491566,0.636883,0.462609
3800,0.514495,0.486056,0.409909,0.399737,0.743833,0.450287,0.894302,0.641201,0.513991,0.445039,1.024706,0.853544,0.928139,0.648376,0.494229,0.426640,0.950398,0.653087,0.960657,0.654748,0.515325,0.411980,0.923616,0.605621,1.010890,0.661538,0.495999,0.418091,0.863984,0.520213,0.986402,0.685990,0.586764,0.494940,0.655427,0.462222
4000,0.516464,0.486335,0.409596,0.397119,0.761044,0.447402,0.909058,0.641684,0.522280,0.446050,1.054285,0.867007,0.947463,0.648263,0.504509,0.428520,0.979706,0.659994,0.982945,0.654666,0.526852,0.413528,0.951398,0.608909,1.034372,0.659446,0.506820,0.419924,0.891414,0.523922,1.007090,0.684236,0.600247,0.498481,0.673169,0.462046
4200,0.518303,0.486712,0.409832,0.395199,0.778508,0.445835,0.921169,0.640202,0.529913,0.447025,1.082861,0.879829,0.963041,0.646239,0.513118,0.429266,1.007509,0.665746,1.000054,0.651206,0.538788,0.415368,0.978416,0.611269,1.056474,0.656096,0.518939,0.422456,0.917089,0.524762,1.028908,0.682307,0.612982,0.501632,0.691046,0.461789
4400,0.519849,0.486740,0.409823,0.393269,0.792984,0.443344,0.932176,0.638150,0.538302,0.447523,1.108829,0.888761,0.977690,0.644762,0.522035,0.431361,1.035687,0.672588,1.017434,0.647988,0.551003,0.417845,1.002684,0.613193,1.078767,0.652228,0.529236,0.424304,0.942966,0.526334,1.049765,0.679776,0.626238,0.505342,0.708353,0.461766
4600,0.520721,0.486369,0.409501,0.391163,0.805531,0.440944,0.942413,0.636440,0.545671,0.448407,1.132059,0.896670,0.991187,0.642552,0.531328,0.433555,1.061417,0.676895,1.033589,0.645115,0.561603,0.420045,1.026631,0.614881,1.099934,0.649181,0.539736,0.426951,0.966637,0.527607,1.069062,0.678378,0.638542,0.508726,0.725244,0.461992
4800,0.522110,0.486906,0.409178,0.389250,0.818004,0.439078,0.950543,0.634570,0.552333,0.449261,1.154137,0.902838,1.002879,0.640001,0.540260,0.435827,1.085650,0.681197,1.048445,0.642245,0.572636,0.422489,1.047561,0.614799,1.119789,0.646441,0.549626,0.429466,0.989152,0.528795,1.086890,0.675946,0.650423,0.512049,0.740310,0.461901
5000,0.521609,0.485920,0.408947,0.387745,0.828986,0.436637,0.958067,0.632808,0.559564,0.450354,1.175115,0.909858,1.013928,0.637744,0.548867,0.437851,1.106288,0.683766,1.060692,0.638301,0.582122,0.424189,1.068023,0.615225,1.136297,0.642020,0.558646,0.431478,1.008615,0.528994,1.101673,0.672545,0.662156,0.515177,0.755267,0.461946
5200,0.523453,0.486953,0.408355,0.385905,0.837647,0.434428,0.963214,0.630158,0.565751,0.450685,1.191263,0.913344,1.022541,0.634908,0.556426,0.439646,1.126307,0.686211,1.073077,0.635612,0.591686,0.426086,1.086906,0.614902,1.152754,0.638699,0.567646,0.433717,1.026668,0.528850,1.116856,0.670154,0.672841,0.518331,0.768949,0.462279
5400,0.523439,0.486398,0.407991,0.384598,0.844499,0.431906,0.969707,0.629188,0.571109,0.451246,1.206163,0.916326,1.031008,0.633052,0.564116,0.441690,1.144281,0.688650,1.084632,0.632936,0.600437,0.427976,1.104079,0.614850,1.168026,0.635235,0.576037,0.436133,1.043568,0.528661,1.129869,0.668617,0.682604,0.520808,0.781468,0.462255
5600,0.523468,0.486208,0.407291,0.383185,0.851179,0.429938,0.974935,0.627488,0.576049,0.451541,1.219939,0.918156,1.037886,0.630554,0.570863,0.443453,1.160724,0.689927,1.093575,0.629729,0.608338,0.429817,1.119917,0.615057,1.180111,0.630915,0.583978,0.438379,1.059692,0.528492,1.139746,0.665311,0.691563,0.523241,0.792728,0.462200
5800,0.523893,0.486183,0.406495,0.381885,0.855377,0.427574,0.979254,0.625773,0.581245,0.451991,1.231970,0.919612,1.045150,0.628949,0.577450,0.445171,1.174617,0.690772,1.103009,0.628472,0.615741,0.431820,1.134417,0.614905,1.192202,0.628889,0.590999,0.440224,1.074403,0.527914,1.150753,0.662672,0.700124,0.525655,0.803271,0.462437
6000,0.524009,0.486116,0.405713,0.380677,0.859462,0.425983,0.983425,0.624539,0.585481,0.452268,1.241553,0.920415,1.051235,0.626677,0.583149,0.446543,1.187950,0.691526,1.111036,0.626455,0.622233,0.433418,1.147792,0.615122,1.202081,0.625903,0.597897,0.442210,1.086211,0.526973,1.159749,0.659952,0.708325,0.528036,0.813273,0.462473
6200,0.523467,0.485576,0.404574,0.379334,0.860593,0.423986,0.986541,0.623327,0.589162,0.452513,1.250289,0.920270,1.056053,0.624989,0.588382,0.448034,1.199812,0.691800,1.118077,0.623942,0.628254,0.435031,1.158752,0.614411,1.211281,0.623148,0.604075,0.444140,1.096828,0.526328,1.168916,0.658482,0.715617,0.530100,0.822268,0.462598
6400,0.523080,0.485126,0.403640,0.378298,0.862656,0.422543,0.987916,0.621478,0.592220,0.452328,1.255975,0.919263,1.059793,0.623190,0.593236,0.449542,1.210480,0.692705,1.124352,0.621806,0.633868,0.436458,1.168197,0.613676,1.220310,0.621011,0.609373,0.445727,1.106511,0.525588,1.176260,0.656877,0.721950,0.531848,0.830133,0.462700
6600,0.523158,0.485048,0.402605,0.377285,0.863921,0.421118,0.991112,0.621091,0.594821,0.452526,1.262741,0.919422,1.064468,0.622355,0.597287,0.450594,1.219822,0.693481,1.129285,0.619710,0.638666,0.437617,1.176827,0.612851,1.227476,0.618506,0.614037,0.447052,1.114938,0.524447,1.183158,0.654876,0.727669,0.533381,0.837056,0.462718
6800,0.522922,0.484657,0.401258,0.376068,0.863395,0.419520,0.992832,0.620110,0.597292,0.452463,1.267456,0.918469,1.068121,0.621045,0.601178,0.451720,1.228201,0.693736,1.134146,0.618344,0.643024,0.438749,1.185115,0.612323,1.234281,0.617027,0.618224,0.448316,1.122806,0.523888,1.188980,0.653196,0.732863,0.534886,0.843308,0.462740
7000,0.522717,0.484273,0.400416,0.375288,0.862383,0.417931,0.993944,0.618869,0.599179,0.452331,1.271619,0.917319,1.070255,0.619628,0.604347,0.452622,1.235159,0.693903,1.138803,0.617484,0.647086,0.439876,1.192359,0.612310,1.240072,0.615406,0.622284,0.449758,1.130126,0.523635,1.193802,0.651350,0.737512,0.536141,0.849027,0.462726
7200,0.522758,0.484281,0.399349,0.374381,0.861338,0.416667,0.994913,0.617775,0.600864,0.452286,1.274963,0.916304,1.073103,0.618638,0.607434,0.453691,1.241918,0.694495,1.141943,0.616031,0.650536,0.440882,1.198867,0.611857,1.244720,0.613792,0.625781,0.450855,1.136049,0.522998,1.198397,0.650120,0.741640,0.537249,0.854202,0.462755
