step,train_loss,val_bpb,aux_ce,aux_top1,main_bit,aux_bit
200,10.340192,3.159415,10.397396,0.000610,0.577307,0.640676
400,10.277140,3.141958,10.395508,0.001587,0.579831,0.627184
600,10.217905,3.119895,10.391171,0.003906,0.577249,0.606127
800,10.138796,3.092242,10.368712,0.018555,0.576126,0.576356
1000,10.036048,3.056536,10.313399,0.050171,0.575683,0.543973
