step,train_loss,val_bpb,ln2_norm_L0,ln2_norm_L1,ln2_norm_L2,ln2_norm_L3,ln2_norm_L4,ln2_norm_L5,ln2_mean_L0,ln2_mean_L1,ln2_mean_L2,ln2_mean_L3,ln2_mean_L4,ln2_mean_L5,ln1_norm_L0,ln1_norm_L1,ln1_norm_L2,ln1_norm_L3,ln1_norm_L4,ln1_norm_L5,lm_g_L0,lm_g_L1,lm_g_L2,lm_g_L3,lm_g_L4,lm_g_L5,lm_beta_L0,lm_beta_L1,lm_beta_L2,lm_beta_L3,lm_beta_L4,lm_beta_L5,lm_gamma_L0,lm_gamma_L1,lm_gamma_L2,lm_gamma_L3,lm_gamma_L4,lm_gamma_L5,lut_tv,lut_tv_L0,lut_tv_L1,lut_tv_L2,lut_tv_L3,lut_tv_L4,lut_tv_L5
500,7.097233,2.027065,19.894489,19.664036,19.667700,19.669960,19.678209,19.684464,1.015236,1.003474,1.003661,1.003776,1.004197,1.004515,19.688299,19.667688,19.670498,19.672562,19.668070,19.659367,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.03481841,2.01449943,2.01637268,2.01953840,2.02104449,2.02280235,0.98584735,0.99305558,0.99136323,0.98949319,0.98880869,0.98795533,1.43390884e-04,4.34250338e-04,8.77159691e-05,8.75072801e-05,8.68485586e-05,8.22051516e-05,8.18180051e-05
1000,5.952565,1.778643,20.571945,19.792358,19.865095,19.908306,19.925726,19.898954,1.049798,1.010018,1.013726,1.015929,1.016818,1.015453,19.581854,19.704208,19.715803,19.736080,19.761887,19.749949,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.14620352,2.04842830,2.08112574,2.10643911,2.09840918,2.08447289,0.94574916,0.97803551,0.96079522,0.95037174,0.95427811,0.95909131,6.94460206e-04,1.33804220e-03,5.75696351e-04,5.52360492e-04,5.75326965e-04,5.46853000e-04,5.78482228e-04
1500,5.442650,1.637147,21.272902,20.080730,20.295567,20.412237,20.486315,20.335135,1.085551,1.024716,1.035667,1.041617,1.045398,1.037692,19.275635,19.710094,19.697096,19.731346,19.818586,19.836283,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.31696200,2.14578199,2.23665977,2.30626750,2.29609823,2.21245813,0.91057432,0.94183844,0.90482318,0.87834960,0.88110626,0.90978992,2.37039349e-03,3.38917202e-03,2.11493159e-03,1.99841475e-03,2.06867652e-03,2.19886564e-03,2.45230040e-03
2000,5.085569,1.537658,21.553923,20.472303,20.828129,21.000614,21.144087,20.820848,1.099873,1.044665,1.062798,1.071597,1.078921,1.062446,18.786594,19.714870,19.601238,19.671579,19.879269,19.980612,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.41784787,2.32316756,2.49721575,2.59783602,2.60276723,2.38521314,0.94413304,0.89965868,0.83592767,0.80293721,0.79818404,0.86190647,5.48047006e-03,6.47198595e-03,5.17050596e-03,4.83278651e-03,4.99189133e-03,5.49058709e-03,5.92506351e-03
2500,4.855143,1.475130,21.454128,20.872292,21.328720,21.532555,21.745197,21.308180,1.094768,1.065031,1.088295,1.098693,1.109551,1.087274,18.290949,19.714252,19.488222,19.601130,20.008600,20.217503,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.37216425,2.55153918,2.80570889,2.91694355,2.94301939,2.58748865,1.03587770,0.86918986,0.77919996,0.74810529,0.73244554,0.81222892,8.86897432e-03,9.35868081e-03,8.65728501e-03,8.09542555e-03,8.29830486e-03,9.15281475e-03,9.65133496e-03
3000,4.669722,1.419583,21.172775,21.250006,21.758560,21.967571,22.304449,21.800304,1.080402,1.084254,1.110179,1.120844,1.138042,1.112338,17.796072,19.691710,19.377226,19.524401,20.308405,20.540085,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.24529171,2.78464937,3.12647223,3.23046231,3.29729843,2.81173301,1.16252172,0.86138684,0.74793434,0.72486734,0.68314290,0.76186943,1.22929681e-02,1.19470498e-02,1.22133587e-02,1.15068415e-02,1.17177945e-02,1.29013350e-02,1.34714292e-02
3500,4.524843,1.379941,20.742491,21.600019,22.178310,22.380257,22.857952,22.298826,1.058439,1.102059,1.131550,1.141849,1.166239,1.137713,17.363884,19.660379,19.265846,19.455276,20.580980,20.813643,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.07146120,3.00942039,3.44747233,3.52511978,3.64932299,3.04652190,1.31685340,0.87332892,0.72745013,0.71383935,0.64286524,0.71331131,1.56673510e-02,1.41376033e-02,1.57399774e-02,1.49624432e-02,1.51514439e-02,1.66371278e-02,1.73755102e-02
4000,4.438578,1.352260,20.242956,21.932600,22.582088,22.783020,23.392292,22.782269,1.032942,1.118964,1.152105,1.162340,1.193458,1.162303,17.001972,19.623489,19.159878,19.397392,20.788685,21.048912,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.90357971,3.21170163,3.76669908,3.80535054,3.98329663,3.28561044,1.48973477,0.90218687,0.71417797,0.70585996,0.61119252,0.66880769,1.89201646e-02,1.59722157e-02,1.91366710e-02,1.83895584e-02,1.85207464e-02,2.02701353e-02,2.12316606e-02
4500,4.360831,1.331575,19.705324,22.230959,22.975031,23.175766,23.930052,23.256111,1.005490,1.134128,1.172111,1.182320,1.220849,1.186404,16.687477,19.594093,19.058050,19.346350,20.946293,21.246061,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.74925900,3.35539436,4.04413700,4.04210138,4.28940773,3.50443506,1.68459368,0.94513637,0.70701909,0.70177126,0.58278728,0.63108730,2.20098638e-02,1.74814034e-02,2.23413371e-02,2.17292085e-02,2.17665471e-02,2.37738341e-02,2.49668527e-02
5000,4.311226,1.314037,19.198050,22.526817,23.350925,23.553167,24.439871,23.711668,0.979564,1.149159,1.191244,1.201506,1.246825,1.209561,16.429913,19.574715,18.969280,19.306067,21.090403,21.417427,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.62544334,3.48109961,4.29587698,4.27878857,4.54069090,3.71417975,1.89646697,0.99690926,0.70304197,0.69740266,0.56044120,0.59723520,2.49052833e-02,1.87451020e-02,2.53695026e-02,2.48958562e-02,2.48414744e-02,2.70555615e-02,2.85242032e-02
