step,train_loss,val_bpb,ln2_norm_L0,ln2_norm_L1,ln2_norm_L2,ln2_norm_L3,ln2_norm_L4,ln2_norm_L5,ln2_mean_L0,ln2_mean_L1,ln2_mean_L2,ln2_mean_L3,ln2_mean_L4,ln2_mean_L5,ln1_norm_L0,ln1_norm_L1,ln1_norm_L2,ln1_norm_L3,ln1_norm_L4,ln1_norm_L5,tau_L0,tau_L1,tau_L2,tau_L3,tau_L4,tau_L5
500,8.139393,2.315885,19.698357,19.674074,19.664268,19.666529,19.660263,19.658060,1.005227,1.003988,1.003487,1.003602,1.003283,1.003170,19.668543,19.624437,19.627579,19.625921,19.617628,19.613907,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000
1000,6.515129,1.936846,19.841339,19.723528,19.726515,19.746181,19.734354,19.743946,1.012523,1.006510,1.006663,1.007666,1.007062,1.007552,19.679375,19.660183,19.679790,19.688713,19.683764,19.678223,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000
1500,5.926960,1.785731,19.960142,19.775505,19.811436,19.870604,19.865402,19.871885,1.018584,1.009161,1.010993,1.014010,1.013745,1.014076,19.644659,19.672405,19.694481,19.727459,19.734188,19.737700,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000
2000,5.544796,1.675072,20.058542,19.845949,19.940781,20.035938,20.049259,20.019724,1.023602,1.012750,1.017587,1.022437,1.023115,1.021612,19.559574,19.667301,19.687536,19.743721,19.764050,19.796257,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000
2500,5.240123,1.586830,20.106766,19.931448,20.085884,20.198780,20.223148,20.145817,1.026060,1.017103,1.024976,1.030730,1.031972,1.028033,19.408121,19.643959,19.657993,19.737541,19.783360,19.879124,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000
3000,5.005174,1.517897,20.065447,20.009949,20.188734,20.307655,20.329885,20.232782,1.023950,1.021095,1.030206,1.036267,1.037399,1.032459,19.190231,19.603516,19.600210,19.709488,19.799953,19.994663,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000
3500,4.812685,1.462999,19.918032,20.051718,20.217865,20.320183,20.337280,20.263100,1.016424,1.023213,1.031673,1.036888,1.037760,1.033996,18.898922,19.547598,19.510876,19.657438,19.852034,20.179817,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000
4000,4.653402,1.412385,19.632481,20.020250,20.152487,20.220066,20.251892,20.247602,1.001849,1.021597,1.028320,1.031758,1.033384,1.033196,18.509888,19.475918,19.385283,19.574879,20.037342,20.489990,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000
4500,4.501406,1.371338,19.210119,19.924707,20.027880,20.063705,20.118589,20.187016,0.980288,1.016709,1.021943,1.023765,1.026558,1.030096,18.031162,19.400263,19.237972,19.451532,20.228418,20.774963,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000
5000,4.401668,1.339109,18.673229,19.768862,19.832571,19.857222,19.944403,20.089897,0.952882,1.008742,1.011959,1.013205,1.017645,1.025128,17.473902,19.326880,19.072836,19.313366,20.387697,21.005781,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000
