step,L0.qk_joint.T_soft,L0.qk_joint.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L0.out_v2d.T,L1.qk_joint.T_soft,L1.qk_joint.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L1.out_v2d.T,L2.qk_joint.T_soft,L2.qk_joint.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L2.out_v2d.T,L3.qk_joint.T_soft,L3.qk_joint.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L3.out_v2d.T,L4.qk_joint.T_soft,L4.qk_joint.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L4.out_v2d.T,L5.qk_joint.T_soft,L5.qk_joint.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel,L5.out_v2d.T
3600,0.299213,0.284585,0.397895,0.280193,0.223315,0.831348,0.433729,0.406592,0.387015,0.189752,0.594957,0.438981,0.446537,0.425085,0.160943,0.567193,0.544362,0.483684,0.471478,0.124605,0.518713,0.512312,0.521126,0.515013,0.106014,0.507689,0.505488,0.537529,0.519295,0.097629
3800,0.297344,0.281450,0.407659,0.277080,0.232240,0.853940,0.429502,0.405642,0.383560,0.196414,0.603110,0.436157,0.445505,0.422717,0.166065,0.567950,0.544311,0.484177,0.471226,0.126485,0.520147,0.513213,0.522213,0.515690,0.106201,0.507906,0.505025,0.538612,0.519605,0.097035
4000,0.296191,0.279103,0.416058,0.273886,0.241144,0.876496,0.426249,0.404264,0.379264,0.203150,0.611912,0.433661,0.444984,0.420231,0.171060,0.569152,0.544533,0.482884,0.469239,0.128418,0.518387,0.511144,0.523418,0.516362,0.106450,0.506915,0.503632,0.540676,0.521135,0.096905
4200,0.295081,0.276898,0.423902,0.271450,0.249643,0.896721,0.423668,0.404776,0.377251,0.209556,0.621031,0.431856,0.445246,0.418930,0.175528,0.569619,0.544551,0.482731,0.468043,0.129886,0.517859,0.510400,0.523896,0.516830,0.106560,0.506386,0.503462,0.542297,0.521987,0.096424
4400,0.293774,0.274658,0.432057,0.269068,0.257998,0.917845,0.421230,0.405169,0.374412,0.215739,0.629095,0.429769,0.445065,0.417229,0.180140,0.570302,0.544632,0.482911,0.467155,0.131990,0.517787,0.510251,0.524592,0.517196,0.106754,0.506016,0.504057,0.543994,0.522823,0.096214
4600,0.293054,0.272976,0.439656,0.266621,0.265967,0.936001,0.417632,0.405284,0.372112,0.221711,0.638038,0.428282,0.444606,0.415446,0.184701,0.570232,0.544136,0.482180,0.465277,0.133628,0.517717,0.509846,0.525425,0.517730,0.106844,0.506369,0.504965,0.544997,0.523315,0.095821
4800,0.292476,0.271583,0.445900,0.264744,0.273581,0.952918,0.415386,0.405679,0.370135,0.227400,0.645576,0.426508,0.444268,0.413673,0.188786,0.570050,0.543705,0.482274,0.464454,0.135356,0.518275,0.510310,0.526016,0.517991,0.107003,0.507563,0.506334,0.546049,0.523908,0.095286
5000,0.291879,0.270283,0.452386,0.262304,0.280926,0.968970,0.412341,0.406637,0.368311,0.232970,0.653024,0.425129,0.444515,0.412399,0.192901,0.570652,0.543768,0.481289,0.462678,0.137374,0.518199,0.509893,0.526684,0.518474,0.107231,0.507433,0.506005,0.546867,0.524346,0.094925
5200,0.290908,0.268726,0.458093,0.260243,0.287750,0.983929,0.409266,0.407764,0.366885,0.238234,0.658691,0.423487,0.445354,0.411686,0.196655,0.571511,0.544126,0.481341,0.461862,0.138909,0.518371,0.510005,0.526821,0.518611,0.107327,0.507253,0.506124,0.547213,0.524382,0.094572
5400,0.290389,0.267593,0.463653,0.258462,0.294150,0.998213,0.407421,0.408612,0.365730,0.243081,0.664854,0.422073,0.445111,0.410411,0.200248,0.571038,0.543329,0.480940,0.460760,0.140368,0.517339,0.508984,0.527293,0.518989,0.107492,0.507544,0.506124,0.547682,0.524442,0.094144
