step,L0.qkv_joint.T_soft,L0.qkv_joint.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L0.residual_lut.T_soft,L0.residual_lut.T_sel,L1.qkv_joint.T_soft,L1.qkv_joint.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L1.residual_lut.T_soft,L1.residual_lut.T_sel,L2.qkv_joint.T_soft,L2.qkv_joint.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L2.residual_lut.T_soft,L2.residual_lut.T_sel,L3.qkv_joint.T_soft,L3.qkv_joint.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L3.residual_lut.T_soft,L3.residual_lut.T_sel,L4.qkv_joint.T_soft,L4.qkv_joint.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L4.residual_lut.T_soft,L4.residual_lut.T_sel,L5.qkv_joint.T_soft,L5.qkv_joint.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel,L5.residual_lut.T_soft,L5.residual_lut.T_sel
0,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
200,0.502164,0.502219,0.498046,0.498036,0.497133,0.497138,0.498761,0.498828,0.499516,0.499513,0.500956,0.500719,0.499363,0.499432,0.501863,0.501954,0.503137,0.503169,0.499852,0.499906,0.501890,0.501911,0.503265,0.503242,0.500308,0.500305,0.502493,0.502505,0.503200,0.503232,0.500128,0.500147,0.502179,0.502205,0.503187,0.503229
400,0.512162,0.512323,0.493522,0.493513,0.488730,0.488792,0.495488,0.495713,0.495695,0.495411,0.496876,0.496335,0.495653,0.495739,0.497118,0.498087,0.513676,0.513682,0.504785,0.504934,0.507374,0.504317,0.513693,0.513339,0.503666,0.503614,0.509769,0.509260,0.513708,0.513414,0.501116,0.501224,0.509418,0.509591,0.513681,0.513611
600,0.529431,0.529719,0.484081,0.483843,0.478852,0.479234,0.487110,0.487605,0.490658,0.490125,0.487248,0.486652,0.491735,0.492041,0.496241,0.495968,0.531008,0.530714,0.516831,0.517007,0.519357,0.512835,0.529536,0.529598,0.511960,0.511801,0.521497,0.517327,0.528551,0.528108,0.507571,0.507574,0.522152,0.521242,0.529132,0.528468
800,0.554833,0.555284,0.470895,0.469021,0.466409,0.467191,0.474884,0.475366,0.484665,0.483074,0.473524,0.473022,0.487707,0.488246,0.507014,0.502714,0.551570,0.549567,0.528482,0.528647,0.530256,0.521362,0.547364,0.548607,0.523231,0.522968,0.533771,0.526531,0.540828,0.539994,0.516960,0.516916,0.532356,0.528337,0.535753,0.534543
1000,0.584801,0.585437,0.457970,0.452789,0.452810,0.453987,0.461899,0.462306,0.479500,0.474254,0.457040,0.456470,0.483583,0.484105,0.524101,0.512382,0.566632,0.561595,0.537763,0.538266,0.542961,0.530965,0.567588,0.567917,0.532360,0.532056,0.548500,0.538520,0.555635,0.550931,0.525814,0.525646,0.547764,0.543113,0.542923,0.540139
1200,0.615925,0.616726,0.450855,0.437715,0.439048,0.440516,0.449302,0.449100,0.477735,0.465856,0.440330,0.439464,0.477468,0.478059,0.541627,0.518124,0.575699,0.565883,0.546723,0.547577,0.553104,0.538235,0.586947,0.584989,0.543116,0.542198,0.563120,0.550250,0.574566,0.559488,0.536881,0.536396,0.561982,0.555252,0.548271,0.543769
1400,0.647693,0.648702,0.450158,0.426106,0.426340,0.428066,0.438259,0.437167,0.480415,0.458244,0.423781,0.422321,0.471356,0.471567,0.557419,0.520523,0.581498,0.566097,0.555613,0.556746,0.563542,0.545207,0.606014,0.604375,0.552155,0.551044,0.576464,0.560461,0.588902,0.568289,0.544436,0.544247,0.574155,0.566815,0.552586,0.546544
1600,0.681026,0.682206,0.455451,0.415771,0.412599,0.414460,0.427626,0.425417,0.487412,0.450497,0.407408,0.405141,0.465393,0.465277,0.572786,0.521777,0.586368,0.565517,0.563388,0.564673,0.573549,0.552024,0.626117,0.625512,0.560509,0.558845,0.590527,0.571261,0.605481,0.573873,0.556385,0.555721,0.585103,0.575324,0.554712,0.548193
1800,0.713707,0.715089,0.465686,0.407007,0.399926,0.401648,0.418684,0.414613,0.498372,0.444334,0.393051,0.389655,0.459637,0.458878,0.586022,0.520833,0.587313,0.560836,0.571598,0.572583,0.586442,0.560661,0.650157,0.648089,0.569612,0.566283,0.606143,0.582401,0.622720,0.578814,0.568938,0.567263,0.597986,0.584520,0.556837,0.549780
