step,L0.qkv_joint.T_soft,L0.qkv_joint.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L0.residual_lut.T_soft,L0.residual_lut.T_sel,L1.qkv_joint.T_soft,L1.qkv_joint.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L1.residual_lut.T_soft,L1.residual_lut.T_sel,L2.qkv_joint.T_soft,L2.qkv_joint.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L2.residual_lut.T_soft,L2.residual_lut.T_sel,L3.qkv_joint.T_soft,L3.qkv_joint.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L3.residual_lut.T_soft,L3.residual_lut.T_sel,L4.qkv_joint.T_soft,L4.qkv_joint.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L4.residual_lut.T_soft,L4.residual_lut.T_sel,L5.qkv_joint.T_soft,L5.qkv_joint.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel,L5.residual_lut.T_soft,L5.residual_lut.T_sel
0,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
200,0.501148,0.501224,0.498868,0.498834,0.497179,0.497196,0.498726,0.498793,0.499128,0.499102,0.501218,0.500939,0.500609,0.500522,0.501689,0.501681,0.503156,0.503186,0.500477,0.500518,0.502038,0.502034,0.503139,0.503193,0.500351,0.500367,0.502262,0.502267,0.503190,0.503244,0.500507,0.500490,0.502206,0.502210,0.503133,0.503189
400,0.508828,0.509156,0.496429,0.496390,0.489295,0.489404,0.495560,0.495344,0.495649,0.495536,0.496288,0.495668,0.499038,0.498797,0.498290,0.497901,0.512369,0.511968,0.502964,0.503221,0.505043,0.504785,0.514079,0.513856,0.504641,0.504332,0.499010,0.498803,0.513772,0.513412,0.504665,0.504233,0.502781,0.502700,0.513761,0.513446
600,0.524191,0.524832,0.492501,0.492474,0.479902,0.480300,0.490066,0.488406,0.492031,0.491843,0.487326,0.486463,0.497195,0.496783,0.492669,0.491510,0.521168,0.519656,0.510087,0.509131,0.498449,0.494654,0.530883,0.530187,0.511618,0.510123,0.489550,0.488811,0.529208,0.528894,0.512063,0.510060,0.493295,0.492845,0.529994,0.529590
800,0.543638,0.544926,0.487862,0.487943,0.468860,0.469666,0.480917,0.477416,0.487836,0.487693,0.474865,0.474012,0.494194,0.493468,0.486886,0.485051,0.528474,0.525472,0.518764,0.516357,0.500703,0.489107,0.548061,0.547399,0.520384,0.517606,0.481899,0.478484,0.547019,0.546322,0.520119,0.516816,0.485285,0.483776,0.543178,0.540223
1000,0.566482,0.568438,0.478181,0.478390,0.456081,0.457269,0.470005,0.463465,0.479998,0.479762,0.458132,0.457179,0.489572,0.487875,0.480362,0.478570,0.535448,0.528428,0.531004,0.528486,0.505456,0.486916,0.566376,0.566124,0.529904,0.526466,0.484897,0.470050,0.563001,0.559706,0.527242,0.522937,0.482593,0.477212,0.554646,0.545139
1200,0.587051,0.589721,0.466163,0.466537,0.443843,0.445412,0.459230,0.449197,0.469540,0.469007,0.442778,0.441564,0.485051,0.482182,0.472763,0.470458,0.541200,0.530069,0.533945,0.531474,0.509602,0.490171,0.572580,0.572576,0.535508,0.531926,0.491061,0.467795,0.571194,0.568118,0.529120,0.524161,0.483619,0.471832,0.564482,0.548663
1400,0.606922,0.610325,0.450412,0.450643,0.430896,0.432815,0.450020,0.435003,0.457983,0.456805,0.426261,0.424512,0.481285,0.476819,0.465770,0.462343,0.544850,0.528491,0.542503,0.539418,0.516124,0.492298,0.586503,0.583941,0.546232,0.541402,0.499862,0.464614,0.587251,0.578451,0.539349,0.532442,0.488122,0.463430,0.574119,0.551038
1600,0.624460,0.628589,0.433430,0.433348,0.418408,0.420555,0.443900,0.422557,0.446079,0.443859,0.411654,0.409050,0.478161,0.472081,0.460161,0.455494,0.548182,0.527506,0.554421,0.550235,0.524203,0.495314,0.606655,0.598687,0.554094,0.548835,0.509951,0.461727,0.609045,0.586971,0.547642,0.538745,0.494419,0.457607,0.583903,0.552601
1800,0.638232,0.642927,0.417359,0.416832,0.406747,0.408925,0.440629,0.411477,0.434017,0.430120,0.398157,0.394194,0.475503,0.467583,0.454290,0.447883,0.549177,0.523792,0.566265,0.561068,0.531773,0.498105,0.627141,0.609834,0.560963,0.554868,0.518366,0.461721,0.623391,0.593138,0.553842,0.543089,0.500039,0.454294,0.592122,0.554007
2000,0.650910,0.656105,0.401034,0.399654,0.396380,0.398418,0.439597,0.402120,0.424475,0.418202,0.385983,0.380469,0.473257,0.463050,0.448940,0.441118,0.550554,0.520801,0.577423,0.570991,0.537929,0.499179,0.650461,0.618703,0.574495,0.565487,0.528905,0.462934,0.644655,0.598102,0.564519,0.550551,0.507063,0.454053,0.599855,0.555032
2200,0.660505,0.666011,0.386656,0.383966,0.386674,0.388474,0.441313,0.394757,0.415612,0.406422,0.374147,0.366895,0.471064,0.458545,0.444498,0.434149,0.551257,0.517081,0.588165,0.580629,0.546562,0.500275,0.670536,0.626046,0.588402,0.574968,0.538885,0.464508,0.661431,0.602106,0.573681,0.556907,0.515150,0.454888,0.606750,0.556048
2400,0.669614,0.675384,0.373884,0.369255,0.377761,0.379215,0.445365,0.389041,0.408925,0.396018,0.364267,0.354982,0.469594,0.454350,0.441112,0.428320,0.551706,0.513651,0.597130,0.589213,0.552237,0.500914,0.689947,0.633985,0.595682,0.578728,0.548554,0.464736,0.678957,0.605867,0.580271,0.561222,0.524036,0.455217,0.613356,0.556933
2600,0.677828,0.683855,0.362268,0.355307,0.369006,0.369974,0.450516,0.383270,0.403477,0.386056,0.355399,0.343618,0.468711,0.450358,0.438223,0.422921,0.551198,0.509350,0.607281,0.597192,0.558998,0.501342,0.710169,0.639252,0.605667,0.581928,0.561120,0.466936,0.695262,0.609006,0.589882,0.566079,0.535081,0.457514,0.617854,0.557703
2800,0.682708,0.688887,0.354043,0.343336,0.361085,0.361530,0.456762,0.378822,0.400099,0.376658,0.347531,0.332971,0.467923,0.446211,0.435539,0.417144,0.551120,0.505575,0.615944,0.604701,0.567032,0.502222,0.728268,0.644199,0.614101,0.583896,0.571662,0.467697,0.712247,0.612056,0.597894,0.568314,0.540831,0.458704,0.622416,0.558548
3000,0.686384,0.692579,0.347775,0.332640,0.353700,0.353443,0.465387,0.376116,0.398799,0.368784,0.341699,0.323740,0.467679,0.442511,0.433923,0.412397,0.549912,0.501029,0.620028,0.608238,0.573602,0.503566,0.744101,0.647453,0.625060,0.586979,0.582605,0.470394,0.726539,0.614385,0.607286,0.571543,0.547952,0.460391,0.626759,0.559192
3200,0.689683,0.695945,0.344339,0.323692,0.346417,0.345279,0.473930,0.373741,0.400005,0.362311,0.337002,0.314804,0.468063,0.438262,0.432260,0.407412,0.548990,0.496456,0.624982,0.612713,0.578083,0.503361,0.759331,0.650383,0.635146,0.586636,0.592552,0.470472,0.739527,0.616273,0.617663,0.572884,0.555712,0.461811,0.630453,0.559764
3400,0.689376,0.695586,0.343855,0.315986,0.340508,0.338233,0.482373,0.371633,0.402103,0.355829,0.334275,0.307336,0.469238,0.434924,0.431434,0.403001,0.547527,0.491324,0.628532,0.615120,0.583191,0.502449,0.773921,0.653105,0.648509,0.587026,0.604239,0.470832,0.752690,0.617845,0.626138,0.573879,0.564648,0.464214,0.633679,0.560138
