step,train_loss,val_bpb,ln2_norm_L0,ln2_norm_L1,ln2_norm_L2,ln2_norm_L3,ln2_norm_L4,ln2_norm_L5,ln2_mean_L0,ln2_mean_L1,ln2_mean_L2,ln2_mean_L3,ln2_mean_L4,ln2_mean_L5,ln1_norm_L0,ln1_norm_L1,ln1_norm_L2,ln1_norm_L3,ln1_norm_L4,ln1_norm_L5,lm_g_L0,lm_g_L1,lm_g_L2,lm_g_L3,lm_g_L4,lm_g_L5,lm_beta_L0,lm_beta_L1,lm_beta_L2,lm_beta_L3,lm_beta_L4,lm_beta_L5,lm_gamma_L0,lm_gamma_L1,lm_gamma_L2,lm_gamma_L3,lm_gamma_L4,lm_gamma_L5,lut_tv,lut_tv_L0,lut_tv_L1,lut_tv_L2,lut_tv_L3,lut_tv_L4,lut_tv_L5
500,7.292908,2.113165,19.837051,19.705820,19.691984,19.674990,19.731846,19.745865,1.012304,1.005605,1.004900,1.004033,1.006932,1.007646,19.710825,19.635780,19.644529,19.640079,19.654802,19.656805,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.03407884,2.02030730,2.01617980,2.01565742,2.02531862,2.02624154,0.98744839,0.99143350,0.99223799,0.99236983,0.98691761,0.98690224,1.09892343e-04,3.13836412e-04,8.48239870e-05,6.94240371e-05,6.67521454e-05,6.45196269e-05,5.99978484e-05
1000,7.255237,2.161228,19.904348,19.761097,19.760916,19.765966,19.884594,20.141396,1.015733,1.008418,1.008411,1.008667,1.014717,1.027818,19.728779,19.601418,19.602098,19.620066,19.630510,19.674185,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.04530835,2.03131557,2.02844930,2.03578377,2.04985595,2.07615471,0.98308921,0.98659950,0.98639792,0.98254323,0.97648215,0.96493006,6.14297916e-04,9.83371865e-04,5.68049203e-04,5.52969635e-04,5.71136363e-04,5.41981426e-04,4.68279002e-04
1500,7.512353,2.331894,19.958025,19.957277,20.012388,20.117804,20.217588,20.913960,1.018462,1.018415,1.021223,1.026602,1.031683,1.067173,19.628325,19.588581,19.600777,19.684681,19.628973,19.769156,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.05904317,2.07174540,2.07431865,2.09458208,2.10319901,2.17126203,0.97741055,0.96738142,0.96613401,0.95779294,0.95477360,0.92825109,1.13791895e-03,1.70895969e-03,1.12102798e-03,9.99183161e-04,1.16676139e-03,1.02062710e-03,8.10954371e-04
2000,12.959067,4.508528,20.060581,20.047606,20.169540,20.399462,21.327131,21.947294,1.023674,1.023004,1.029235,1.040929,1.088180,1.119647,19.586351,19.593143,19.625332,19.733080,19.884333,20.140213,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.08360600,2.09860921,2.10573435,2.14896727,2.26710033,2.34299827,0.96607661,0.95613182,0.95416605,0.93790388,0.88963139,0.86446172,1.54970015e-03,2.39160797e-03,1.85879820e-03,1.51323702e-03,1.45605789e-03,1.22973928e-03,8.48760537e-04
2500,10.514409,3.009838,20.132563,20.085135,20.363970,20.707144,22.777838,23.469814,1.027303,1.024900,1.039134,1.056530,1.162185,1.197338,19.590828,19.512859,19.692743,19.883308,20.245607,20.469736,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.09279704,2.10880113,2.13830733,2.19852924,2.43785000,2.53006911,0.96210784,0.95163828,0.93965530,0.91800714,0.82970732,0.80191082,1.95647652e-03,2.89546908e-03,2.54795910e-03,1.97590026e-03,1.67973537e-03,1.54050032e-03,1.09929498e-03
3000,10.063437,3.049158,20.028162,20.190582,20.755205,21.100937,23.820839,24.312708,1.021987,1.030261,1.059040,1.076594,1.215392,1.240317,19.564493,19.441780,19.751343,20.020008,20.643183,20.682013,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.07745028,2.13344622,2.19913387,2.25967908,2.57275486,2.63815570,0.96906102,0.93985003,0.91762942,0.90140778,0.78940052,0.77732968,2.14707011e-03,3.16735334e-03,2.87009217e-03,2.29781494e-03,1.75268482e-03,1.65164261e-03,1.14283280e-03
3500,9.855545,2.968709,20.142069,20.265688,21.085672,22.033691,25.145536,25.206167,1.027743,1.034046,1.075875,1.124016,1.282981,1.285816,19.571203,19.413687,19.754652,20.086588,20.868309,20.869335,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.09484720,2.14300036,2.24225259,2.39491081,2.73391342,2.72574973,0.96084499,0.93684661,0.90461761,0.85511059,0.75615805,0.76691979,2.30393326e-03,3.50957573e-03,3.12734791e-03,2.47506564e-03,1.86122069e-03,1.69857417e-03,1.15181541e-03
4000,10.082081,3.090488,20.384022,20.273306,21.285246,22.591120,25.712738,25.537176,1.040053,1.034449,1.086033,1.152414,1.311909,1.302651,19.572191,19.523632,19.775530,20.292429,21.035498,20.916201,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.13575125,2.14495707,2.27190757,2.47030163,2.79133463,2.74812984,0.94369751,0.93719357,0.89635795,0.83171976,0.75173795,0.76549459,2.41411146e-03,3.82554182e-03,3.22698941e-03,2.65003229e-03,1.91505265e-03,1.71386474e-03,1.15318783e-03
4500,10.017126,3.082310,20.354401,20.337858,21.262701,23.095427,25.991499,25.579489,1.038559,1.037746,1.084904,1.177977,1.326111,1.304797,19.576553,19.589001,19.735102,20.355509,21.068161,20.920561,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.13176608,2.15784287,2.26548529,2.55399752,2.81976724,2.74926829,0.94597501,0.93231016,0.90055019,0.80703002,0.74710679,0.76544172,2.46936539e-03,4.05061431e-03,3.37575772e-03,2.59296689e-03,1.92884030e-03,1.71477289e-03,1.15324021e-03
5000,10.647099,3.297807,20.249723,20.387728,21.527231,23.363565,26.034290,25.582088,1.033270,1.040280,1.098343,1.191505,1.328289,1.304929,19.583227,19.605217,19.793123,20.401043,21.089350,20.920559,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.11383128,2.16826010,2.29498267,2.61318946,2.82800150,2.74941206,0.95413399,0.92832500,0.89156687,0.79097492,0.74581814,0.76543200,2.52919078e-03,4.25077276e-03,3.50317406e-03,2.62141880e-03,1.93171634e-03,1.71482249e-03,1.15324021e-03
