step,module,frac_flipped_vs_init,mean_max_softmax_w
200,L0.qk_lut,0.001058,0.177022
200,L0.v_lut,0.000434,0.176869
200,L0.out_proj,0.000488,0.144239
200,L0.residual_lut,0.001302,0.179982
200,L1.qk_lut,0.000651,0.176863
200,L1.v_lut,0.000304,0.175843
200,L1.out_proj,0.000326,0.144347
200,L1.residual_lut,0.000977,0.177506
200,L2.qk_lut,0.000814,0.176749
200,L2.v_lut,0.000217,0.176839
200,L2.out_proj,0.000326,0.143171
200,L2.residual_lut,0.000977,0.174976
200,L3.qk_lut,0.000407,0.177587
200,L3.v_lut,0.000260,0.177370
200,L3.out_proj,0.000326,0.144110
200,L3.residual_lut,0.001628,0.179451
200,L4.qk_lut,0.000326,0.177350
200,L4.v_lut,0.000260,0.177080
200,L4.out_proj,0.000326,0.144065
200,L4.residual_lut,0.001628,0.177025
200,L5.qk_lut,0.000244,0.176405
200,L5.v_lut,0.000304,0.177059
200,L5.out_proj,0.000163,0.143665
200,L5.residual_lut,0.000326,0.174867
400,L0.qk_lut,0.002441,0.286404
400,L0.v_lut,0.002344,0.286540
400,L0.out_proj,0.002604,0.248658
400,L0.residual_lut,0.004557,0.292168
400,L1.qk_lut,0.002279,0.286745
400,L1.v_lut,0.001649,0.284831
400,L1.out_proj,0.002441,0.248808
400,L1.residual_lut,0.003906,0.287257
400,L2.qk_lut,0.002197,0.286473
400,L2.v_lut,0.001519,0.286302
400,L2.out_proj,0.001058,0.246857
400,L2.residual_lut,0.003255,0.282683
400,L3.qk_lut,0.001628,0.287855
400,L3.v_lut,0.001476,0.287132
400,L3.out_proj,0.001302,0.248348
400,L3.residual_lut,0.003581,0.290601
400,L4.qk_lut,0.001383,0.287234
400,L4.v_lut,0.001345,0.286547
400,L4.out_proj,0.001465,0.248406
400,L4.residual_lut,0.001302,0.286120
400,L5.qk_lut,0.001383,0.285769
400,L5.v_lut,0.001302,0.286807
400,L5.out_proj,0.001139,0.247724
400,L5.residual_lut,0.001302,0.283114
600,L0.qk_lut,0.005615,0.423300
600,L0.v_lut,0.004601,0.423802
600,L0.out_proj,0.006185,0.388768
600,L0.residual_lut,0.007487,0.431911
600,L1.qk_lut,0.004232,0.425230
600,L1.v_lut,0.004557,0.422208
600,L1.out_proj,0.006104,0.388497
600,L1.residual_lut,0.007161,0.424234
600,L2.qk_lut,0.004476,0.424441
600,L2.v_lut,0.003819,0.423986
600,L2.out_proj,0.002523,0.386366
600,L2.residual_lut,0.004232,0.417759
600,L3.qk_lut,0.004069,0.426374
600,L3.v_lut,0.003342,0.424798
600,L3.out_proj,0.004313,0.387984
600,L3.residual_lut,0.006836,0.429421
600,L4.qk_lut,0.003581,0.425433
600,L4.v_lut,0.002778,0.424006
600,L4.out_proj,0.002197,0.388486
600,L4.residual_lut,0.004232,0.422088
600,L5.qk_lut,0.003662,0.423539
600,L5.v_lut,0.002734,0.424643
600,L5.out_proj,0.003092,0.387408
600,L5.residual_lut,0.004883,0.419445
800,L0.qk_lut,0.009440,0.558833
800,L0.v_lut,0.007769,0.558791
800,L0.out_proj,0.010254,0.532741
800,L0.residual_lut,0.010742,0.568459
800,L1.qk_lut,0.007487,0.562924
800,L1.v_lut,0.007943,0.558920
800,L1.out_proj,0.011312,0.531727
800,L1.residual_lut,0.012044,0.559112
800,L2.qk_lut,0.008382,0.561293
800,L2.v_lut,0.006120,0.561014
800,L2.out_proj,0.006917,0.530636
800,L2.residual_lut,0.008789,0.551592
800,L3.qk_lut,0.006673,0.563837
800,L3.v_lut,0.006814,0.561402
800,L3.out_proj,0.006673,0.532066
800,L3.residual_lut,0.008138,0.565982
800,L4.qk_lut,0.006510,0.563037
800,L4.v_lut,0.005642,0.560901
800,L4.out_proj,0.004720,0.533343
800,L4.residual_lut,0.008789,0.555724
800,L5.qk_lut,0.006348,0.560658
800,L5.v_lut,0.005469,0.561790
800,L5.out_proj,0.006185,0.531905
800,L5.residual_lut,0.009440,0.555285
1000,L0.qk_lut,0.012288,0.672152
1000,L0.v_lut,0.011892,0.670383
1000,L0.out_proj,0.015218,0.653891
1000,L0.residual_lut,0.014648,0.680698
1000,L1.qk_lut,0.010498,0.678154
1000,L1.v_lut,0.010156,0.673590
1000,L1.out_proj,0.014730,0.652572
1000,L1.residual_lut,0.016927,0.671215
1000,L2.qk_lut,0.012126,0.675700
1000,L2.v_lut,0.009462,0.676032
1000,L2.out_proj,0.009928,0.653296
1000,L2.residual_lut,0.014974,0.663492
1000,L3.qk_lut,0.009766,0.679005
1000,L3.v_lut,0.009679,0.675890
1000,L3.out_proj,0.011556,0.654852
1000,L3.residual_lut,0.011068,0.678874
1000,L4.qk_lut,0.009115,0.678642
1000,L4.v_lut,0.008550,0.676160
1000,L4.out_proj,0.008626,0.656727
1000,L4.residual_lut,0.010742,0.666630
1000,L5.qk_lut,0.010010,0.675918
1000,L5.v_lut,0.007378,0.677202
1000,L5.out_proj,0.010335,0.655079
1000,L5.residual_lut,0.012695,0.669236
1200,L0.qk_lut,0.015299,0.758328
1200,L0.v_lut,0.013715,0.754493
1200,L0.out_proj,0.018799,0.745911
1200,L0.residual_lut,0.016602,0.764550
1200,L1.qk_lut,0.012126,0.765777
1200,L1.v_lut,0.013976,0.761295
1200,L1.out_proj,0.019368,0.744341
1200,L1.residual_lut,0.018880,0.756074
1200,L2.qk_lut,0.014893,0.762779
1200,L2.v_lut,0.012847,0.763866
1200,L2.out_proj,0.014811,0.747006
1200,L2.residual_lut,0.018229,0.749167
1200,L3.qk_lut,0.012533,0.766842
1200,L3.v_lut,0.012500,0.763376
