step,train_loss,val_bpb,val_bpb_hard,anchor_tau
200,8.596942,2.273924,2.446622,0.721804
400,7.018417,2.012691,2.434381,0.521001
600,6.410032,1.909717,2.418982,0.376060
800,6.112127,1.853353,2.367213,0.271442
1000,5.937185,1.804080,2.247784,0.195928
1200,5.793684,1.770380,2.121434,0.141421
1400,5.692817,1.742991,2.024845,0.102078
1600,5.604604,1.719618,1.920825,0.073681
1800,5.536677,1.701939,1.847960,0.053183
2000,5.456973,1.683835,1.805193,0.038388
2200,5.426862,1.668162,1.750791,0.027708
2400,5.381294,1.652766,1.723948,0.020000
2600,5.313356,1.638672,1.712582,0.017971
2800,5.277929,1.625331,1.696555,0.016147
3000,5.241285,1.615772,1.688045,0.014509
3200,5.196098,1.603681,1.676465,0.013037
3400,5.160775,1.595371,1.661094,0.011714
3600,5.137325,1.588498,1.656906,0.010525
3800,5.105013,1.577988,1.645814,0.009457
4000,5.085118,1.572804,1.642810,0.008498
4200,5.057030,1.564864,1.632545,0.007636
4400,5.043838,1.557792,1.625458,0.006861
4600,5.018035,1.552448,1.619497,0.006165
4800,5.026070,1.547335,1.610778,0.005539
5000,4.978804,1.540248,1.606258,0.004977
5200,4.967688,1.537916,1.604297,0.004472
5400,4.948300,1.533491,1.597743,0.004018
5600,4.920222,1.528515,1.593641,0.003611
5800,4.918242,1.524074,1.587388,0.003244
6000,4.906220,1.520615,1.584596,0.002915
6200,4.888305,1.518407,1.581799,0.002619
6400,4.887064,1.515344,1.575793,0.002354
6600,4.866299,1.512416,1.576695,0.002115
6800,4.864271,1.509832,1.572436,0.001900
7000,4.869269,1.507441,1.568609,0.001707
7200,4.855325,1.505649,1.565557,0.001534
7400,4.834180,1.504253,1.564159,0.001378
7600,4.824163,1.503602,1.563217,0.001239
7800,4.824618,1.501335,1.561653,0.001113
8000,4.832962,1.501242,1.561701,0.001000
