seed,update,env_steps,ep_ret_mean,ep_ret_max,ep_len_mean,lr,logstd,kl,c,t
0,1,262144,-1.7411538750462279,22.353851318359375,16.334781804733726,0.0002999988705149873,-0.007227211259305477,0.016714656725525856,-0.9976747035980225,0.999360203742981
0,10,2621440,21.876201923076923,366.6034851074219,50.37401179570837,0.0002998870670902326,-0.05692422389984131,0.005299089476466179,-0.9885736107826233,0.9803448915481567
0,20,5242880,246.40889110303598,645.7136840820312,167.06025084984176,0.0002995484573067394,-0.09444745630025864,0.007650492712855339,-1.002864956855774,0.9562274217605591
0,30,7864320,304.87794059666186,695.99365234375,161.07307136285976,0.0002989847371708259,-0.15835407376289368,0.004720650613307953,-1.0314452648162842,0.9256604313850403
0,40,10485760,425.68478759168704,1077.5758056640625,190.26031479217605,0.0002981968498314587,-0.2297467589378357,0.0056339455768466,-1.0865325927734375,0.8873730897903442
0,50,13107200,630.2495141857754,1473.2694091796875,225.9367469879518,0.00029718611348730165,-0.3036561906337738,0.0057512316852808,-1.1559797525405884,0.8533070087432861
0,60,15728640,884.4035554915791,1954.040771484375,295.6283287750108,0.0002959542191812635,-0.35505542159080505,0.00639971811324358,-1.2022771835327148,0.8354604244232178
0,70,18350080,1138.712957900492,3057.799072265625,381.9641880809185,0.0002945032279712482,-0.4040340781211853,0.0073709143325686455,-1.2390092611312866,0.8230929374694824
0,80,20971520,1876.784771956276,3438.680419921875,610.6177911797964,0.0002928355674818394,-0.4635356366634369,0.006512836553156376,-1.296316146850586,0.8080182671546936
0,90,23592960,2611.234309623431,3599.516845703125,816.2073744769874,0.0002909540278426898,-0.519400954246521,0.006996824871748686,-1.3418821096420288,0.8001223206520081
0,100,26214400,2762.479723640733,3921.4150390625,811.1252628416942,0.00028886175702041143,-0.5728495121002197,0.00692655798047781,-1.38629949092865,0.7952967882156372
0,110,28835840,2795.8601573676683,4029.401611328125,769.483547925608,0.0002865622555517741,-0.6268944144248962,0.007063433527946472,-1.4286340475082397,0.7909314036369324
0,120,31457280,3162.2459924220343,4182.796875,839.8650539201399,0.00028405937068702803,-0.6795072555541992,0.007849629037082195,-1.4674495458602905,0.7881022095680237
0,130,34078720,3307.9836761345086,4311.90185546875,849.1348351289586,0.0002813572899531447,-0.7315765619277954,0.007726348005235195,-1.5030601024627686,0.784260630607605
0,140,36700160,3379.3438803894296,4401.162109375,835.6651599443671,0.0002784605341477492,-0.7845026850700378,0.008478626608848572,-1.5390822887420654,0.7810434699058533
0,150,39321600,3576.468215158924,4515.0546875,858.414119804401,0.000275373949775464,-0.8304353952407837,0.007794256322085857,-1.5704280138015747,0.7785995006561279
0,160,41943040,3682.1320878400525,4750.90966796875,860.7177974434611,0.00027210270093931693,-0.8742510080337524,0.008683590218424797,-1.5911040306091309,0.7776253819465637
0,170,44564480,3774.624095513748,4748.82763671875,864.0553545586107,0.0002686522607007845,-0.9168602824211121,0.00850399024784565,-1.609276294708252,0.776602029800415
0,180,47185920,3923.566924066924,4799.45166015625,884.055341055341,0.00026502840192292,-0.9564415812492371,0.008230091072618961,-1.6217811107635498,0.7757672667503357
0,190,49807360,3996.5330894579315,4787.32958984375,887.5357499168607,0.0002612371876118919,-0.9936004877090454,0.007994557730853558,-1.6372902393341064,0.7745623588562012
0,200,52428800,3988.4283677833214,4833.26708984375,874.6999287241625,0.0002572849607730884,-1.0311899185180664,0.00845339149236679,-1.651346206665039,0.773727297782898
