step,L0.qkv_lut.T_soft,L0.qkv_lut.T_sel,L0.v_lut.T_soft,L0.v_lut.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L0.residual_lut.T_soft,L0.residual_lut.T_sel,L1.qkv_lut.T_soft,L1.qkv_lut.T_sel,L1.v_lut.T_soft,L1.v_lut.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L1.residual_lut.T_soft,L1.residual_lut.T_sel,L2.qkv_lut.T_soft,L2.qkv_lut.T_sel,L2.v_lut.T_soft,L2.v_lut.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L2.residual_lut.T_soft,L2.residual_lut.T_sel,L3.qkv_lut.T_soft,L3.qkv_lut.T_sel,L3.v_lut.T_soft,L3.v_lut.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L3.residual_lut.T_soft,L3.residual_lut.T_sel,L4.qkv_lut.T_soft,L4.qkv_lut.T_sel,L4.v_lut.T_soft,L4.v_lut.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L4.residual_lut.T_soft,L4.residual_lut.T_sel,L5.qkv_lut.T_soft,L5.qkv_lut.T_sel,L5.v_lut.T_soft,L5.v_lut.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel,L5.residual_lut.T_soft,L5.residual_lut.T_sel
200,0.498448,0.498180,0.499278,0.499257,0.499647,0.499474,0.496369,0.496368,0.499286,0.498909,0.499261,0.499300,0.500231,0.499989,0.496535,0.496559,0.498834,0.498364,0.499248,0.499306,0.500034,0.499766,0.496637,0.496660,0.499464,0.498721,0.498467,0.498566,0.498970,0.498865,0.496708,0.496735,0.498772,0.498596,0.499066,0.499147,0.499778,0.499692,0.496728,0.496756,0.498442,0.498228,0.499119,0.499215,0.499659,0.499560,0.496737,0.496760
400,0.496880,0.495483,0.498192,0.498083,0.502761,0.501581,0.492997,0.491588,0.502237,0.497725,0.494190,0.494406,0.503596,0.502262,0.497087,0.495526,0.501325,0.496783,0.494999,0.495176,0.502253,0.501004,0.497406,0.495841,0.503643,0.498885,0.494406,0.494696,0.498159,0.497600,0.497266,0.495928,0.498405,0.496184,0.495437,0.495592,0.500340,0.499665,0.497366,0.496054,0.496933,0.495706,0.495958,0.496540,0.501652,0.501146,0.497757,0.496417
600,0.496779,0.493517,0.492677,0.492332,0.511016,0.507005,0.508015,0.502672,0.510473,0.498036,0.487108,0.486952,0.513552,0.510478,0.514460,0.510835,0.507171,0.495746,0.488250,0.488410,0.508352,0.504910,0.514378,0.510777,0.512281,0.501169,0.488826,0.488628,0.499236,0.497740,0.512907,0.509259,0.498346,0.492974,0.490211,0.490845,0.502649,0.500920,0.512632,0.508980,0.496404,0.492745,0.491196,0.492484,0.503314,0.502042,0.513411,0.509697
800,0.497605,0.492315,0.483620,0.483389,0.521973,0.512795,0.534812,0.527828,0.523130,0.499080,0.477742,0.476534,0.529417,0.523514,0.542061,0.537400,0.519464,0.497227,0.479090,0.478628,0.516874,0.509883,0.541245,0.536114,0.524168,0.505026,0.482727,0.481447,0.503238,0.499666,0.539104,0.533670,0.498864,0.488776,0.482793,0.483689,0.504205,0.500601,0.538182,0.532418,0.496415,0.489941,0.485722,0.487600,0.507293,0.504110,0.539110,0.533380
1000,0.499055,0.492071,0.475028,0.475266,0.533944,0.518259,0.566408,0.557588,0.534259,0.498717,0.470240,0.467753,0.547934,0.537453,0.574345,0.568291,0.528047,0.495859,0.471912,0.470976,0.520311,0.507478,0.571860,0.564577,0.526517,0.501748,0.477010,0.475327,0.505934,0.498137,0.567421,0.559436,0.495261,0.483533,0.475895,0.477038,0.495153,0.488356,0.564594,0.556288,0.490999,0.484258,0.481494,0.483876,0.501285,0.495726,0.563728,0.555655
