step,train_loss,val_bpb,ln2_norm_L0,ln2_norm_L1,ln2_norm_L2,ln2_norm_L3,ln2_norm_L4,ln2_norm_L5,ln2_mean_L0,ln2_mean_L1,ln2_mean_L2,ln2_mean_L3,ln2_mean_L4,ln2_mean_L5,ln1_norm_L0,ln1_norm_L1,ln1_norm_L2,ln1_norm_L3,ln1_norm_L4,ln1_norm_L5,lm_g_L0,lm_g_L1,lm_g_L2,lm_g_L3,lm_g_L4,lm_g_L5,lm_beta_L0,lm_beta_L1,lm_beta_L2,lm_beta_L3,lm_beta_L4,lm_beta_L5,lm_gamma_L0,lm_gamma_L1,lm_gamma_L2,lm_gamma_L3,lm_gamma_L4,lm_gamma_L5
500,7.112562,2.030820,19.776747,19.655558,19.664473,19.674185,19.682060,19.679045,1.009227,1.003042,1.003497,1.003992,1.004393,1.004239,19.721615,19.670156,19.658674,19.661592,19.662277,19.653986,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.02280951,2.00962186,2.01515102,2.01891637,2.01984191,2.02148867,0.99095333,0.99581808,0.99340028,0.99104619,0.98957515,0.98829103
1000,5.909579,1.762795,19.834684,19.685377,19.763348,19.823399,19.873739,19.820467,1.012181,1.004561,1.008535,1.011595,1.014162,1.011448,19.629082,19.710947,19.682941,19.710005,19.744766,19.721977,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.03209829,2.01578617,2.04458070,2.06549454,2.07230878,2.05524802,0.99086523,0.99580836,0.98642159,0.97894251,0.97393441,0.97796941
1500,5.366392,1.612455,19.665810,19.681120,19.877401,19.978119,20.056171,19.946512,1.003560,1.004337,1.014331,1.019467,1.023442,1.017861,19.365114,19.709238,19.620789,19.668526,19.776602,19.779444,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.00717640,2.01757789,2.08484888,2.12639046,2.13842440,2.08512545,1.00868714,1.00465310,0.98987907,0.98447311,0.97842485,0.97556382
2000,5.004046,1.514584,19.331322,19.620920,19.884926,20.000031,20.086798,19.956423,0.986486,1.001251,1.014688,1.020560,1.024975,1.018354,18.930620,19.691677,19.474514,19.562866,19.809076,19.926878,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.94618309,2.00755858,2.09938955,2.14727402,2.16159272,2.09120488,1.04644036,1.02888119,1.02233982,1.02616334,1.01971185,0.98470879
2500,4.771665,1.448664,19.030733,19.544449,19.843460,19.945681,20.037495,19.940342,0.971138,0.997331,1.012548,1.017764,1.022435,1.017523,18.421371,19.664131,19.318691,19.452211,19.898148,20.228785,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.88472390,1.99087107,2.09486818,2.13660812,2.14657331,2.09096622,1.08804762,1.06099474,1.07259679,1.08211279,1.07140160,0.99395877
3000,4.580743,1.391866,18.782141,19.474731,19.794516,19.866589,19.960295,19.911449,0.958443,0.993756,1.010022,1.013708,1.018474,1.016033,17.886572,19.617006,19.157125,19.336481,20.038332,20.698318,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.83613539,1.97688127,2.08611345,2.11280394,2.12016630,2.08807993,1.12491930,1.09472227,1.12450659,1.13824201,1.12147355,1.00127590
3500,4.433903,1.352622,18.578876,19.406675,19.752110,19.804840,19.891809,19.887367,0.948059,0.990261,1.007836,1.010539,1.014961,1.014790,17.370052,19.569698,19.005634,19.227245,20.135714,21.084497,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.79594362,1.96271002,2.07982111,2.09671283,2.09979916,2.08629441,1.15762174,1.12747204,1.17558372,1.18201411,1.16023755,1.00586212
4000,4.346024,1.323083,18.400484,19.348034,19.718155,19.748386,19.823408,19.856144,0.938942,0.987248,1.006076,1.007637,1.011453,1.013182,16.888704,19.524534,18.867903,19.131495,20.200027,21.380562,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.76321709,1.95202458,2.07604384,2.08240056,2.07985306,2.08219337,1.18600893,1.16024125,1.22593081,1.22075284,1.19149566,1.01069617
4500,4.265992,1.302035,18.249609,19.291317,19.679956,19.695108,19.765291,19.828537,0.931231,0.984335,1.004099,1.004897,1.008471,1.011752,16.445929,19.483059,18.740530,19.044575,20.239532,21.609837,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.73732841,1.94293106,2.06996799,2.06920576,2.06529760,2.07941842,1.21195662,1.19195735,1.26584363,1.25514030,1.21496272,1.01381838
5000,4.215354,1.284892,18.129198,19.241020,19.647196,19.649181,19.709154,19.796110,0.925073,0.981749,1.002407,1.002531,1.005589,1.010081,16.042206,19.438910,18.626163,18.971737,20.279411,21.807287,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.71610045,1.93541646,2.06597590,2.05979371,2.05167222,2.07532692,1.23613167,1.21924591,1.30134118,1.28427851,1.23548436,1.01690066
5500,4.176004,1.269354,18.024124,19.197638,19.612776,19.605360,19.656603,19.765131,0.919697,0.979518,1.000625,1.000281,1.002897,1.008485,15.676523,19.398458,18.524168,18.906963,20.312170,21.979076,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.69864178,1.92954314,2.06020975,2.05048656,2.03971744,2.07167649,1.25620818,1.24652171,1.33590341,1.30962121,1.25296152,1.01845992
6000,4.115617,1.257449,17.940357,19.159969,19.588928,19.565393,19.605152,19.738510,0.915413,0.977578,0.999390,0.998224,1.000261,1.007110,15.353458,19.358683,18.430857,18.852299,20.345903,22.127283,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.68351281,1.92529345,2.05836201,2.04159451,2.02823520,2.06877923,1.27672219,1.27366912,1.36702049,1.33296716,1.26821673,1.02030599
6500,4.082485,1.247436,17.875917,19.132196,19.566982,19.527433,19.565443,19.714415,0.912112,0.976144,0.998245,0.996272,0.998221,1.005866,15.071875,19.319654,18.345575,18.809553,20.378565,22.255613,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.67291200,1.92445076,2.05708551,2.03367376,2.01935625,2.06682014,1.29470611,1.29710734,1.39516270,1.35384023,1.28162003,1.02178097
7000,4.038369,1.237961,17.823921,19.108072,19.547594,19.500322,19.537901,19.693344,0.909453,0.974896,0.997238,0.994874,0.996807,1.004774,14.832866,19.291231,18.278551,18.779575,20.406050,22.369423,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.66458774,1.92401195,2.05626249,2.03031540,2.01405025,2.06559587,1.30993569,1.31845164,1.41930878,1.37057531,1.29214513,1.02265429
7500,4.008173,1.229209,17.790257,19.084858,19.531115,19.477570,19.510233,19.672674,0.907724,0.973700,0.996381,0.993704,0.995381,1.003701,14.629892,19.259476,18.219713,18.750689,20.439951,22.471720,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.65997243,1.92375028,2.05710268,2.02770972,2.00929546,2.06453300,1.32455766,1.33837831,1.44068813,1.38463163,1.30128610,1.02371979
8000,3.971451,1.222188,17.772106,19.072365,19.521074,19.462721,19.487095,19.659731,0.906788,0.973050,0.995860,0.992932,0.994191,1.003028,14.457435,19.231756,18.163372,18.733398,20.470800,22.566021,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.65783954,1.92671740,2.05972385,2.02741838,2.00531411,2.06495190,1.33624935,1.35576928,1.45888197,1.39681721,1.31003690,1.02418864
8500,3.939756,1.215654,17.761961,19.064993,19.521269,19.451973,19.475935,19.654688,0.906267,0.972667,0.995854,0.992370,0.993614,1.002759,14.320500,19.205273,18.123978,18.724298,20.502321,22.647800,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.65836978,1.93183661,2.06607103,2.02841878,2.00500131,2.06715536,1.34573400,1.37143326,1.47601140,1.40717053,1.31689489,1.02473605
9000,3.928440,1.210198,17.766634,19.069868,19.524254,19.444736,19.471428,19.647552,0.906503,0.972908,0.995997,0.991993,0.993380,1.002383,14.204282,19.182974,18.097879,18.716789,20.534882,22.724520,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.66244352,1.94017231,2.07351375,2.03031731,2.00678301,2.06872129,1.35212874,1.38369679,1.49007750,1.41743279,1.32225084,1.02605951
9500,3.888778,1.203661,17.770329,19.069410,19.526455,19.447390,19.466476,19.646961,0.906689,0.972875,0.996100,0.992120,0.993122,1.002344,14.117080,19.162109,18.071171,18.713703,20.567316,22.799416,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.66607416,1.94657052,2.07951450,2.03584838,2.00819778,2.07235909,1.35805130,1.39748633,1.50338900,1.42481530,1.32814956,1.02649808
10000,3.871077,1.198658,17.784595,19.078611,19.532284,19.447950,19.466377,19.651133,0.907416,0.973338,0.996391,0.992144,0.993111,1.002550,14.046128,19.145435,18.051432,18.716824,20.597950,22.867706,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.67167747,1.95682383,2.08810186,2.04047084,2.01155472,2.07692337,1.36269855,1.40777254,1.51535368,1.43333936,1.33337116,1.02744007
10500,3.878156,1.194382,17.800152,19.086758,19.541101,19.454323,19.469097,19.655447,0.908207,0.973752,0.996832,0.992465,0.993244,1.002762,13.991294,19.130383,18.040176,18.725130,20.627062,22.929314,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.67818534,1.96538663,2.09712577,2.04690814,2.01510811,2.08168125,1.36622548,1.41803992,1.52510035,1.43980169,1.33850110,1.02806187
11000,3.819711,1.190505,17.823671,19.096344,19.549381,19.461565,19.475060,19.660187,0.909407,0.974236,0.997249,0.992830,0.993548,1.002999,13.954593,19.117573,18.028294,18.731255,20.654350,22.987000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.68656611,1.97473598,2.10591221,2.05349922,2.02006698,2.08610201,1.36821413,1.42746174,1.53487933,1.44651723,1.34352934,1.02920175
11500,3.807634,1.186543,17.844748,19.108887,19.562050,19.468578,19.478704,19.663857,0.910480,0.974873,0.997896,0.993181,0.993733,1.003183,13.927208,19.105082,18.023518,18.742329,20.678947,23.038168,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.69416177,1.98496222,2.11594892,2.05948424,2.02368450,2.09005117,1.37003005,1.43489945,1.54361916,1.45217931,1.34848273,1.03083050
12000,3.799941,1.183325,17.865913,19.114546,19.570021,19.474564,19.481634,19.667753,0.911559,0.975158,0.998300,0.993486,0.993881,1.003378,13.910377,19.096817,18.020084,18.755539,20.702604,23.082439,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.70190489,1.99184334,2.12301803,2.06410909,2.02669311,2.09389544,1.37076986,1.44329596,1.55205786,1.45920777,1.35346723,1.03237510
12500,3.776064,1.180639,17.888594,19.124277,19.578434,19.481554,19.490070,19.673115,0.912716,0.975650,0.998726,0.993843,0.994311,1.003650,13.900772,19.090452,18.019705,18.765190,20.723396,23.119495,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.70983648,1.99971604,2.13007760,2.06906605,2.03120255,2.09790444,1.37088382,1.44973826,1.55937755,1.46428037,1.35744870,1.03373694
13000,3.759569,1.177828,17.907774,19.136751,19.586044,19.488783,19.496651,19.677700,0.913693,0.976286,0.999111,0.994211,0.994647,1.003881,13.895883,19.085119,18.017895,18.775919,20.743015,23.150721,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.71738315,2.00853133,2.13672519,2.07409143,2.03489256,2.10138249,1.37169731,1.45527339,1.56634092,1.46916950,1.36109781,1.03521061
13500,3.754634,1.175605,17.926336,19.145565,19.596003,19.496262,19.502628,19.682320,0.914640,0.976736,0.999616,0.994591,0.994949,1.004115,13.895667,19.080374,18.018341,18.786509,20.759809,23.176949,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.72451138,2.01589108,2.14377809,2.07896471,2.03841424,2.10490942,1.37217021,1.46096563,1.57205558,1.47372329,1.36481714,1.03663135
14000,3.734082,1.173553,17.943624,19.153448,19.602898,19.503841,19.509880,19.686502,0.915522,0.977138,0.999967,0.994978,0.995319,1.004327,13.896171,19.076036,18.021166,18.794666,20.776461,23.201502,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.73113918,2.02259374,2.14909005,2.08382988,2.04217768,2.10827613,1.37241817,1.46640146,1.57749915,1.47760952,1.36751735,1.03787136
14500,3.717686,1.172143,17.960249,19.162287,19.611589,19.510763,19.518429,19.690880,0.916371,0.977587,1.000410,0.995330,0.995755,1.004550,13.897938,19.071810,18.023384,18.803776,20.790203,23.223597,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.73751450,2.02892518,2.15547228,2.08811760,2.04649639,2.11146212,1.37250340,1.47071540,1.58251226,1.48138988,1.37023199,1.03904355
15000,3.720503,1.170756,17.976185,19.171541,19.620445,19.517502,19.525013,19.694910,0.917185,0.978059,1.000862,0.995672,0.996090,1.004754,13.900427,19.068584,18.026260,18.810951,20.802658,23.242502,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.74343288,2.03508687,2.16168785,2.09227991,2.05000043,2.11437607,1.37236559,1.47425139,1.58672464,1.48469949,1.37288988,1.04043269
15500,3.710220,1.169802,17.991413,19.179913,19.626324,19.523199,19.530069,19.699848,0.917962,0.978486,1.001161,0.995962,0.996348,1.005006,13.903650,19.065990,18.029503,18.819202,20.814682,23.261669,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.74924982,2.04095268,2.16683412,2.09613752,2.05300856,2.11731768,1.37238538,1.47781444,1.59139979,1.48803806,1.37551129,1.04132915
