step,L0.qk_lut.T_soft,L0.qk_lut.T_sel,L0.v_lut.T_soft,L0.v_lut.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L1.qk_lut.T_soft,L1.qk_lut.T_sel,L1.v_lut.T_soft,L1.v_lut.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L2.qk_lut.T_soft,L2.qk_lut.T_sel,L2.v_lut.T_soft,L2.v_lut.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L3.qk_lut.T_soft,L3.qk_lut.T_sel,L3.v_lut.T_soft,L3.v_lut.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L4.qk_lut.T_soft,L4.qk_lut.T_sel,L4.v_lut.T_soft,L4.v_lut.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L5.qk_lut.T_soft,L5.qk_lut.T_sel,L5.v_lut.T_soft,L5.v_lut.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel
0,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
200,0.499016,0.499179,0.498323,0.498320,0.498439,0.498430,0.499111,0.498861,0.498724,0.498743,0.499376,0.499374,0.499351,0.499405,0.499110,0.499137,0.499424,0.499415,0.499280,0.499318,0.499318,0.499329,0.499636,0.499632,0.499541,0.499617,0.499292,0.499303,0.499610,0.499609,0.499523,0.499522,0.499321,0.499328,0.499646,0.499648
400,0.495835,0.497030,0.495708,0.495700,0.494860,0.494936,0.498718,0.497354,0.495989,0.496230,0.498889,0.498772,0.498627,0.497193,0.495834,0.495920,0.498317,0.498194,0.498215,0.497560,0.498153,0.498219,0.499322,0.499253,0.498571,0.498191,0.497129,0.497256,0.499218,0.499165,0.498412,0.498268,0.497818,0.497942,0.499591,0.499570
600,0.490123,0.493482,0.491647,0.491616,0.487990,0.488178,0.501091,0.495473,0.491021,0.490907,0.497323,0.496981,0.501702,0.494609,0.487917,0.487857,0.492800,0.492517,0.500379,0.494506,0.494534,0.494481,0.498100,0.497918,0.499556,0.496913,0.490819,0.490749,0.497804,0.497712,0.498130,0.497336,0.495429,0.495668,0.499444,0.499387
800,0.481806,0.487844,0.485670,0.485636,0.477448,0.477739,0.507635,0.493245,0.483246,0.481904,0.493721,0.493057,0.510111,0.492019,0.476850,0.476358,0.482206,0.481682,0.508394,0.490758,0.487119,0.486340,0.494215,0.493912,0.503986,0.495214,0.481822,0.480979,0.494162,0.494068,0.498986,0.496429,0.493086,0.493015,0.499040,0.498895
1000,0.470406,0.478942,0.476721,0.476744,0.463998,0.464246,0.517580,0.490935,0.473674,0.470116,0.487693,0.486117,0.522570,0.489754,0.464033,0.462040,0.468812,0.467753,0.521764,0.487851,0.475909,0.473586,0.487346,0.486584,0.514459,0.493713,0.470386,0.467840,0.487069,0.486831,0.502507,0.495749,0.490720,0.489479,0.498093,0.497624
1200,0.456689,0.466793,0.465555,0.465631,0.448121,0.448021,0.530903,0.489462,0.465455,0.456918,0.481160,0.476975,0.539587,0.488113,0.454881,0.445613,0.454341,0.451726,0.539424,0.485827,0.464826,0.458550,0.478756,0.476533,0.529795,0.492347,0.460448,0.452088,0.477581,0.476409,0.508683,0.495413,0.489262,0.485189,0.496822,0.495390
1400,0.441910,0.452866,0.453241,0.453322,0.430533,0.429112,0.547196,0.487310,0.464232,0.443851,0.477897,0.465815,0.560880,0.486804,0.467258,0.430473,0.441827,0.433688,0.562577,0.484271,0.458654,0.441892,0.468115,0.462076,0.550801,0.491823,0.463501,0.435721,0.465597,0.461681,0.520030,0.495946,0.490307,0.479962,0.495951,0.491774
1600,0.427361,0.437292,0.439058,0.438572,0.413476,0.408201,0.567868,0.485995,0.473662,0.434494,0.486140,0.456499,0.585859,0.485707,0.490878,0.424030,0.447886,0.417652,0.591548,0.485659,0.466941,0.425646,0.459729,0.445452,0.576824,0.492063,0.482801,0.421484,0.456862,0.445848,0.534982,0.496862,0.495165,0.475319,0.497549,0.488062
1800,0.416315,0.423414,0.428633,0.426546,0.411079,0.387462,0.590435,0.483965,0.495249,0.429267,0.507048,0.451887,0.612754,0.484109,0.519292,0.429234,0.470012,0.408802,0.624884,0.488508,0.487106,0.413467,0.458102,0.426527,0.605999,0.492157,0.509724,0.415466,0.456570,0.429450,0.554309,0.498910,0.506251,0.472169,0.502686,0.483984
2000,0.408170,0.410656,0.419619,0.414782,0.427794,0.369352,0.613560,0.482281,0.520436,0.430749,0.533689,0.454048,0.641316,0.482176,0.549959,0.439756,0.496950,0.409839,0.661477,0.491326,0.514118,0.407952,0.467559,0.408219,0.636492,0.491900,0.539383,0.418336,0.469343,0.413599,0.576271,0.501256,0.522310,0.470120,0.511312,0.478394
2200,0.403087,0.398638,0.413565,0.404175,0.451544,0.354654,0.635300,0.480614,0.548285,0.435192,0.563592,0.459835,0.669014,0.479180,0.582283,0.450752,0.525889,0.417547,0.699736,0.493453,0.543116,0.407816,0.486671,0.392002,0.668675,0.490625,0.571004,0.425049,0.489676,0.400849,0.600105,0.503284,0.540579,0.469264,0.521841,0.472645
2400,0.401561,0.388303,0.410206,0.395235,0.477862,0.346025,0.654548,0.477699,0.577325,0.438550,0.595807,0.468145,0.696911,0.476207,0.615838,0.458093,0.556733,0.427248,0.740276,0.493377,0.574451,0.409610,0.509224,0.378051,0.702480,0.487777,0.604420,0.430986,0.515487,0.388956,0.626824,0.505169,0.563669,0.469171,0.536258,0.465250
2600,0.401898,0.378834,0.409097,0.386738,0.505830,0.343125,0.673910,0.474059,0.608668,0.441626,0.629093,0.473803,0.724150,0.472046,0.650602,0.461665,0.589151,0.436766,0.782872,0.492542,0.607445,0.411659,0.536049,0.367311,0.737804,0.484113,0.639654,0.434436,0.542939,0.380075,0.653459,0.505918,0.587635,0.468455,0.551799,0.457446
2800,0.405925,0.371371,0.410786,0.379289,0.535716,0.342460,0.694573,0.470561,0.641101,0.442778,0.664530,0.479196,0.752254,0.467399,0.686910,0.461657,0.622513,0.444451,0.827233,0.488083,0.641740,0.413521,0.564594,0.360055,0.773680,0.479798,0.676576,0.435849,0.573136,0.372555,0.682654,0.506458,0.613996,0.468056,0.569756,0.448988
3000,0.411571,0.365153,0.413385,0.372450,0.567113,0.344432,0.713672,0.466260,0.674054,0.441182,0.702110,0.484486,0.779226,0.462477,0.724116,0.458017,0.657876,0.451351,0.873499,0.483178,0.678107,0.413505,0.594439,0.354217,0.809707,0.474782,0.715198,0.433977,0.605466,0.366125,0.712299,0.505511,0.641927,0.467297,0.589818,0.440419
3200,0.417900,0.358920,0.418271,0.367457,0.600060,0.345898,0.732570,0.461996,0.707762,0.437150,0.740670,0.486654,0.805681,0.457181,0.762083,0.451323,0.694552,0.455328,0.921024,0.476160,0.716451,0.411658,0.626695,0.351563,0.847146,0.469044,0.755241,0.430894,0.639425,0.361194,0.742456,0.504582,0.670546,0.466085,0.611294,0.432065
3400,0.424306,0.353441,0.423497,0.362249,0.634692,0.347663,0.750395,0.457512,0.743786,0.432062,0.781656,0.489117,0.833168,0.450541,0.801234,0.442991,0.733071,0.458172,0.970898,0.468464,0.755817,0.408606,0.660938,0.348087,0.885742,0.462448,0.797278,0.426124,0.674916,0.356959,0.774494,0.502388,0.701154,0.463999,0.635551,0.422744
3600,0.432918,0.348965,0.430189,0.357617,0.670913,0.348787,0.766734,0.453780,0.780875,0.424606,0.823915,0.487959,0.860426,0.444526,0.841999,0.434037,0.773407,0.459275,1.020576,0.460932,0.796805,0.403382,0.696529,0.345890,0.924391,0.456329,0.840635,0.418535,0.711897,0.350819,0.806772,0.498862,0.733375,0.461853,0.661570,0.414185
3800,0.441132,0.344532,0.438147,0.353460,0.708664,0.349776,0.782644,0.449631,0.817627,0.416866,0.867455,0.485634,0.886932,0.439293,0.882198,0.426302,0.815100,0.460161,1.071628,0.452768,0.839320,0.396790,0.734098,0.344207,0.963025,0.449795,0.886672,0.411082,0.750838,0.346244,0.840853,0.495044,0.765641,0.459294,0.688647,0.405464
4000,0.449106,0.340778,0.445565,0.349752,0.747891,0.350264,0.798506,0.444628,0.855054,0.408846,0.913049,0.480999,0.910518,0.432327,0.921399,0.416889,0.858156,0.458106,1.124909,0.443714,0.882669,0.389436,0.772231,0.342099,1.003348,0.443484,0.933520,0.404016,0.791612,0.342184,0.873264,0.489841,0.798871,0.455329,0.718123,0.397034
4200,0.456813,0.337337,0.453907,0.345698,0.788848,0.350200,0.816549,0.440131,0.894288,0.400068,0.961524,0.476796,0.936228,0.426509,0.963408,0.406927,0.902898,0.455732,1.177122,0.435786,0.928295,0.381093,0.812579,0.338936,1.042596,0.435817,0.982243,0.395886,0.834213,0.338047,0.907873,0.484706,0.833914,0.450998,0.748962,0.388666
4400,0.465664,0.333845,0.462330,0.341786,0.831545,0.349564,0.830854,0.435365,0.933328,0.391209,1.010753,0.472568,0.961368,0.421305,1.004841,0.397893,0.949140,0.452483,1.229682,0.427409,0.975016,0.372906,0.854520,0.336773,1.084895,0.428979,1.032022,0.386809,0.878289,0.333300,0.942544,0.478633,0.868638,0.446429,0.779362,0.381058
4600,0.474052,0.330316,0.471046,0.337736,0.875442,0.348139,0.844860,0.431602,0.973270,0.382097,1.061598,0.466690,0.985862,0.415119,1.048840,0.386994,0.997071,0.448046,1.283597,0.417994,1.023308,0.365206,0.897472,0.334881,1.126375,0.421693,1.082597,0.378517,0.923713,0.328605,0.975964,0.473276,0.904929,0.441482,0.811839,0.373926
4800,0.481892,0.327033,0.480482,0.334465,0.921031,0.346555,0.859311,0.427518,1.013485,0.373439,1.114869,0.459474,1.010561,0.409404,1.091738,0.377988,1.046133,0.442817,1.337144,0.409726,1.072695,0.356977,0.942375,0.332839,1.168440,0.414223,1.135792,0.369394,0.970246,0.323813,1.008999,0.467934,0.940234,0.435805,0.844911,0.366845
5000,0.489503,0.324213,0.488852,0.331088,0.967845,0.344744,0.872936,0.422678,1.054387,0.364696,1.169604,0.451924,1.035895,0.403962,1.135043,0.368904,1.096907,0.438064,1.390049,0.401370,1.122940,0.348310,0.987971,0.329680,1.207401,0.407255,1.189549,0.360915,1.018475,0.319522,1.043109,0.462081,0.977635,0.429595,0.880296,0.359754
5200,0.497937,0.321826,0.496990,0.327986,1.016026,0.342765,0.885505,0.418030,1.095882,0.356284,1.225133,0.445498,1.058735,0.397952,1.175427,0.359867,1.147358,0.431539,1.443141,0.393176,1.173418,0.340280,1.034879,0.326847,1.249983,0.401164,1.244826,0.352153,1.068829,0.314905,1.078149,0.455974,1.015343,0.423371,0.915204,0.353339
5400,0.505107,0.318695,0.504054,0.324388,1.065942,0.339866,0.898868,0.414914,1.136334,0.348759,1.283073,0.440173,1.082430,0.393257,1.218735,0.351833,1.199534,0.426052,1.498183,0.385202,1.226018,0.332624,1.082142,0.325337,1.290935,0.394222,1.300728,0.343883,1.120018,0.309493,1.113888,0.449557,1.054842,0.416573,0.951967,0.346717
5600,0.512576,0.315978,0.512561,0.321046,1.116980,0.336522,0.911493,0.411166,1.177569,0.341389,1.341913,0.433118,1.106319,0.387960,1.260606,0.343361,1.252454,0.420681,1.547840,0.377786,1.279638,0.323726,1.128862,0.321145,1.332267,0.387048,1.357612,0.336043,1.172414,0.305144,1.150754,0.443575,1.095343,0.410110,0.989496,0.341355
5800,0.520257,0.313374,0.521021,0.317680,1.169040,0.332972,0.923168,0.407306,1.215875,0.333382,1.401212,0.425823,1.129000,0.382125,1.303988,0.335801,1.306411,0.414698,1.599485,0.370310,1.331893,0.316346,1.177461,0.318088,1.376566,0.380855,1.416992,0.328197,1.226641,0.300828,1.185448,0.436821,1.136014,0.402944,1.028497,0.335971
6000,0.526563,0.310788,0.529109,0.314530,1.222268,0.328226,0.933931,0.402744,1.257054,0.326817,1.462037,0.420464,1.151391,0.377653,1.345453,0.328585,1.361266,0.409323,1.648231,0.364003,1.382781,0.309222,1.226468,0.315194,1.416582,0.374153,1.477046,0.319756,1.281181,0.296147,1.218271,0.430829,1.175364,0.396092,1.067167,0.330317
6200,0.533478,0.308442,0.537517,0.311557,1.275748,0.324247,0.945963,0.398927,1.294333,0.319218,1.522977,0.412895,1.172366,0.373026,1.385611,0.321010,1.417116,0.403076,1.699217,0.357324,1.437190,0.301289,1.277040,0.311119,1.458760,0.367925,1.536269,0.312618,1.337212,0.292365,1.253022,0.424757,1.216521,0.389886,1.106439,0.325813
6400,0.539536,0.305714,0.545960,0.308548,1.330368,0.320294,0.960023,0.395667,1.333008,0.312421,1.585597,0.405347,1.194559,0.368333,1.429035,0.313593,1.475145,0.395253,1.748412,0.350660,1.490043,0.294632,1.327884,0.308382,1.501803,0.362075,1.594391,0.305561,1.394938,0.288013,1.286515,0.419055,1.257156,0.382918,1.146532,0.321086
6600,0.547180,0.304211,0.553183,0.305821,1.385070,0.316629,0.971049,0.391662,1.371925,0.305738,1.648397,0.397476,1.215107,0.363973,1.471097,0.307351,1.533042,0.389801,1.796150,0.344160,1.544008,0.287075,1.378257,0.304503,1.541785,0.356369,1.652427,0.298456,1.453467,0.282948,1.319780,0.412845,1.300553,0.375615,1.186035,0.316316
