stage,step,train_loss
0,1,10.543835
0,100,9.689253
0,200,8.489362
0,300,7.819976
0,400,7.437360
0,500,7.238237
0,600,7.101651
0,700,7.006214
0,800,6.938136
0,900,6.879509
0,1000,6.802304
0,1100,6.804383
0,1200,6.766874
0,1300,6.717204
0,1400,6.712736
0,1500,6.682760
0,1600,6.630328
0,1700,6.615529
0,1800,6.591206
0,1900,6.580440
0,2000,6.560185
0,2100,6.534044
0,2200,6.520900
0,2300,6.498515
0,2400,6.494321
0,2500,6.445294
0,2600,6.446448
0,2700,6.433153
0,2800,6.443818
0,2900,6.441409
0,3000,6.422516
0,3100,6.382869
0,3200,6.366264
0,3300,6.357580
0,3400,6.371624
0,3500,6.372505
0,3600,6.356884
0,3700,6.367273
0,3800,6.354194
0,3900,6.352953
0,4000,6.346577
1,1,6.480936
1,100,6.336687
1,200,6.223033
1,300,6.129027
1,400,6.051722
1,500,6.004305
1,600,5.956221
1,700,5.918353
1,800,5.876179
1,900,5.840201
1,1000,5.800415
1,1100,5.784655
1,1200,5.763134
1,1300,5.726604
1,1400,5.703581
1,1500,5.682779
