step,L0.qk_lut.T_soft,L0.qk_lut.T_sel,L0.v_lut.T_soft,L0.v_lut.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L1.qk_lut.T_soft,L1.qk_lut.T_sel,L1.v_lut.T_soft,L1.v_lut.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L2.qk_lut.T_soft,L2.qk_lut.T_sel,L2.v_lut.T_soft,L2.v_lut.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L3.qk_lut.T_soft,L3.qk_lut.T_sel,L3.v_lut.T_soft,L3.v_lut.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L4.qk_lut.T_soft,L4.qk_lut.T_sel,L4.v_lut.T_soft,L4.v_lut.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L5.qk_lut.T_soft,L5.qk_lut.T_sel,L5.v_lut.T_soft,L5.v_lut.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel
0,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
200,0.497738,0.497982,0.498469,0.498469,0.497747,0.497738,0.499155,0.499230,0.499414,0.499432,0.499981,0.499976,0.499615,0.499637,0.499564,0.499571,0.500048,0.500026,0.499837,0.499768,0.499556,0.499572,0.499964,0.499948,0.499725,0.499760,0.499509,0.499527,0.499836,0.499819,0.498743,0.498830,0.499593,0.499614,0.499848,0.499835
400,0.492332,0.493115,0.496484,0.496533,0.493356,0.493880,0.497343,0.497637,0.498419,0.498768,0.499280,0.499304,0.499496,0.499630,0.499765,0.499754,0.502834,0.502600,0.499606,0.499506,0.499769,0.499774,0.502334,0.502079,0.499485,0.499794,0.499536,0.499552,0.501205,0.501003,0.498399,0.498987,0.499659,0.499683,0.500231,0.500148
600,0.483534,0.485468,0.492000,0.492362,0.483111,0.485110,0.494502,0.494626,0.494891,0.496342,0.491993,0.492528,0.498419,0.499002,0.500315,0.500252,0.510519,0.509199,0.499153,0.499303,0.500202,0.500170,0.509470,0.507801,0.498734,0.499910,0.499627,0.499652,0.504628,0.503750,0.497459,0.498562,0.499725,0.499783,0.501140,0.500791
800,0.471711,0.474801,0.483326,0.484264,0.468813,0.472636,0.491552,0.489343,0.488536,0.491437,0.478173,0.479414,0.496641,0.498005,0.501060,0.500869,0.525182,0.520922,0.498382,0.498971,0.500855,0.500740,0.519884,0.515299,0.496561,0.498743,0.499849,0.499893,0.508330,0.506280,0.496368,0.498168,0.499842,0.499953,0.503019,0.501800
1000,0.460343,0.463249,0.471766,0.473163,0.453485,0.458106,0.490418,0.483068,0.481054,0.485027,0.463750,0.464344,0.494592,0.496779,0.502434,0.502082,0.545713,0.534039,0.496663,0.497494,0.502270,0.502044,0.535831,0.524181,0.493908,0.497980,0.500202,0.500309,0.514700,0.509785,0.494885,0.497546,0.499677,0.499904,0.506153,0.503178
1200,0.451114,0.452388,0.457510,0.458618,0.440631,0.444759,0.491708,0.476271,0.474746,0.478923,0.451072,0.449367,0.491981,0.495102,0.503407,0.502969,0.567186,0.546377,0.495340,0.496661,0.503082,0.502789,0.554843,0.533281,0.490019,0.496254,0.500695,0.500911,0.522007,0.513151,0.493249,0.496696,0.499868,0.500188,0.509411,0.504357
1400,0.444685,0.443113,0.444458,0.444377,0.429352,0.431456,0.495697,0.469630,0.469502,0.473053,0.441118,0.434462,0.488508,0.492552,0.504199,0.503651,0.586358,0.555572,0.493249,0.495480,0.503953,0.503618,0.572202,0.539515,0.487368,0.495558,0.500408,0.500780,0.528932,0.515765,0.490092,0.494699,0.500153,0.500610,0.512544,0.505100
1600,0.440630,0.434679,0.433396,0.430105,0.421224,0.419106,0.499617,0.463044,0.466160,0.467964,0.435003,0.421233,0.484864,0.489106,0.504430,0.503857,0.602967,0.562645,0.490228,0.493335,0.504069,0.503766,0.587276,0.544415,0.483188,0.493276,0.499911,0.500516,0.535203,0.517587,0.487740,0.493725,0.500167,0.500817,0.515884,0.505685
1800,0.439648,0.427466,0.426459,0.416684,0.417392,0.408585,0.507798,0.458139,0.463643,0.463050,0.432831,0.409323,0.481783,0.485262,0.504784,0.504203,0.616742,0.567886,0.487930,0.491614,0.504634,0.504375,0.598730,0.547404,0.479154,0.490918,0.499576,0.500446,0.540462,0.518637,0.482388,0.489767,0.499785,0.500646,0.518767,0.505671
2000,0.441070,0.422221,0.422900,0.404149,0.417081,0.400309,0.516359,0.452328,0.461853,0.458253,0.434375,0.398737,0.479242,0.481128,0.504979,0.504448,0.628202,0.571559,0.485675,0.489899,0.504882,0.504699,0.609676,0.549437,0.477141,0.490008,0.498935,0.500095,0.545184,0.518850,0.479363,0.487541,0.499657,0.500777,0.521425,0.504976
