step,train_loss,qreg_loss,lambda,val_loss,val_loss_snapped
0,6.329951,0.362818,0.000000,6.269362,
1000,2.049629,0.427887,0.000000,1.985286,
2000,1.822245,0.460294,0.000000,1.809304,
3000,1.761880,0.476953,0.000000,1.754210,
4000,1.726394,0.488051,0.000000,1.724181,
5000,1.701515,0.494703,0.000000,1.699659,
6000,1.681480,0.497715,0.000000,1.675579,
7000,1.662478,0.499274,0.000000,1.660287,
