step,train_loss,val_bpb,ln2_norm_L0,ln2_norm_L1,ln2_norm_L2,ln2_norm_L3,ln2_norm_L4,ln2_norm_L5,ln2_mean_L0,ln2_mean_L1,ln2_mean_L2,ln2_mean_L3,ln2_mean_L4,ln2_mean_L5,ln1_norm_L0,ln1_norm_L1,ln1_norm_L2,ln1_norm_L3,ln1_norm_L4,ln1_norm_L5,lm_g_L0,lm_g_L1,lm_g_L2,lm_g_L3,lm_g_L4,lm_g_L5,lm_beta_L0,lm_beta_L1,lm_beta_L2,lm_beta_L3,lm_beta_L4,lm_beta_L5,lm_gamma_L0,lm_gamma_L1,lm_gamma_L2,lm_gamma_L3,lm_gamma_L4,lm_gamma_L5,lut_tv,lut_tv_L0,lut_tv_L1,lut_tv_L2,lut_tv_L3,lut_tv_L4,lut_tv_L5
5500,4.275244,1.301784,14.475288,21.579807,23.087555,23.364799,24.646553,24.340643,0.735804,1.100535,1.177255,1.191817,1.257149,1.241438,16.911552,19.695240,18.764032,19.320951,21.869844,20.608316,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.07383192,2.50482655,3.08240342,2.88335943,3.15920424,2.68779182,3.13111520,2.37068820,2.13437533,1.92332160,2.02514434,1.40019751,2.79068515e-02,1.80366300e-02,2.85706334e-02,2.95924600e-02,2.90432107e-02,3.04555129e-02,3.17426622e-02
6000,4.220511,1.289299,14.428768,21.742735,23.370590,23.656364,25.033136,24.709703,0.733017,1.108729,1.191583,1.206651,1.276833,1.260208,16.667864,19.680258,18.698816,19.299332,22.000978,20.692221,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.07870638,2.52788138,3.13496494,2.92278218,3.16066694,2.66545224,3.43635726,2.63678861,2.32945681,2.09877205,2.22622156,1.48285210,3.02097683e-02,1.90949049e-02,3.09023522e-02,3.20998691e-02,3.14858407e-02,3.30837816e-02,3.45918611e-02
6500,4.193015,1.281099,14.366223,21.929337,23.623005,23.927221,25.387682,25.052525,0.729606,1.118121,1.204348,1.220441,1.294883,1.277649,16.459965,19.670774,18.638910,19.283909,22.119684,20.777218,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.07508731,2.57155228,3.15997148,2.95583010,3.15372968,2.63861442,3.65932465,2.88922668,2.52697349,2.27866077,2.43731737,1.56437898,3.22793595e-02,1.99650321e-02,3.30158100e-02,3.43669355e-02,3.36855873e-02,3.54529656e-02,3.71898264e-02
7000,4.154308,1.273478,14.309929,22.114929,23.855595,24.184742,25.721334,25.372437,0.726586,1.127462,1.216106,1.233540,1.311863,1.293921,16.271769,19.666586,18.591761,19.269787,22.228155,20.854710,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.06831849,2.62183356,3.17889905,2.98661733,3.14805484,2.60716009,3.81959987,3.13728976,2.71636057,2.45767808,2.64939690,1.65253246,3.41256593e-02,2.07095053e-02,3.49114165e-02,3.63889597e-02,3.56472060e-02,3.75871696e-02,3.95096987e-02
7500,4.129993,1.266232,14.276528,22.274397,24.075909,24.429909,26.034512,25.685993,0.724797,1.135480,1.227237,1.246013,1.327815,1.309861,16.109715,19.662092,18.550795,19.265818,22.329540,20.933914,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.06322956,2.64856076,3.19369698,3.02379775,3.14585948,2.58577466,3.92541575,3.36113787,2.90374923,2.63425469,2.86814284,1.73487270,3.57543472e-02,2.13606171e-02,3.65538076e-02,3.81632112e-02,3.73743996e-02,3.94577384e-02,4.16163094e-02
8000,4.099478,1.260841,14.230165,22.421839,24.278278,24.662285,26.331528,25.973822,0.722325,1.142892,1.237464,1.257843,1.342945,1.324503,15.966552,19.663359,18.514143,19.257736,22.418444,21.005024,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.05454218,2.67325878,3.20769072,3.06214738,3.15377402,2.56189466,4.01606035,3.56186390,3.06984711,2.81385374,3.08151412,1.81641114,3.71803222e-02,2.19363924e-02,3.79756242e-02,3.97047698e-02,3.88862193e-02,4.11146097e-02,4.34643179e-02
8500,4.073355,1.254454,14.193290,22.574791,24.474310,24.884062,26.612160,26.243267,0.720352,1.150582,1.247379,1.269116,1.357233,1.338208,15.851980,19.660648,18.480680,19.258368,22.496305,21.075178,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.04843068,2.70589995,3.23492646,3.11101604,3.17163062,2.54016209,4.09658909,3.73273110,3.22160721,2.98574638,3.28461456,1.89692628,3.84082689e-02,2.23929808e-02,3.91800925e-02,4.10464145e-02,4.01957855e-02,4.25489955e-02,4.50853445e-02
9000,4.067931,1.249714,14.143264,22.697094,24.650578,25.084753,26.873457,26.495770,0.717806,1.156725,1.256281,1.279329,1.370545,1.351058,15.761484,19.660347,18.461205,19.262419,22.566622,21.136917,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.04153872,2.72493720,3.26414776,3.15222621,3.19253564,2.52060580,4.15459061,3.87788010,3.35679340,3.15004706,3.48423839,1.97690856,3.94576701e-02,2.27781422e-02,4.01952453e-02,4.21743020e-02,4.13096361e-02,4.37891483e-02,4.64995466e-02
9500,4.031131,1.244111,14.136151,22.807896,24.809820,25.272297,27.114042,26.726336,0.717388,1.162291,1.264328,1.288870,1.382800,1.362784,15.678403,19.660381,18.445875,19.262245,22.632935,21.196911,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.04050100,2.74375916,3.28429580,3.19566679,3.21482277,2.50296950,4.19698668,4.00686359,3.47876382,3.29995728,3.65538883,2.05198383,4.03338745e-02,2.30979919e-02,4.10234407e-02,4.31089140e-02,4.22341973e-02,4.48387861e-02,4.76999171e-02
10000,4.019284,1.239889,14.085750,22.901621,24.942671,25.441246,27.328421,26.937653,0.714850,1.166991,1.271042,1.297467,1.393712,1.373536,15.624829,19.661688,18.433317,19.272348,22.695156,21.249054,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.03300619,2.75855923,3.29082608,3.23774290,3.22608876,2.48547387,4.24911356,4.10668850,3.59386015,3.44716263,3.83371115,2.12556934,4.10620995e-02,2.33591069e-02,4.17105630e-02,4.38659862e-02,4.30084728e-02,4.57070842e-02,4.87213843e-02
