step,train_loss,qreg_loss,lambda,val_loss,val_loss_snapped
0,6.590024,0.362916,0.000000,6.668892,6.851435
1000,2.319172,0.412470,0.000000,2.275532,2.328570
2000,2.093434,0.462348,0.000000,2.084141,2.099121
3000,2.021751,0.481827,0.000000,2.012657,2.016698
4000,1.974502,0.490893,0.000000,1.959042,1.961524
5000,1.925323,0.495793,0.000000,1.936437,1.936977
6000,1.895393,0.498039,0.000000,1.885053,1.886097
7000,1.864602,0.498996,0.000000,1.865842,1.865839
8000,1.841253,0.499532,0.000000,1.838377,1.839468
9000,1.815862,0.499733,0.000000,1.821521,1.821196
10000,1.805099,0.499917,0.000000,1.795990,1.796594
11000,1.784253,0.496733,0.000250,1.781910,1.781913
12000,1.775259,0.494025,0.000500,1.771171,1.771518
13000,1.752604,0.492631,0.000750,1.756170,1.756852
14000,1.760691,0.490528,0.001000,1.741776,1.742076
15000,1.725306,0.488570,0.001250,1.731223,1.730745
16000,1.722681,0.487042,0.001500,1.719094,1.718891
17000,1.713700,0.484307,0.001750,1.711028,1.711523
18000,1.702950,0.481781,0.002000,1.702001,1.702763
19000,1.692536,0.479359,0.002250,1.695346,1.695189
20000,1.693550,0.476236,0.002500,1.686021,1.686173
21000,1.672722,0.473423,0.002750,1.680716,1.680464
22000,1.672653,0.469694,0.003000,1.674975,1.675583
23000,1.665665,0.466155,0.003250,1.667645,1.668690
24000,1.674246,0.463528,0.003500,1.663029,1.662765
25000,1.660562,0.458785,0.003750,1.654464,1.654520
26000,1.647540,0.453725,0.004000,1.650482,1.650922
27000,1.645964,0.449990,0.004250,1.647396,1.646834
28000,1.645060,0.444842,0.004500,1.639940,1.640389
29000,1.641976,0.439790,0.004750,1.639641,1.638541
30000,1.636117,0.434114,0.005000,1.632875,1.632729
31000,1.628468,0.427769,0.005250,1.630128,1.629859
32000,1.620192,0.420281,0.005500,1.624796,1.623960
33000,1.615671,0.412622,0.005750,1.622966,1.623279
34000,1.615615,0.403725,0.006000,1.617390,1.617684
35000,1.612880,0.394409,0.006250,1.615646,1.613958
36000,1.619166,0.386510,0.006500,1.611444,1.610502
37000,1.609446,0.375192,0.006750,1.610039,1.609516
38000,1.610361,0.364680,0.007000,1.604523,1.604042
39000,1.602598,0.351815,0.007250,1.603927,1.602069
40000,1.603219,0.339590,0.007500,1.599591,1.598992
41000,1.597597,0.325040,0.007750,1.597991,1.596902
42000,1.596002,0.312784,0.008000,1.596417,1.594456
43000,1.595457,0.298749,0.008250,1.593099,1.593694
44000,1.594624,0.284149,0.008500,1.592374,1.592186
45000,1.592861,0.273187,0.008750,1.591556,1.590690
46000,1.588939,0.259112,0.009000,1.589335,1.588449
47000,1.594521,0.249583,0.009250,1.589122,1.587874
48000,1.584098,0.239456,0.009500,1.586368,1.586580
49000,1.584283,0.234082,0.009750,1.586993,1.585336
