step,train_loss,val_bpb,ln2_norm_L0,ln2_norm_L1,ln2_norm_L2,ln2_norm_L3,ln2_norm_L4,ln2_norm_L5,ln2_mean_L0,ln2_mean_L1,ln2_mean_L2,ln2_mean_L3,ln2_mean_L4,ln2_mean_L5,ln1_norm_L0,ln1_norm_L1,ln1_norm_L2,ln1_norm_L3,ln1_norm_L4,ln1_norm_L5
15000,3.865583,1.197325,19.634348,19.589077,19.618071,19.593277,19.563734,19.120764,1.001754,0.999118,1.000462,0.999268,0.997810,0.974780,11.040398,16.789639,20.762239,19.692541,19.214693,22.706270
15500,3.851286,1.194697,19.636387,19.585703,19.617464,19.593117,19.559555,19.098366,1.001840,0.998925,1.000409,0.999235,0.997564,0.973592,10.890932,16.708637,20.772060,19.674606,19.204109,22.765455
16000,3.841513,1.192137,19.637007,19.583681,19.617855,19.591364,19.556990,19.075752,1.001861,0.998797,1.000404,0.999115,0.997414,0.972390,10.753535,16.633583,20.777786,19.651861,19.191366,22.825291
16500,3.832173,1.190179,19.638584,19.582201,19.617905,19.590933,19.554392,19.054405,1.001944,0.998699,1.000390,0.999063,0.997265,0.971244,10.625326,16.561642,20.785961,19.626635,19.182522,22.881248
17000,3.819330,1.188798,19.639606,19.579983,19.617674,19.589916,19.552076,19.036325,1.001985,0.998566,1.000367,0.998985,0.997121,0.970278,10.503797,16.493206,20.796257,19.613386,19.168718,22.934887
17500,3.800473,1.186975,19.641083,19.577362,19.616381,19.589293,19.549393,19.015669,1.002058,0.998412,1.000271,0.998935,0.996955,0.969179,10.389228,16.427813,20.810322,19.604036,19.168289,22.986635
18000,3.793968,1.185196,19.642862,19.574656,19.617115,19.588594,19.546650,18.996891,1.002140,0.998253,1.000281,0.998879,0.996789,0.968181,10.283772,16.368826,20.821278,19.592182,19.164257,23.040022
18500,3.786018,1.184014,19.643890,19.573635,19.617910,19.588522,19.543844,18.977491,1.002188,0.998189,1.000309,0.998857,0.996622,0.967138,10.183004,16.310606,20.838957,19.581594,19.166222,23.095491
19000,3.778233,1.181903,19.645599,19.571409,19.616524,19.587112,19.541683,18.958065,1.002268,0.998051,1.000203,0.998761,0.996503,0.966097,10.088412,16.258476,20.852364,19.576342,19.164427,23.147310
19500,3.781948,1.180195,19.646832,19.570662,19.616409,19.585665,19.540628,18.941116,1.002329,0.998006,1.000183,0.998665,0.996428,0.965195,10.012938,16.209282,20.869236,19.578356,19.166872,23.197231
20000,3.768834,1.178425,19.648161,19.568554,19.616058,19.584793,19.537554,18.923656,1.002398,0.997885,1.000139,0.998599,0.996247,0.964254,9.925808,16.162720,20.886997,19.567623,19.174559,23.245199
20500,3.763395,1.176951,19.649445,19.567537,19.616390,19.583899,19.533848,18.906069,1.002457,0.997820,1.000143,0.998541,0.996034,0.963317,9.858870,16.116339,20.905828,19.567007,19.184027,23.300953
21000,3.770619,1.175243,19.650978,19.564859,19.615803,19.582354,19.531580,18.891212,1.002528,0.997669,1.000093,0.998438,0.995895,0.962517,9.791598,16.073538,20.926771,19.570316,19.193913,23.353672
21500,3.742242,1.173996,19.651243,19.564682,19.616209,19.581699,19.528625,18.874645,1.002534,0.997636,1.000093,0.998381,0.995734,0.961629,9.725220,16.033918,20.942617,19.569973,19.200010,23.404028
22000,3.746172,1.172895,19.652882,19.563004,19.616550,19.581865,19.527956,18.860235,1.002617,0.997534,1.000098,0.998371,0.995690,0.960859,9.668484,15.997437,20.967054,19.574158,19.210426,23.453869
22500,3.731025,1.172303,19.653141,19.560978,19.615837,19.580105,19.525621,18.844757,1.002623,0.997421,1.000047,0.998260,0.995551,0.960031,9.619728,15.961483,20.992416,19.583630,19.228085,23.504082
23000,3.723678,1.170875,19.653820,19.560337,19.615057,19.578930,19.522823,18.830961,1.002661,0.997375,0.999983,0.998175,0.995377,0.959298,9.566043,15.931123,21.014732,19.587002,19.240026,23.555384
23500,3.711215,1.169408,19.654465,19.559071,19.615641,19.578470,19.520870,18.818281,1.002689,0.997301,1.000006,0.998157,0.995254,0.958612,9.525307,15.906183,21.038919,19.601923,19.255041,23.605629
24000,3.700698,1.168283,19.655754,19.557163,19.615082,19.578081,19.519360,18.805628,1.002752,0.997180,0.999954,0.998115,0.995167,0.957935,9.486442,15.878284,21.062719,19.609579,19.269470,23.656528
24500,3.709144,1.166689,19.656954,19.556154,19.615349,19.576826,19.518150,18.793736,1.002809,0.997124,0.999960,0.998029,0.995091,0.957296,9.447284,15.856635,21.087044,19.627014,19.288561,23.698837
25000,3.686539,1.165927,19.658178,19.554506,19.613461,19.575752,19.516388,18.780739,1.002867,0.997035,0.999846,0.997962,0.994985,0.956598,9.415930,15.834314,21.116383,19.634901,19.308325,23.750376
25500,3.685795,1.164643,19.658951,19.554199,19.612673,19.574913,19.514624,18.771214,1.002903,0.997007,0.999792,0.997904,0.994884,0.956080,9.390014,15.812800,21.142712,19.648548,19.331907,23.795378
26000,3.702228,1.163923,19.659843,19.553274,19.612879,19.574080,19.512926,18.761147,1.002952,0.996957,0.999792,0.997849,0.994771,0.955540,9.361418,15.793509,21.169243,19.665083,19.352547,23.841982
26500,3.670814,1.162476,19.660440,19.552666,19.612715,19.572865,19.511459,18.751173,1.002970,0.996913,0.999770,0.997765,0.994685,0.955004,9.339188,15.778349,21.192940,19.682087,19.370682,23.888893
27000,3.664777,1.161308,19.660563,19.550737,19.612726,19.573145,19.510475,18.741982,1.002979,0.996798,0.999766,0.997770,0.994622,0.954509,9.321511,15.762861,21.219400,19.694878,19.394081,23.933971
27500,3.676477,1.160504,19.660631,19.549904,19.612490,19.572229,19.509546,18.731148,1.002980,0.996749,0.999743,0.997716,0.994566,0.953926,9.304991,15.746269,21.250080,19.713486,19.416132,23.981922
28000,3.656275,1.160144,19.660704,19.549234,19.612429,19.571573,19.507471,18.723856,1.002979,0.996711,0.999724,0.997671,0.994442,0.953539,9.287732,15.734164,21.275576,19.733046,19.439413,24.026608
28500,3.644361,1.158876,19.661032,19.549294,19.612843,19.571329,19.505545,18.713947,1.002997,0.996702,0.999742,0.997649,0.994321,0.953005,9.277173,15.725579,21.303656,19.753229,19.460508,24.072136
