step,L0.qkv_lut.T_soft,L0.qkv_lut.T_sel,L0.v_lut.T_soft,L0.v_lut.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L0.residual_lut.T_soft,L0.residual_lut.T_sel,L1.qkv_lut.T_soft,L1.qkv_lut.T_sel,L1.v_lut.T_soft,L1.v_lut.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L1.residual_lut.T_soft,L1.residual_lut.T_sel,L2.qkv_lut.T_soft,L2.qkv_lut.T_sel,L2.v_lut.T_soft,L2.v_lut.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L2.residual_lut.T_soft,L2.residual_lut.T_sel,L3.qkv_lut.T_soft,L3.qkv_lut.T_sel,L3.v_lut.T_soft,L3.v_lut.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L3.residual_lut.T_soft,L3.residual_lut.T_sel,L4.qkv_lut.T_soft,L4.qkv_lut.T_sel,L4.v_lut.T_soft,L4.v_lut.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L4.residual_lut.T_soft,L4.residual_lut.T_sel,L5.qkv_lut.T_soft,L5.qkv_lut.T_sel,L5.v_lut.T_soft,L5.v_lut.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel,L5.residual_lut.T_soft,L5.residual_lut.T_sel
2000,0.436838,0.435830,0.325876,0.326132,0.433660,0.330892,0.404179,0.364599,0.734071,0.508503,0.598560,0.404306,0.457811,0.355140,0.478964,0.394619,0.723684,0.526113,0.513009,0.413974,0.430327,0.349507,0.549550,0.456535,0.522444,0.498359,0.489893,0.488431,0.510650,0.456534,0.660348,0.646710,0.583823,0.575111,0.629119,0.624917,0.600996,0.527539,0.753550,0.742145,0.594531,0.582285,0.614253,0.605975,0.579141,0.509579,0.754480,0.752558
2200,0.424403,0.423255,0.309423,0.309673,0.454376,0.320264,0.403467,0.352622,0.763384,0.503684,0.624146,0.399747,0.475674,0.346681,0.485921,0.385480,0.751972,0.520458,0.526940,0.408301,0.441547,0.339153,0.553829,0.448827,0.525160,0.496870,0.487036,0.485523,0.510229,0.448921,0.666129,0.648292,0.591598,0.580647,0.642310,0.635067,0.615059,0.529567,0.790965,0.772504,0.604464,0.588534,0.629511,0.616771,0.589637,0.506590,0.790591,0.785262
2400,0.411461,0.410201,0.294059,0.294278,0.474827,0.311996,0.404938,0.341789,0.789333,0.497885,0.650185,0.395260,0.495303,0.338470,0.495147,0.376792,0.779301,0.513288,0.540776,0.403154,0.453692,0.330017,0.557586,0.440977,0.528174,0.495817,0.483835,0.482412,0.509551,0.440457,0.670583,0.647268,0.598962,0.585792,0.657550,0.646726,0.625015,0.529725,0.827738,0.798766,0.612799,0.591448,0.643889,0.625883,0.599943,0.505930,0.825380,0.811764
2600,0.399068,0.397519,0.280178,0.280362,0.497452,0.305703,0.408788,0.332217,0.815470,0.491787,0.675613,0.390008,0.515297,0.332549,0.506461,0.369676,0.804903,0.505585,0.556314,0.398879,0.467798,0.322874,0.562186,0.432835,0.530898,0.494297,0.481266,0.479386,0.510665,0.434538,0.675536,0.647404,0.605043,0.591304,0.673980,0.661092,0.636554,0.531728,0.864802,0.822712,0.621185,0.593920,0.656604,0.632188,0.609869,0.503400,0.863526,0.836287
2800,0.388186,0.386515,0.267179,0.267328,0.520902,0.301766,0.415171,0.323665,0.840894,0.485061,0.700235,0.384379,0.536569,0.327048,0.517756,0.363094,0.828684,0.497507,0.570107,0.394217,0.484009,0.316072,0.566525,0.425309,0.533024,0.491874,0.478102,0.475881,0.510603,0.426919,0.678450,0.644834,0.612183,0.597375,0.688333,0.670664,0.648700,0.532278,0.902483,0.843982,0.632131,0.597557,0.666879,0.636218,0.621506,0.501824,0.901559,0.858233
3000,0.377798,0.375939,0.255211,0.255311,0.543296,0.296719,0.420897,0.316158,0.863149,0.477673,0.724031,0.379360,0.556857,0.322800,0.528702,0.357801,0.852483,0.489882,0.584415,0.390311,0.499330,0.310649,0.570905,0.418942,0.535544,0.489931,0.475238,0.472611,0.512748,0.420593,0.679726,0.641228,0.618068,0.601478,0.701639,0.680921,0.656093,0.531655,0.938151,0.861889,0.641597,0.598785,0.678303,0.640988,0.630691,0.500229,0.935471,0.873020
3200,0.368627,0.366624,0.244215,0.244279,0.565757,0.291889,0.429434,0.309169,0.881124,0.468168,0.747176,0.374240,0.578659,0.317401,0.542093,0.352014,0.873314,0.481827,0.599855,0.387199,0.515768,0.305852,0.574684,0.411504,0.537036,0.487240,0.472339,0.469170,0.515717,0.414605,0.679796,0.636411,0.627144,0.609290,0.715856,0.691773,0.665016,0.530544,0.976029,0.882475,0.647342,0.599560,0.688115,0.644308,0.640296,0.496983,0.968607,0.888484
3400,0.359011,0.356848,0.234114,0.234140,0.587665,0.286375,0.438426,0.303170,0.902292,0.460804,0.768370,0.368097,0.599666,0.312706,0.556095,0.347230,0.895094,0.474362,0.615003,0.383709,0.530956,0.301573,0.578458,0.404717,0.539051,0.484990,0.469330,0.465735,0.519425,0.409657,0.679729,0.631422,0.635864,0.616529,0.726885,0.700578,0.673452,0.528460,1.014601,0.902801,0.652112,0.597987,0.697703,0.647252,0.649678,0.493602,0.999956,0.901324
3600,0.350490,0.348104,0.225077,0.225057,0.610000,0.282727,0.447925,0.297832,0.919168,0.453050,0.790490,0.362415,0.620511,0.308509,0.569404,0.343398,0.914163,0.467409,0.629197,0.380671,0.547165,0.297950,0.582913,0.398585,0.541354,0.482976,0.466851,0.462905,0.523902,0.404721,0.677904,0.625451,0.640792,0.621090,0.736659,0.707460,0.680877,0.527084,1.050050,0.920766,0.657901,0.598955,0.706004,0.648982,0.658409,0.490151,1.027504,0.911381
3800,0.342155,0.339678,0.216718,0.216658,0.631269,0.277852,0.457083,0.292925,0.935791,0.446246,0.809559,0.356467,0.640933,0.303992,0.582788,0.340301,0.931605,0.461232,0.642136,0.376610,0.562113,0.293128,0.586652,0.392424,0.544090,0.481629,0.464279,0.460153,0.527883,0.399979,0.677037,0.620522,0.646252,0.625802,0.745356,0.714545,0.688859,0.526764,1.081363,0.936185,0.664485,0.599558,0.711294,0.649111,0.667111,0.486706,1.051801,0.919408
