step,train_loss,val_bpb,ln2_norm_L0,ln2_norm_L1,ln2_norm_L2,ln2_norm_L3,ln2_norm_L4,ln2_norm_L5,ln2_mean_L0,ln2_mean_L1,ln2_mean_L2,ln2_mean_L3,ln2_mean_L4,ln2_mean_L5,ln1_norm_L0,ln1_norm_L1,ln1_norm_L2,ln1_norm_L3,ln1_norm_L4,ln1_norm_L5,lut_tv,lut_tv_L0,lut_tv_L1,lut_tv_L2,lut_tv_L3,lut_tv_L4,lut_tv_L5
500,7.043828,2.007103,19.763931,19.623922,19.627413,19.628054,19.628450,19.629826,1.008572,1.001428,1.001606,1.001639,1.001659,1.001729,19.705444,19.676477,19.667534,19.665682,19.666122,19.652739,1.89647782e-04,4.82777221e-04,1.49782412e-04,1.28985645e-04,1.26165949e-04,1.29760709e-04,1.20414756e-04
1000,5.882403,1.758263,19.878744,19.668407,19.677750,19.690207,19.700165,19.693481,1.014428,1.003695,1.004170,1.004805,1.005313,1.004973,19.596485,19.709805,19.694590,19.712751,19.744240,19.722366,1.03986735e-03,1.34754519e-03,9.63589118e-04,9.01526946e-04,9.99180600e-04,1.03198108e-03,9.95381153e-04
1500,5.357656,1.611965,19.943533,19.744299,19.767479,19.787420,19.797413,19.760719,1.017729,1.007559,1.008736,1.009753,1.010262,1.008395,19.305250,19.716145,19.648094,19.669535,19.783485,19.793753,3.34675401e-03,3.30144726e-03,3.16939130e-03,3.17811756e-03,3.45704635e-03,3.52885039e-03,3.44567117e-03
2000,5.009370,1.516961,19.882833,19.793350,19.820864,19.812336,19.811682,19.771873,1.014624,1.010045,1.011441,1.011005,1.010971,1.008953,18.861965,19.720770,19.531977,19.567238,19.870790,19.906141,7.02996963e-03,6.22310862e-03,6.84916694e-03,6.97232597e-03,7.38788303e-03,7.46289594e-03,7.28443731e-03
2500,4.778870,1.451831,19.743364,19.785769,19.805933,19.765411,19.765648,19.742695,1.007500,1.009641,1.010661,1.008593,1.008600,1.007445,18.370899,19.702543,19.416229,19.450220,20.175396,20.068930,1.07212989e-02,8.98377877e-03,1.06272744e-02,1.08676776e-02,1.13046346e-02,1.14067439e-02,1.11376839e-02
3000,4.583101,1.393056,19.552011,19.745087,19.756845,19.693409,19.692553,19.691933,0.997728,1.007542,1.008133,1.004903,1.004850,1.004830,17.867046,19.666323,19.279797,19.337332,20.615505,20.217516,1.42708888e-02,1.14565585e-02,1.43180024e-02,1.46668274e-02,1.50293047e-02,1.52234090e-02,1.49312308e-02
3500,4.446312,1.355897,19.320478,19.699112,19.705114,19.625732,19.615633,19.629738,0.985905,1.005178,1.005472,1.001429,1.000906,1.001624,17.391909,19.637375,19.138214,19.235413,20.903479,20.365759,1.76939621e-02,1.36390412e-02,1.79021470e-02,1.83802396e-02,1.86354406e-02,1.89324096e-02,1.86744947e-02
4000,4.366459,1.330182,19.061914,19.652748,19.652163,19.564276,19.539869,19.563768,0.972704,1.002794,1.002745,0.998278,0.997021,0.998224,16.947460,19.610899,19.015085,19.146547,21.118635,20.516464,2.09473392e-02,1.55465202e-02,2.13556029e-02,2.19488479e-02,2.20768675e-02,2.24628821e-02,2.22933143e-02
4500,4.290896,1.309976,18.778776,19.609316,19.604443,19.507973,19.471848,19.495110,0.958246,1.000561,1.000291,0.995389,0.993531,0.994673,16.544813,19.587358,18.904249,19.079517,21.283489,20.665087,2.39948134e-02,1.71659142e-02,2.46322919e-02,2.53321528e-02,2.53049228e-02,2.57823337e-02,2.57512648e-02
5000,4.243469,1.294155,18.502249,19.568676,19.558746,19.459091,19.408588,19.430771,0.944120,0.998466,0.997944,0.992881,0.990286,0.991346,16.178576,19.569704,18.817142,19.022350,21.428442,20.812559,2.68295516e-02,1.85527280e-02,2.77338699e-02,2.85264496e-02,2.83034053e-02,2.88667660e-02,2.89940909e-02
5500,4.207852,1.279229,18.232559,19.530720,19.517048,19.413919,19.352259,19.369190,0.930345,0.996514,0.995800,0.990558,0.987398,0.988157,15.864160,19.552553,18.740053,18.977409,21.548529,20.959661,2.94191819e-02,1.97106078e-02,3.05975918e-02,3.14640477e-02,3.10508665e-02,3.16994637e-02,3.19925137e-02
6000,4.150025,1.268073,17.976240,19.498562,19.481153,19.376238,19.302155,19.311045,0.917249,0.994854,0.993946,0.988625,0.984826,0.985145,15.578767,19.537722,18.677256,18.941799,21.658491,21.099108,3.17782977e-02,2.06602588e-02,3.32563594e-02,3.41895334e-02,3.35550532e-02,3.42755169e-02,3.47330645e-02
6500,4.118514,1.258725,17.749262,19.470442,19.445616,19.340176,19.256197,19.257191,0.905647,0.993405,0.992117,0.986772,0.982467,0.982355,15.339077,19.528513,18.637381,18.921183,21.759268,21.234098,3.38867046e-02,2.14336663e-02,3.56814750e-02,3.66367660e-02,3.57957296e-02,3.65729481e-02,3.71996425e-02
7000,4.076196,1.249662,17.546890,19.445963,19.415907,19.309696,19.218216,19.208818,0.895298,0.992139,0.990586,0.985207,0.980515,0.979841,15.137022,19.523291,18.608795,18.903788,21.847761,21.360371,3.57553549e-02,2.20318995e-02,3.78484949e-02,3.88344228e-02,3.77838425e-02,3.86208072e-02,3.94126624e-02
7500,4.047850,1.241175,17.374582,19.422556,19.390568,19.283695,19.183954,19.164000,0.886484,0.990934,0.989280,0.983869,0.978758,0.977512,14.966795,19.516163,18.598824,18.894535,21.926130,21.486412,3.73932160e-02,2.24939287e-02,3.97705995e-02,4.07733172e-02,3.95345464e-02,4.04163525e-02,4.13705520e-02
8000,4.012562,1.234303,17.233204,19.404167,19.367853,19.261627,19.153505,19.124662,0.879249,0.989985,0.988113,0.982736,0.977193,0.975465,14.827744,19.511042,18.595564,18.892750,22.000866,21.601158,3.88262291e-02,2.28363313e-02,4.14901599e-02,4.25013974e-02,4.10706475e-02,4.19708751e-02,4.30879630e-02
8500,3.982944,1.227656,17.117321,19.388739,19.350380,19.242208,19.129572,19.090769,0.873315,0.989184,0.987211,0.981739,0.975961,0.973702,14.716160,19.508545,18.596085,18.893646,22.062809,21.709824,4.00543883e-02,2.30738036e-02,4.29859310e-02,4.39933464e-02,4.23761643e-02,4.33220193e-02,4.45750654e-02
9000,3.974057,1.221600,17.022541,19.375780,19.335476,19.226944,19.108400,19.063263,0.868459,0.988512,0.986440,0.980954,0.974876,0.972272,14.631218,19.506729,18.601391,18.899427,22.120050,21.806814,4.11005216e-02,2.32213084e-02,4.42671701e-02,4.52807955e-02,4.35055047e-02,4.44652177e-02,4.58631329e-02
9500,3.935141,1.215889,16.949541,19.366465,19.322422,19.211590,19.091429,19.035883,0.864715,0.988033,0.985770,0.980166,0.974001,0.970845,14.564719,19.503862,18.610481,18.907913,22.177673,21.902281,4.19739358e-02,2.33019907e-02,4.53615189e-02,4.63741831e-02,4.44354266e-02,4.54263613e-02,4.69441339e-02
10000,3.920179,1.211139,16.895885,19.359854,19.312412,19.200537,19.077223,19.013794,0.861963,0.987691,0.985255,0.979599,0.973272,0.969693,14.515128,19.501076,18.617371,18.918526,22.227844,21.987608,4.26942147e-02,2.33299956e-02,4.62847948e-02,4.72839400e-02,4.52069044e-02,4.62158360e-02,4.78438176e-02
10500,3.928884,1.206221,16.858627,19.353266,19.302883,19.190289,19.064026,18.995380,0.860047,0.987349,0.984764,0.979072,0.972595,0.968737,14.483242,19.499718,18.625561,18.930506,22.273809,22.065235,4.32790897e-02,2.33248696e-02,4.70506363e-02,4.80367243e-02,4.58269529e-02,4.68482487e-02,4.85871062e-02
11000,3.871919,1.202123,16.835405,19.349466,19.296606,19.183310,19.053095,18.977650,0.858850,0.987149,0.984438,0.978715,0.972031,0.967814,14.460177,19.498892,18.636660,18.944118,22.318502,22.132990,4.37440189e-02,2.32847147e-02,4.76854667e-02,4.86538224e-02,4.63287458e-02,4.73411120e-02,4.91702519e-02
