step,layer,train_mse,val_mse,val_rel_err,val_fvu,elapsed_s
0,0,nan,8.235860e-02,1.011612,1.135186,0.0
0,1,nan,4.315220e-02,1.021489,1.160516,0.0
0,2,nan,3.432357e-02,1.019936,1.228702,0.0
0,3,nan,5.558577e-02,1.016871,1.092584,0.0
0,4,nan,9.446611e-02,1.009669,1.090125,0.0
0,5,nan,5.131004e-01,1.003766,1.084762,0.0
500,0,5.476388e-03,5.127140e-03,0.062977,0.070670,127.4
500,1,7.105677e-03,7.119860e-03,0.168540,0.191478,127.4
500,2,1.035607e-02,1.039074e-02,0.308764,0.371964,127.4
500,3,1.702936e-02,1.695931e-02,0.310249,0.333349,127.4
500,4,2.625015e-02,2.606949e-02,0.278635,0.300838,127.4
500,5,8.280695e-02,8.166106e-02,0.159751,0.172642,127.4
1000,0,2.295119e-03,2.122664e-03,0.026073,0.029258,252.1
1000,1,5.716578e-03,5.722499e-03,0.135462,0.153898,252.1
1000,2,8.736541e-03,8.694258e-03,0.258353,0.311234,252.1
1000,3,1.488676e-02,1.473811e-02,0.269615,0.289690,252.1
1000,4,2.288751e-02,2.243216e-02,0.239758,0.258864,252.1
1000,5,5.777962e-02,5.622753e-02,0.109997,0.118872,252.1
1500,0,1.885675e-03,1.832142e-03,0.022504,0.025253,376.7
1500,1,5.347386e-03,5.424987e-03,0.128419,0.145897,376.7
1500,2,8.250005e-03,8.345779e-03,0.247998,0.298759,376.7
1500,3,1.445494e-02,1.439379e-02,0.263316,0.282922,376.7
1500,4,2.190114e-02,2.190890e-02,0.234166,0.252826,376.7
1500,5,5.383335e-02,5.332164e-02,0.104312,0.112729,376.7
2000,0,1.812663e-03,1.728618e-03,0.021233,0.023826,501.2
2000,1,5.323709e-03,5.297473e-03,0.125401,0.142468,501.2
2000,2,8.206530e-03,8.204017e-03,0.243785,0.293684,501.2
2000,3,1.428686e-02,1.429041e-02,0.261425,0.280890,501.2
2000,4,2.174668e-02,2.176762e-02,0.232656,0.251195,501.2
2000,5,5.216198e-02,5.228098e-02,0.102276,0.110529,501.2
2500,0,1.738873e-03,1.665619e-03,0.020459,0.022958,625.8
2500,1,5.226063e-03,5.220192e-03,0.123571,0.140390,625.8
2500,2,8.106838e-03,8.128898e-03,0.241553,0.290995,625.8
2500,3,1.416962e-02,1.425119e-02,0.260708,0.280119,625.8
2500,4,2.179588e-02,2.170067e-02,0.231940,0.250423,625.8
2500,5,5.193945e-02,5.178379e-02,0.101303,0.109478,625.8
3000,0,1.836233e-03,1.626181e-03,0.019974,0.022414,750.4
3000,1,5.305322e-03,5.176330e-03,0.122533,0.139210,750.4
3000,2,8.185597e-03,8.096978e-03,0.240604,0.289852,750.4
3000,3,1.435762e-02,1.423289e-02,0.260373,0.279759,750.4
3000,4,2.182269e-02,2.170483e-02,0.231985,0.250471,750.4
3000,5,5.298214e-02,5.148996e-02,0.100729,0.108857,750.4
3500,0,1.723430e-03,1.610327e-03,0.019780,0.022196,875.0
3500,1,5.062988e-03,5.154419e-03,0.122014,0.138621,875.0
3500,2,7.954737e-03,8.079995e-03,0.240100,0.289245,875.0
3500,3,1.411240e-02,1.423492e-02,0.260410,0.279799,875.0
3500,4,2.158501e-02,2.170843e-02,0.232023,0.250512,875.0
3500,5,5.191629e-02,5.138763e-02,0.100528,0.108640,875.0
4000,0,1.649891e-03,1.598115e-03,0.019630,0.022028,999.7
4000,1,5.101511e-03,5.139150e-03,0.121653,0.138210,999.7
4000,2,8.098361e-03,8.069572e-03,0.239790,0.288871,999.7
4000,3,1.420935e-02,1.423112e-02,0.260340,0.279724,999.7
4000,4,2.201531e-02,2.170944e-02,0.232034,0.250524,999.7
4000,5,5.137916e-02,5.129665e-02,0.100350,0.108448,999.7
