step,L0.qk_lut.T_soft,L0.qk_lut.T_sel,L0.v_lut.T_soft,L0.v_lut.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L1.qk_lut.T_soft,L1.qk_lut.T_sel,L1.v_lut.T_soft,L1.v_lut.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L2.qk_lut.T_soft,L2.qk_lut.T_sel,L2.v_lut.T_soft,L2.v_lut.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L3.qk_lut.T_soft,L3.qk_lut.T_sel,L3.v_lut.T_soft,L3.v_lut.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L4.qk_lut.T_soft,L4.qk_lut.T_sel,L4.v_lut.T_soft,L4.v_lut.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L5.qk_lut.T_soft,L5.qk_lut.T_sel,L5.v_lut.T_soft,L5.v_lut.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel,final_residual_lut.T_soft,final_residual_lut.T_sel
0,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
200,0.498337,0.498417,0.497481,0.497477,0.498669,0.498509,0.501440,0.500632,0.497987,0.498020,0.501180,0.501078,0.501209,0.500565,0.499103,0.499164,0.501902,0.501874,0.500783,0.500364,0.499963,0.500007,0.501483,0.501467,0.500776,0.500392,0.499782,0.499812,0.501184,0.501152,0.500652,0.500337,0.499730,0.499757,0.500878,0.500829,0.501038,0.500032
400,0.494700,0.496893,0.487185,0.487284,0.488620,0.488381,0.512094,0.510287,0.489907,0.489652,0.493418,0.492842,0.511079,0.510038,0.495424,0.495363,0.504311,0.503131,0.509546,0.508574,0.500485,0.500260,0.508432,0.507951,0.508348,0.507453,0.502582,0.502401,0.508913,0.508717,0.508452,0.507994,0.501991,0.501127,0.508160,0.508029,0.508847,0.503223
600,0.493442,0.499355,0.470727,0.471262,0.472477,0.472087,0.529968,0.526286,0.478168,0.476748,0.480081,0.478901,0.528001,0.525135,0.487582,0.486251,0.505554,0.501787,0.524135,0.520772,0.500638,0.498023,0.520715,0.518695,0.522691,0.520252,0.504529,0.503035,0.523169,0.522176,0.524270,0.521781,0.500004,0.496449,0.517612,0.516646,0.521188,0.506133
800,0.496514,0.505550,0.450773,0.452026,0.451968,0.451224,0.554793,0.547173,0.463939,0.459390,0.461865,0.459499,0.552233,0.545135,0.477955,0.473494,0.507781,0.499889,0.546188,0.537859,0.498030,0.491508,0.538785,0.534113,0.544757,0.539547,0.505740,0.500768,0.545197,0.542687,0.548411,0.542562,0.497236,0.487896,0.530441,0.527150,0.541210,0.511544
1000,0.503638,0.514773,0.431127,0.433098,0.429880,0.428654,0.584124,0.571249,0.453152,0.442457,0.443126,0.438699,0.579711,0.566155,0.469189,0.458993,0.511961,0.497690,0.571516,0.556290,0.495030,0.482690,0.559434,0.550556,0.570958,0.560261,0.509122,0.499810,0.569514,0.564644,0.576734,0.565210,0.497228,0.478630,0.546364,0.538946,0.566813,0.519019
1200,0.509011,0.521891,0.415664,0.418041,0.410909,0.408642,0.612696,0.591475,0.454686,0.431688,0.430491,0.420882,0.607481,0.585122,0.466933,0.447979,0.519393,0.496960,0.598371,0.573276,0.493737,0.474716,0.578631,0.563695,0.597862,0.579477,0.515442,0.500730,0.597080,0.589501,0.605895,0.587226,0.501032,0.471162,0.561379,0.548874,0.593292,0.525539
1400,0.514419,0.528016,0.404950,0.406773,0.395406,0.391345,0.640912,0.609201,0.462893,0.424088,0.421920,0.404371,0.635306,0.601180,0.469812,0.438988,0.528943,0.497263,0.625935,0.589121,0.494044,0.466323,0.593965,0.571868,0.624678,0.596542,0.522143,0.500808,0.622933,0.611381,0.635542,0.606659,0.507298,0.464246,0.573724,0.555238,0.620342,0.530336
1600,0.518437,0.533151,0.397879,0.398263,0.383275,0.375515,0.666134,0.622051,0.474776,0.421009,0.423698,0.391972,0.661875,0.613274,0.475638,0.431233,0.539621,0.498190,0.653004,0.600939,0.494855,0.458799,0.606329,0.576698,0.650917,0.608766,0.530562,0.501251,0.651844,0.636268,0.665209,0.623061,0.514010,0.456952,0.584886,0.558494,0.648659,0.533433
1800,0.522940,0.538632,0.394099,0.392486,0.377788,0.362640,0.690081,0.632229,0.490517,0.421425,0.432621,0.384204,0.687486,0.622951,0.483583,0.425940,0.550654,0.499010,0.679031,0.610063,0.497609,0.450868,0.618842,0.580298,0.676698,0.618458,0.537755,0.499593,0.680234,0.659213,0.694323,0.635612,0.520165,0.449223,0.593489,0.558735,0.674996,0.533041
2000,0.526334,0.542992,0.392571,0.387692,0.376357,0.351500,0.712435,0.639858,0.507569,0.423862,0.447413,0.379922,0.710362,0.628367,0.494788,0.422043,0.562113,0.499832,0.704937,0.616423,0.499679,0.442837,0.627024,0.579890,0.699145,0.622874,0.545567,0.499090,0.706013,0.679254,0.719574,0.642258,0.529177,0.443345,0.603961,0.560234,0.697814,0.528490
2200,0.529328,0.546863,0.391596,0.384032,0.380690,0.343677,0.732440,0.644947,0.525502,0.427961,0.463571,0.378864,0.732035,0.631954,0.507002,0.418855,0.575033,0.500625,0.730752,0.620514,0.506011,0.436587,0.635080,0.579140,0.720280,0.626063,0.551757,0.496514,0.732086,0.698290,0.744429,0.646362,0.535687,0.437333,0.612904,0.559986,0.719752,0.522065
