step,train_loss,val_bpb,aux_ce,aux_top1
200,10.349476,3.154953,10.279561,0.834839
400,10.137325,3.062219,9.890808,0.967041
600,9.751684,2.920430,9.240085,0.982910
800,9.237830,2.751097,8.337126,0.989014
1000,8.704278,2.594974,7.313999,0.991821
1200,8.250187,2.472945,6.313441,0.992188
1400,7.913893,2.386415,5.336920,0.995239
1600,7.676250,2.327448,4.403635,0.997192
1800,7.521254,2.292824,3.522045,0.997925
2000,7.428999,2.276310,2.707639,0.998535
2200,7.381578,2.256386,1.996590,0.999634
2400,7.350338,2.243262,1.419270,0.999390
2600,7.297829,2.233553,0.976459,0.999756
2800,7.283587,2.228484,0.659173,0.999878
3000,7.256383,2.221284,0.451369,0.999878
3200,7.280004,2.286459,0.319627,1.000000
3400,7.486586,2.291638,0.236659,0.999878
