step,L0.qk_lut.T_soft,L0.qk_lut.T_sel,L0.v_lut.T_soft,L0.v_lut.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L1.qk_lut.T_soft,L1.qk_lut.T_sel,L1.v_lut.T_soft,L1.v_lut.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L2.qk_lut.T_soft,L2.qk_lut.T_sel,L2.v_lut.T_soft,L2.v_lut.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L3.qk_lut.T_soft,L3.qk_lut.T_sel,L3.v_lut.T_soft,L3.v_lut.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L4.qk_lut.T_soft,L4.qk_lut.T_sel,L4.v_lut.T_soft,L4.v_lut.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L5.qk_lut.T_soft,L5.qk_lut.T_sel,L5.v_lut.T_soft,L5.v_lut.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel,read_out_lut.T_soft,read_out_lut.T_sel
0,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
200,0.497513,0.497729,0.498662,0.498698,0.498067,0.497966,0.499203,0.499140,0.498845,0.498936,0.499691,0.499601,0.499885,0.499746,0.499225,0.499294,0.500463,0.500312,0.500087,0.500074,0.499700,0.499735,0.501357,0.501317,0.500109,0.500066,0.500091,0.500063,0.501158,0.501172,0.500637,0.500518,0.499548,0.499584,0.500241,0.500230,0.498942,0.498897
400,0.489595,0.491307,0.494258,0.494796,0.489638,0.489964,0.499219,0.498713,0.493284,0.493637,0.496637,0.496309,0.500185,0.499273,0.493297,0.493712,0.499924,0.499100,0.498399,0.497715,0.494335,0.494771,0.505399,0.504931,0.498232,0.498035,0.497886,0.498121,0.507854,0.507737,0.502323,0.500906,0.495399,0.495546,0.497873,0.497778,0.495864,0.495660
600,0.476080,0.480129,0.482485,0.484683,0.475012,0.476125,0.500113,0.497769,0.480575,0.481222,0.490211,0.489058,0.499218,0.496525,0.480058,0.480770,0.499133,0.496933,0.495804,0.493215,0.480925,0.481650,0.513721,0.511787,0.494165,0.493288,0.490375,0.490951,0.522652,0.521942,0.504727,0.499651,0.482689,0.482620,0.488208,0.487711,0.491782,0.490327
800,0.458874,0.465287,0.465586,0.469094,0.455941,0.457769,0.501747,0.496204,0.462390,0.463138,0.481724,0.476670,0.501489,0.494389,0.463935,0.464672,0.503059,0.495776,0.494129,0.486889,0.462999,0.463735,0.529838,0.524828,0.489751,0.486673,0.478161,0.479262,0.546246,0.544175,0.511548,0.497976,0.462493,0.461590,0.472406,0.470527,0.489585,0.483905
1000,0.443507,0.451771,0.448770,0.452894,0.438069,0.440034,0.505416,0.495304,0.442777,0.443078,0.482812,0.467370,0.506880,0.492664,0.445986,0.446634,0.517163,0.499390,0.495709,0.481416,0.444369,0.444862,0.550282,0.539656,0.485727,0.479443,0.463790,0.465468,0.575029,0.570612,0.522243,0.497940,0.441184,0.438869,0.454949,0.449835,0.492403,0.478821
1200,0.432262,0.441374,0.436242,0.439737,0.426508,0.426418,0.510716,0.494987,0.425530,0.423874,0.496789,0.464662,0.512871,0.491026,0.430387,0.430203,0.534121,0.505076,0.500182,0.477519,0.426972,0.426567,0.572173,0.554602,0.487022,0.475400,0.452375,0.454240,0.603490,0.595738,0.532368,0.497740,0.424030,0.418149,0.443073,0.431370,0.499842,0.475707
1400,0.425402,0.434299,0.426209,0.427715,0.421357,0.415703,0.515579,0.494233,0.410642,0.406779,0.517263,0.466031,0.519214,0.489586,0.416078,0.414342,0.555170,0.513583,0.506954,0.475581,0.411905,0.410193,0.596358,0.569926,0.490397,0.471570,0.442234,0.443938,0.632451,0.620317,0.543281,0.497333,0.411109,0.399031,0.436790,0.413335,0.510730,0.474001
1600,0.421522,0.429233,0.419400,0.417783,0.423105,0.407460,0.520647,0.493961,0.398705,0.391748,0.541163,0.473159,0.525766,0.487886,0.404177,0.399364,0.579006,0.523255,0.516414,0.474288,0.399404,0.395338,0.617688,0.579256,0.498755,0.469899,0.431196,0.432571,0.660708,0.643120,0.557219,0.497776,0.403833,0.381597,0.440679,0.397760,0.524863,0.473195
1800,0.418978,0.424753,0.415027,0.409169,0.429917,0.401943,0.525837,0.494142,0.390400,0.378704,0.565331,0.480456,0.534592,0.487722,0.396388,0.387332,0.604412,0.533801,0.526178,0.473500,0.390938,0.382531,0.638090,0.584786,0.510967,0.471554,0.422258,0.422679,0.690129,0.666866,0.571481,0.499083,0.405036,0.367365,0.453490,0.385687,0.538764,0.472674
