step,L0.qk_lut.T_soft,L0.qk_lut.T_sel,L0.v_lut.T_soft,L0.v_lut.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L1.qk_lut.T_soft,L1.qk_lut.T_sel,L1.v_lut.T_soft,L1.v_lut.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L2.qk_lut.T_soft,L2.qk_lut.T_sel,L2.v_lut.T_soft,L2.v_lut.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L3.qk_lut.T_soft,L3.qk_lut.T_sel,L3.v_lut.T_soft,L3.v_lut.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L4.qk_lut.T_soft,L4.qk_lut.T_sel,L4.v_lut.T_soft,L4.v_lut.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L5.qk_lut.T_soft,L5.qk_lut.T_sel,L5.v_lut.T_soft,L5.v_lut.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel
0,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
200,0.498936,0.499160,0.498339,0.498334,0.498442,0.498439,0.499011,0.498811,0.498760,0.498786,0.499355,0.499347,0.499266,0.499400,0.499139,0.499171,0.499416,0.499404,0.499341,0.499432,0.499373,0.499385,0.499683,0.499675,0.499451,0.499569,0.499373,0.499381,0.499649,0.499648,0.499587,0.499582,0.499306,0.499324,0.499629,0.499632
400,0.495370,0.496828,0.495584,0.495694,0.495101,0.495298,0.498073,0.496784,0.496660,0.496905,0.498725,0.498553,0.498305,0.497622,0.496217,0.496324,0.498556,0.498438,0.498038,0.497723,0.497184,0.497221,0.498943,0.498773,0.498089,0.497961,0.497478,0.497560,0.499214,0.499144,0.498643,0.498524,0.497635,0.497822,0.499574,0.499553
600,0.488838,0.492440,0.491641,0.492290,0.488429,0.489050,0.499839,0.494459,0.491955,0.491943,0.496857,0.496449,0.499437,0.494618,0.489059,0.488990,0.494872,0.494454,0.499645,0.495317,0.491185,0.491033,0.495261,0.494741,0.498791,0.496732,0.491622,0.491475,0.497732,0.497545,0.498497,0.497750,0.495551,0.495775,0.499401,0.499341
800,0.478741,0.484458,0.485990,0.487779,0.477764,0.478821,0.505611,0.492428,0.483314,0.482352,0.492353,0.491613,0.504033,0.491094,0.478152,0.477679,0.486159,0.485249,0.507007,0.492682,0.481411,0.480757,0.487253,0.486098,0.503368,0.495257,0.483005,0.481968,0.493630,0.493202,0.499110,0.496887,0.493932,0.493700,0.499054,0.498918
1000,0.466630,0.474256,0.478325,0.481724,0.464253,0.465678,0.515016,0.491318,0.471783,0.469095,0.485269,0.483646,0.513754,0.486984,0.465186,0.463668,0.473596,0.471875,0.519471,0.490061,0.468302,0.466590,0.474763,0.472628,0.513051,0.494683,0.471411,0.468496,0.485154,0.483974,0.501382,0.496063,0.492457,0.490813,0.498409,0.497992
1200,0.454013,0.463223,0.467998,0.473119,0.448401,0.449698,0.527353,0.490576,0.461902,0.454092,0.476941,0.472594,0.527311,0.483385,0.453255,0.448006,0.459885,0.456152,0.536360,0.488334,0.455490,0.449992,0.461163,0.456863,0.527809,0.494032,0.462312,0.452629,0.474513,0.471293,0.506195,0.495500,0.492309,0.487488,0.498010,0.496645
1400,0.440757,0.451149,0.457861,0.464282,0.430381,0.430429,0.543499,0.489646,0.461872,0.439814,0.472764,0.460126,0.545657,0.480803,0.450756,0.432123,0.448219,0.438593,0.557710,0.486656,0.455092,0.432778,0.449131,0.438778,0.546504,0.494039,0.467812,0.436731,0.463969,0.455450,0.514922,0.495250,0.495353,0.483965,0.499485,0.495273
1600,0.427768,0.438538,0.448234,0.454991,0.413716,0.409169,0.562692,0.490066,0.477374,0.429078,0.481505,0.449017,0.569070,0.479026,0.464631,0.418798,0.449706,0.420654,0.584000,0.486439,0.472915,0.417723,0.451514,0.420086,0.567670,0.494549,0.489068,0.423934,0.462747,0.439381,0.526378,0.495280,0.501489,0.481137,0.503734,0.494399
1800,0.417569,0.426725,0.441150,0.446737,0.417890,0.388469,0.583001,0.490648,0.502418,0.428463,0.504081,0.443919,0.597559,0.478536,0.488668,0.411542,0.466687,0.405022,0.613427,0.485927,0.499493,0.409760,0.469727,0.405467,0.590974,0.495271,0.516074,0.420639,0.476332,0.424169,0.541912,0.495664,0.512849,0.479634,0.512561,0.494269
