step,frac_zero,frac_pos,frac_neg,nonzero_per_hyperplane,hamming_vs_init,hamming_frac,sign_flips_vs_init,zero_to_nonzero_vs_init,nonzero_to_zero_vs_init,churn_vs_prev_eval,T_min,T_mean,T_max,b_min,b_mean,b_max,b_absmean,b_frac_nonzero,mean_nonzero_count,proj_std,score_over_temp,divisor_mean,sparsity_surrogate,penalty_value,target_nonzero_frac,sparsity_slack,hinge_active
0,0.336286,0.331856,0.331858,254.8664,0,0.00000000,0,0,0,0,0.392065,0.392065,0.392065,0.000000,0.000000,0.000000,0.000000,0.000000,254.8664,0.994321,1.9886,16.0000,0.624600,324.760078,0.083333,+0.541267,1
200,0.831373,0.084255,0.084372,64.7528,2044101,0.49508741,0,0,2044101,2044101,0.391500,0.391936,0.392224,-0.002007,0.000001,0.002101,0.000371,1.000000,64.7528,0.500981,1.0059,16.0000,0.171088,52.652834,0.083333,+0.087755,1
400,0.890592,0.054702,0.054707,42.0128,2288601,0.55430609,0,0,2288601,244500,0.390393,0.391735,0.392367,-0.005828,0.000012,0.005947,0.001101,1.000000,42.0128,0.403851,0.8195,16.0000,0.112433,17.460019,0.083333,+0.029100,1
600,0.911920,0.044061,0.044018,33.8225,2376663,0.57563496,0,0,2376663,88062,0.389284,0.391548,0.392919,-0.009307,0.000014,0.010049,0.001782,1.000000,33.8225,0.362914,0.7474,16.0000,0.091453,4.871697,0.083333,+0.008119,1
800,0.921754,0.039136,0.039110,30.0466,2417262,0.58546817,0,0,2417262,40599,0.387728,0.391578,0.394015,-0.012711,0.000010,0.013275,0.002330,1.000000,30.0466,0.342611,0.7160,16.0000,0.084187,0.512327,0.083333,+0.000854,1
1000,0.925717,0.037151,0.037132,28.5248,2433624,0.58943105,0,0,2433624,16362,0.387891,0.393416,0.397235,-0.015821,0.000000,0.015677,0.002962,1.000000,28.5248,0.333833,0.7058,16.0000,0.082786,0.318185,0.083333,-0.000547,0
1200,0.927565,0.036221,0.036214,27.8151,2441255,0.59127933,0,0,2441255,7631,0.391510,0.398755,0.403985,-0.017888,-0.000011,0.018529,0.003473,1.000000,27.8151,0.329775,0.7039,16.0000,0.082979,0.064221,0.083333,-0.000354,0
1400,0.928550,0.035732,0.035719,27.4369,2445321,0.59226412,0,0,2445321,4066,0.401260,0.408441,0.415457,-0.019422,0.000002,0.022602,0.004030,1.000000,27.4369,0.327663,0.7073,16.0000,0.082637,0.154202,0.083333,-0.000696,0
1600,0.929136,0.035440,0.035424,27.2118,2447742,0.59285051,0,0,2447742,2421,0.412507,0.421048,0.429286,-0.025993,-0.000002,0.023980,0.004710,1.000000,27.2118,0.326301,0.7091,16.0000,0.081557,0.058773,0.083333,-0.001777,0
1800,0.929512,0.035241,0.035247,27.0673,2449295,0.59322661,0,0,2449295,1553,0.424333,0.434553,0.444454,-0.028703,-0.000029,0.025167,0.005482,1.000000,27.0673,0.325385,0.7071,16.0000,0.079827,0.000000,0.083333,-0.003507,0
2000,0.929755,0.035113,0.035132,26.9741,2450298,0.59346956,0,0,2450298,1003,0.437162,0.448181,0.459966,-0.033751,-0.000070,0.030668,0.006297,1.000000,26.9741,0.324737,0.7010,16.0000,0.080849,0.012960,0.083333,-0.002484,0
2200,0.929931,0.035025,0.035044,26.9066,2451023,0.59364516,0,0,2451023,725,0.449087,0.460911,0.475879,-0.041346,-0.000094,0.033146,0.007032,1.000000,26.9066,0.324264,0.6962,16.0000,0.081116,0.035065,0.083333,-0.002217,0
2400,0.930070,0.034954,0.034976,26.8531,2451598,0.59378445,0,0,2451598,575,0.456042,0.472737,0.491388,-0.047321,-0.000103,0.041060,0.007819,1.000000,26.8531,0.323956,0.6888,16.0000,0.080703,0.000000,0.083333,-0.002630,0
2600,0.930179,0.034897,0.034924,26.8111,2452050,0.59389389,0,0,2452050,452,0.458713,0.483339,0.505120,-0.048681,-0.000105,0.039185,0.008560,1.000000,26.8111,0.323718,0.6802,16.0000,0.079832,0.000000,0.083333,-0.003501,0
2800,0.930282,0.034847,0.034870,26.7716,2452475,0.59399682,0,0,2452475,425,0.461024,0.492676,0.517789,-0.051960,-0.000154,0.044006,0.009209,1.000000,26.7716,0.323517,0.6712,16.0000,0.080753,0.000000,0.083333,-0.002580,0
3000,0.930363,0.034809,0.034828,26.7407,2452807,0.59407723,0,0,2452807,332,0.466321,0.500573,0.529626,-0.051744,-0.000170,0.046643,0.009883,1.000000,26.7407,0.323328,0.6597,16.0000,0.079695,0.021284,0.083333,-0.003638,0
3200,0.930439,0.034771,0.034790,26.7114,2453122,0.59415352,0,0,2453122,315,0.468938,0.507136,0.545874,-0.054477,-0.000167,0.047495,0.010513,1.000000,26.7114,0.323137,0.6487,16.0000,0.079392,0.000000,0.083333,-0.003942,0
