step,module,frac_flipped_vs_init,mean_max_softmax_w
200,L0.qk_lut,0.001139,0.177023
200,L0.v_lut,0.000477,0.176870
200,L0.out_proj,0.000326,0.144241
200,L0.residual_lut,0.000977,0.179985
200,L1.qk_lut,0.000163,0.176865
200,L1.v_lut,0.000260,0.175841
200,L1.out_proj,0.000488,0.144343
200,L1.residual_lut,0.001628,0.177503
200,L2.qk_lut,0.000814,0.176749
200,L2.v_lut,0.000347,0.176838
200,L2.out_proj,0.000570,0.143170
200,L2.residual_lut,0.000977,0.174977
200,L3.qk_lut,0.000732,0.177587
200,L3.v_lut,0.000347,0.177370
200,L3.out_proj,0.000163,0.144109
200,L3.residual_lut,0.001628,0.179454
200,L4.qk_lut,0.000488,0.177349
200,L4.v_lut,0.000174,0.177080
200,L4.out_proj,0.000326,0.144064
200,L4.residual_lut,0.001302,0.177020
200,L5.qk_lut,0.000326,0.176404
200,L5.v_lut,0.000260,0.177059
200,L5.out_proj,0.000163,0.143671
200,L5.residual_lut,0.000651,0.174866
400,L0.qk_lut,0.002930,0.286404
400,L0.v_lut,0.002648,0.286543
400,L0.out_proj,0.002360,0.248663
400,L0.residual_lut,0.003255,0.292180
400,L1.qk_lut,0.001628,0.286742
400,L1.v_lut,0.001910,0.284834
400,L1.out_proj,0.002441,0.248846
400,L1.residual_lut,0.002930,0.287276
400,L2.qk_lut,0.002523,0.286467
400,L2.v_lut,0.001432,0.286292
400,L2.out_proj,0.001221,0.246852
400,L2.residual_lut,0.002604,0.282679
400,L3.qk_lut,0.001628,0.287850
400,L3.v_lut,0.001910,0.287136
400,L3.out_proj,0.001628,0.248351
400,L3.residual_lut,0.003906,0.290630
400,L4.qk_lut,0.001465,0.287234
400,L4.v_lut,0.001215,0.286544
400,L4.out_proj,0.001546,0.248370
400,L4.residual_lut,0.003255,0.286092
400,L5.qk_lut,0.001628,0.285779
400,L5.v_lut,0.001345,0.286805
400,L5.out_proj,0.000977,0.247704
400,L5.residual_lut,0.001302,0.283082
600,L0.qk_lut,0.005452,0.423263
600,L0.v_lut,0.005078,0.423822
