step,train_loss,val_bpb,aux_ce,aux_top1,main_bit,aux_bit
200,10.075989,3.008500,9.149796,0.503906,0.455304,0.077886
400,9.478211,2.821902,8.145471,0.646729,0.505870,0.016772
600,9.079847,2.747481,7.213991,0.706055,0.483275,0.006619
800,8.915762,2.715035,6.240689,0.788940,0.485476,0.003231
1000,8.948606,2.744516,5.332015,0.874756,0.476390,0.002516
1200,8.999812,2.764138,4.490108,0.946655,0.478690,0.002240
