step,train_loss,qreg_loss,lambda,val_loss,val_loss_snapped
0,5.555923,0.362916,0.000000,5.556805,5.555577
1000,2.408521,0.445114,0.000000,2.358202,2.373476
2000,2.134339,0.471026,0.000000,2.119184,2.122841
3000,1.995235,0.485873,0.000000,1.986991,1.987038
4000,1.917116,0.493296,0.000000,1.919028,1.920571
5000,1.867774,0.497256,0.000000,1.860695,1.860311
6000,1.840236,0.498429,0.000000,1.840482,1.839134
7000,1.808256,0.498657,0.000000,1.800441,1.803643
8000,1.778922,0.498888,0.000000,1.771169,1.772484
9000,1.759563,0.499079,0.000000,1.751911,1.752285
10000,1.743145,0.499156,0.000000,1.735165,1.735769
11000,1.715881,0.499255,0.000000,1.716688,1.716469
12000,1.705841,0.499373,0.000000,1.708437,1.706364
13000,1.694653,0.499383,0.000000,1.692911,1.692734
14000,1.687435,0.499344,0.000000,1.680002,1.678854
15000,1.672363,0.499383,0.000000,1.674180,1.674101
16000,1.667786,0.499555,0.000000,1.664905,1.666472
17000,1.661519,0.499628,0.000000,1.654411,1.654300
18000,1.655726,0.499570,0.000000,1.653344,1.653500
19000,1.646626,0.499657,0.000000,1.644990,1.642697
20000,1.640590,0.499646,0.000000,1.641698,1.641616
21000,1.637915,0.494382,0.000125,1.636155,1.635430
22000,1.636782,0.492661,0.000250,1.631069,1.631784
23000,1.634515,0.492696,0.000375,1.623036,1.624005
24000,1.621624,0.491586,0.000500,1.623064,1.622762
25000,1.623173,0.490563,0.000625,1.620585,1.621170
26000,1.623957,0.490459,0.000750,1.619019,1.618918
27000,1.611566,0.489711,0.000875,1.611836,1.612468
28000,1.614849,0.489687,0.001000,1.611147,1.610070
29000,1.613311,0.489109,0.001125,1.610852,1.610056
30000,1.606813,0.488628,0.001250,1.608125,1.607767
31000,1.606135,0.487921,0.001375,1.603433,1.604230
32000,1.602610,0.487287,0.001500,1.601123,1.599050
33000,1.600342,0.486779,0.001625,1.596487,1.596752
34000,1.598615,0.485979,0.001750,1.594830,1.595443
35000,1.594226,0.485366,0.001875,1.595396,1.594825
36000,1.595556,0.484843,0.002000,1.593601,1.593662
37000,1.589989,0.484115,0.002125,1.590305,1.591357
38000,1.582980,0.483177,0.002250,1.586504,1.586796
39000,1.589041,0.482345,0.002375,1.584541,1.583567
40000,1.580906,0.481820,0.002500,1.583946,1.584492
41000,1.581997,0.480570,0.002625,1.584695,1.584402
42000,1.578129,0.479462,0.002750,1.578892,1.578314
43000,1.578055,0.479134,0.002875,1.577820,1.577982
44000,1.579878,0.478505,0.003000,1.578262,1.578788
45000,1.575959,0.477481,0.003125,1.573995,1.574420
46000,1.575269,0.476225,0.003250,1.573186,1.572545
47000,1.570985,0.474817,0.003375,1.571397,1.572634
48000,1.568830,0.473813,0.003500,1.565879,1.566131
49000,1.570254,0.472565,0.003625,1.565742,1.566034
50000,1.565974,0.471698,0.003750,1.565617,1.565197
51000,1.564163,0.470072,0.003875,1.562541,1.561806
52000,1.563313,0.468857,0.004000,1.561159,1.562031
53000,1.559119,0.467470,0.004125,1.558755,1.558362
54000,1.563888,0.466383,0.004250,1.558056,1.558583
55000,1.560254,0.464280,0.004375,1.556882,1.556375
56000,1.557385,0.462533,0.004500,1.553903,1.553656
57000,1.555319,0.460876,0.004625,1.554534,1.554961
58000,1.552819,0.459691,0.004750,1.551420,1.550535
59000,1.546939,0.456694,0.004875,1.547032,1.546809
60000,1.550956,0.455573,0.005000,1.547759,1.547645
61000,1.550472,0.453717,0.005125,1.548045,1.547525
62000,1.548229,0.451246,0.005250,1.545879,1.544362
63000,1.543316,0.448940,0.005375,1.542409,1.541430
64000,1.544157,0.445997,0.005500,1.540866,1.541525
65000,1.541934,0.444156,0.005625,1.539926,1.537840
66000,1.540825,0.441528,0.005750,1.537969,1.538603
67000,1.540241,0.437802,0.005875,1.535857,1.535953
68000,1.538704,0.435622,0.006000,1.536269,1.535920
69000,1.535188,0.432675,0.006125,1.532931,1.533574
70000,1.533353,0.428459,0.006250,1.532639,1.530949
71000,1.533236,0.424970,0.006375,1.529918,1.529591
72000,1.536419,0.421237,0.006500,1.530500,1.529362
73000,1.528865,0.417836,0.006625,1.527942,1.528530
74000,1.527060,0.413515,0.006750,1.527599,1.527084
75000,1.530138,0.409208,0.006875,1.527378,1.526001
76000,1.529581,0.404228,0.007000,1.523861,1.522900
77000,1.531559,0.399762,0.007125,1.522895,1.522533
78000,1.522554,0.393867,0.007250,1.522065,1.521494
79000,1.526638,0.388482,0.007375,1.521425,1.519658
80000,1.520736,0.383568,0.007500,1.519372,1.519617
81000,1.521464,0.377205,0.007625,1.519120,1.519097
82000,1.518274,0.372236,0.007750,1.516590,1.516806
83000,1.518173,0.364675,0.007875,1.515885,1.516550
84000,1.516463,0.357847,0.008000,1.516438,1.514770
85000,1.518621,0.351739,0.008125,1.515600,1.514079
