step,train_loss,val_bpb,ln2_norm_L0,ln2_norm_L1,ln2_norm_L2,ln2_norm_L3,ln2_norm_L4,ln2_norm_L5,ln2_mean_L0,ln2_mean_L1,ln2_mean_L2,ln2_mean_L3,ln2_mean_L4,ln2_mean_L5,ln1_norm_L0,ln1_norm_L1,ln1_norm_L2,ln1_norm_L3,ln1_norm_L4,ln1_norm_L5,lut_tv,lut_tv_L0,lut_tv_L1,lut_tv_L2,lut_tv_L3,lut_tv_L4,lut_tv_L5
9000,4.155480,1.272512,17.959799,18.755604,18.671886,18.543913,18.317083,18.074163,0.916347,0.956871,0.952525,0.946041,0.934439,0.921468,15.035446,19.678509,18.585440,18.908556,19.285286,22.919531,4.01523191e-02,2.55033616e-02,4.13735919e-02,4.30019461e-02,4.32713889e-02,4.30746749e-02,4.46889512e-02
9500,4.115247,1.264479,17.757719,18.671503,18.581305,18.434423,18.192308,17.939653,0.906016,0.952559,0.947879,0.940438,0.928048,0.914481,14.784386,19.703398,18.525257,18.874630,19.284073,23.076618,4.32694290e-02,2.70820428e-02,4.46628705e-02,4.64027673e-02,4.66608331e-02,4.64508832e-02,4.83571775e-02
10000,4.098317,1.258906,17.552908,18.588884,18.487101,18.326223,18.069414,17.806265,0.895556,0.948315,0.943032,0.934891,0.921747,0.907535,14.545396,19.733650,18.462879,18.837297,19.291117,23.221058,4.63618226e-02,2.86580548e-02,4.78964038e-02,4.97632399e-02,5.00447787e-02,4.97915074e-02,5.20169511e-02
10500,4.106997,1.253099,17.347145,18.506672,18.395212,18.220682,17.945684,17.673042,0.885035,0.944100,0.938324,0.929481,0.915407,0.900601,14.347576,19.767139,18.412682,18.807493,19.296881,23.358992,4.94214532e-02,3.02772410e-02,5.10743745e-02,5.30755147e-02,5.34019545e-02,5.30646741e-02,5.56349605e-02
11000,4.049987,1.248976,17.136080,18.426636,18.302494,18.113741,17.824812,17.541569,0.874240,0.939989,0.933561,0.924001,0.909214,0.893763,14.156940,19.800863,18.362801,18.782774,19.301857,23.502356,5.24622059e-02,3.19392383e-02,5.42336926e-02,5.63803241e-02,5.67182936e-02,5.63008040e-02,5.92008829e-02
11500,4.039315,1.245037,16.924295,18.349699,18.213779,18.010998,17.706379,17.414619,0.863402,0.936040,0.929011,0.918718,0.903130,0.887153,13.995031,19.842142,18.318153,18.762772,19.314564,23.634665,5.54802927e-02,3.37418839e-02,5.73535897e-02,5.96102327e-02,5.99757284e-02,5.94826750e-02,6.27176464e-02
12000,4.034969,1.240994,16.706593,18.274694,18.125259,17.907618,17.589006,17.285166,0.852254,0.932184,0.924461,0.913435,0.897118,0.880395,13.851789,19.881157,18.283657,18.740644,19.324017,23.776413,5.84695706e-02,3.56423147e-02,6.04363531e-02,6.28001019e-02,6.31491914e-02,6.25948310e-02,6.61946312e-02
12500,4.012687,1.237480,16.489258,18.200495,18.039873,17.807783,17.471840,17.159712,0.841123,0.928373,0.920086,0.908306,0.891108,0.873847,13.716135,19.919138,18.248491,18.724905,19.336290,23.905918,6.14428526e-02,3.76130752e-02,6.34711012e-02,6.59598261e-02,6.63159117e-02,6.56488985e-02,6.96483031e-02
13000,3.997848,1.235418,16.272512,18.128836,17.954355,17.709881,17.359177,17.035408,0.830013,0.924701,0.915677,0.903294,0.885341,0.867369,13.579409,19.965158,18.211020,18.712811,19.349915,24.031326,6.43720900e-02,3.95933092e-02,6.64587244e-02,6.90518171e-02,6.94273636e-02,6.86741695e-02,7.30271563e-02
13500,3.994785,1.231080,16.054539,18.060989,17.872194,17.614141,17.244484,16.914068,0.818821,0.921210,0.911456,0.898372,0.879454,0.861026,13.471041,20.010313,18.189566,18.695644,19.372089,24.153381,6.72480091e-02,4.15840298e-02,6.93981275e-02,7.20874965e-02,7.24872798e-02,7.15985149e-02,7.63326064e-02
14000,3.974364,1.227995,15.842863,17.993469,17.792229,17.519062,17.131863,16.793556,0.807960,0.917740,0.907353,0.893507,0.873680,0.854726,13.365993,20.056938,18.158321,18.689259,19.391928,24.281326,7.00419135e-02,4.34694290e-02,7.23177046e-02,7.50361010e-02,7.54141808e-02,7.44417012e-02,7.95723647e-02
14500,3.958677,1.226593,15.632647,17.928692,17.710527,17.425041,17.022978,16.675117,0.797176,0.914408,0.903164,0.888693,0.868089,0.848527,13.267030,20.103764,18.138529,18.680407,19.407856,24.399549,7.27818894e-02,4.52829450e-02,7.51735941e-02,7.79430419e-02,7.83039555e-02,7.72752687e-02,8.27125311e-02
15000,3.959577,1.223512,15.423138,17.866877,17.632822,17.334383,16.917486,16.560406,0.786415,0.911229,0.899168,0.884041,0.862677,0.842531,13.175881,20.156683,18.131533,18.673067,19.428396,24.509321,7.54385311e-02,4.69546579e-02,7.79691264e-02,8.07565823e-02,8.11277926e-02,7.99965411e-02,8.58264863e-02
15500,3.946480,1.220963,15.225249,17.806726,17.559923,17.246143,16.810926,16.445686,0.776253,0.908137,0.895417,0.879515,0.857207,0.836519,13.097217,20.209091,18.110573,18.671722,19.446793,24.627920,7.80139863e-02,4.85057309e-02,8.07113498e-02,8.35211650e-02,8.38661492e-02,8.26327950e-02,8.88467282e-02
16000,3.936731,1.218925,15.036608,17.749056,17.488905,17.159279,16.708633,16.330530,0.766570,0.905179,0.891759,0.875064,0.851964,0.830496,13.012221,20.253736,18.099319,18.669800,19.475262,24.734930,8.05143577e-02,4.99397740e-02,8.33957493e-02,8.62410441e-02,8.65501165e-02,8.51980522e-02,9.17614102e-02
16500,3.927660,1.216627,14.848574,17.693190,17.421343,17.076445,16.610428,16.222315,0.756915,0.902300,0.888282,0.870809,0.846922,0.824823,12.950440,20.306025,18.087475,18.675613,19.493839,24.845978,8.29368283e-02,5.12539297e-02,8.60225186e-02,8.88711959e-02,8.91633257e-02,8.77135620e-02,9.45964381e-02
17000,3.915451,1.216020,14.668111,17.640049,17.354414,16.992971,16.512207,16.116373,0.747644,0.899555,0.884850,0.866526,0.841877,0.819272,12.884809,20.357374,18.081198,18.674538,19.518147,24.949942,8.52850104e-02,5.24538904e-02,8.85753855e-02,9.14348811e-02,9.17186514e-02,9.01561901e-02,9.73710641e-02
17500,3.897232,1.212892,14.491195,17.590233,17.288277,16.913443,16.419094,16.010378,0.738549,0.896993,0.881457,0.862444,0.837096,0.813704,12.826361,20.409019,18.073889,18.679457,19.542692,25.057257,8.75518074e-02,5.35272136e-02,9.10687968e-02,9.39416811e-02,9.41630155e-02,9.25400704e-02,1.00070067e-01
18000,3.892182,1.212173,14.321690,17.541500,17.225595,16.834612,16.327045,15.905791,0.729847,0.894476,0.878226,0.858406,0.832367,0.808221,12.768816,20.458426,18.070625,18.681108,19.571905,25.160011,8.97335584e-02,5.44937178e-02,9.35040563e-02,9.63616744e-02,9.65502262e-02,9.48036090e-02,1.02688067e-01
