step,L0.qk_joint.T_soft,L0.qk_joint.T_sel,L0.v_lut.T_soft,L0.v_lut.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L0.residual_lut.T_soft,L0.residual_lut.T_sel,L1.qk_joint.T_soft,L1.qk_joint.T_sel,L1.v_lut.T_soft,L1.v_lut.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L1.residual_lut.T_soft,L1.residual_lut.T_sel,L2.qk_joint.T_soft,L2.qk_joint.T_sel,L2.v_lut.T_soft,L2.v_lut.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L2.residual_lut.T_soft,L2.residual_lut.T_sel,L3.qk_joint.T_soft,L3.qk_joint.T_sel,L3.v_lut.T_soft,L3.v_lut.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L3.residual_lut.T_soft,L3.residual_lut.T_sel,L4.qk_joint.T_soft,L4.qk_joint.T_sel,L4.v_lut.T_soft,L4.v_lut.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L4.residual_lut.T_soft,L4.residual_lut.T_sel,L5.qk_joint.T_soft,L5.qk_joint.T_sel,L5.v_lut.T_soft,L5.v_lut.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel,L5.residual_lut.T_soft,L5.residual_lut.T_sel
0,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
200,0.498171,0.498075,0.498587,0.498584,0.498450,0.498418,0.498219,0.498114,0.499780,0.499592,0.500946,0.500990,0.501188,0.501184,0.502624,0.502632,0.499694,0.499724,0.500580,0.500639,0.500373,0.500354,0.502732,0.502659,0.500456,0.500303,0.501592,0.501628,0.501992,0.501995,0.502950,0.502959,0.500012,0.499770,0.501501,0.501592,0.502213,0.502217,0.502713,0.502779,0.499735,0.500009,0.501086,0.501131,0.502164,0.502168,0.502810,0.502876
400,0.488529,0.488390,0.501082,0.501337,0.493025,0.492514,0.489097,0.489101,0.496678,0.496164,0.496412,0.496584,0.497384,0.497230,0.507633,0.507206,0.500060,0.500027,0.500815,0.500357,0.496690,0.496639,0.512124,0.511435,0.500210,0.499574,0.502420,0.501086,0.497908,0.497777,0.512833,0.512463,0.499426,0.499247,0.505017,0.505041,0.506845,0.506851,0.512965,0.512782,0.501090,0.501342,0.505296,0.505267,0.504142,0.504106,0.513125,0.512896
600,0.473299,0.473140,0.506543,0.507155,0.487904,0.486808,0.476522,0.476898,0.490347,0.488796,0.491269,0.491319,0.492769,0.491583,0.512311,0.510932,0.501509,0.501657,0.502920,0.501991,0.492533,0.490463,0.526349,0.523143,0.499245,0.497684,0.503736,0.498067,0.488337,0.487437,0.529275,0.528967,0.498691,0.498563,0.511214,0.508440,0.497856,0.497540,0.528720,0.528232,0.499178,0.498830,0.510543,0.507635,0.494264,0.494067,0.528476,0.528435
800,0.452952,0.452690,0.510468,0.511509,0.483488,0.481982,0.460237,0.460842,0.482044,0.476975,0.485003,0.485481,0.489283,0.486014,0.512189,0.509769,0.504162,0.503950,0.505553,0.504338,0.491907,0.487403,0.543798,0.529607,0.499285,0.497136,0.506785,0.497097,0.482428,0.478545,0.545846,0.546818,0.495906,0.495849,0.520250,0.512477,0.491445,0.490443,0.541433,0.540296,0.497616,0.497255,0.518621,0.513376,0.485300,0.484956,0.539921,0.539635
1000,0.428117,0.427733,0.510309,0.511772,0.476221,0.474141,0.441307,0.441956,0.476578,0.462989,0.477953,0.479111,0.486985,0.481954,0.507563,0.504352,0.505963,0.505705,0.508049,0.506451,0.492060,0.485945,0.560229,0.535110,0.497418,0.496211,0.513109,0.497363,0.487018,0.473484,0.562362,0.563435,0.492939,0.492853,0.528025,0.516898,0.487850,0.481421,0.559606,0.555013,0.494666,0.494293,0.525894,0.519197,0.481479,0.479520,0.551306,0.546985
1200,0.405407,0.404914,0.505223,0.506976,0.464672,0.461661,0.420474,0.421013,0.473728,0.447275,0.470088,0.472019,0.483064,0.476507,0.503567,0.499278,0.508857,0.508510,0.510425,0.508482,0.493187,0.485837,0.576569,0.540888,0.494001,0.492641,0.517487,0.498669,0.491003,0.469504,0.579235,0.580743,0.494673,0.494598,0.533347,0.520385,0.490935,0.477530,0.570071,0.561958,0.497126,0.496754,0.531583,0.522953,0.480558,0.473022,0.565516,0.551154
1400,0.384787,0.384091,0.497258,0.499189,0.450984,0.446943,0.400586,0.400963,0.475245,0.433190,0.461903,0.464465,0.479091,0.471195,0.496216,0.491257,0.506857,0.506230,0.509938,0.507989,0.493697,0.485465,0.592704,0.545627,0.492646,0.491260,0.526732,0.502809,0.498069,0.466410,0.602310,0.603453,0.493979,0.493987,0.543204,0.523006,0.495240,0.469569,0.587516,0.568464,0.494034,0.493682,0.543836,0.530536,0.483583,0.463696,0.578479,0.553804
1600,0.365797,0.364736,0.485256,0.487237,0.434534,0.429487,0.381306,0.381308,0.486031,0.421280,0.453171,0.456283,0.473614,0.464260,0.489729,0.483994,0.505553,0.504839,0.509455,0.507630,0.494244,0.485168,0.608271,0.549402,0.489503,0.488433,0.535286,0.505954,0.505704,0.465252,0.623814,0.624465,0.491497,0.491392,0.551913,0.524170,0.501185,0.463823,0.605689,0.573017,0.493834,0.493298,0.552583,0.534954,0.487448,0.456510,0.588419,0.555703
1800,0.349699,0.348060,0.471783,0.473773,0.418450,0.412003,0.363956,0.363393,0.500760,0.410993,0.445380,0.448898,0.468857,0.458143,0.481810,0.475416,0.505990,0.505101,0.508783,0.507139,0.494585,0.484721,0.623259,0.553080,0.489676,0.488180,0.544093,0.508400,0.513094,0.465352,0.646702,0.640810,0.489952,0.489775,0.559353,0.521659,0.509801,0.460348,0.622242,0.576638,0.492152,0.491611,0.560423,0.538256,0.493739,0.452587,0.597151,0.557336
